est,lo,hi,L1,L2,L2a,L2b,L3,n_eff,n,delta
-0.012934688286403428,-0.3485041910772346,0.3102522192504437,False,False,False,False,True,6977,37920,0.0
-0.08470406237230943,-0.4577494105711005,0.17064434323816285,False,False,False,False,True,6727,38975,0.0
0.0235830529159764,-0.3692733552374411,0.34056885001363013,False,False,False,False,True,6105,39482,0.0
-0.11762668196835246,-0.5104256191613612,0.1760367095830801,False,False,False,False,True,6931,37210,0.0
0.09861314175938496,-0.24428338950519657,0.44106822849672883,True,False,False,False,True,6924,37021,0.0
-0.005734291745218556,-0.37583624325149306,0.40293144745111753,False,False,False,False,True,6900,38516,0.0
-0.09199567194267955,-0.4046767237503354,0.23208267671535276,False,False,False,False,True,7151,37910,0.0
-0.14000384056891413,-0.47566876897041727,0.17322505674190694,False,False,False,False,True,6532,38595,0.0
-0.034104984964089535,-0.38952791277470616,0.3104978828234541,False,False,False,False,True,6616,37070,0.0
-0.03776641610929721,-0.3962269060160242,0.27653485266928074,False,False,False,False,True,6091,40158,0.0
-0.08591525878480777,-0.4297879746428257,0.23593156450574043,False,False,False,False,True,7104,39478,0.0
-0.037557709137292505,-0.3267915434646762,0.33488059018892086,False,False,False,False,True,6909,38151,0.0
-0.060587429136704785,-0.38954493273682333,0.2927433397547238,False,False,False,False,True,6525,38383,0.0
0.01002806171892523,-0.27441732324507084,0.2964112768982841,False,False,False,False,True,6862,39363,0.0
-0.10616115094357337,-0.41025505953060065,0.2131861089814705,False,False,False,False,True,6805,39393,0.0
-0.09668397044930721,-0.4371640441370306,0.2303638170739765,False,False,False,False,True,6898,38197,0.0
0.022512818788777977,-0.3013044935987641,0.3153217574178924,False,False,False,False,True,6667,37544,0.0
0.052125216491449855,-0.3493136361521243,0.384964119002439,False,False,False,False,True,6487,38566,0.0
-0.036961101121568696,-0.3464014071958671,0.26842602689200357,False,False,False,False,True,7424,38576,0.0
-0.11810370291530647,-0.5268620463035745,0.22495332089596817,False,False,False,False,True,6339,39654,0.0
-0.1786511835640825,-0.5713822905605178,0.1406153412101204,False,False,False,False,True,6933,38074,0.0
0.0013128236344917,-0.29595700781835044,0.2986617693862492,True,False,False,False,True,6204,37295,0.0
-0.04889056509095324,-0.46110154498869377,0.24937982610483245,False,False,False,False,True,7167,38404,0.0
0.03591772487135936,-0.22742282756941679,0.3333075895525473,True,False,False,False,True,6458,38554,0.0
-0.041877601366602235,-0.382160976757403,0.2907414074220825,False,False,False,False,True,6849,38528,0.0
-0.11835573587040127,-0.4714558080467923,0.18354986369270276,False,False,False,False,True,6271,39043,0.0
0.04331693374270973,-0.2420165568372054,0.31988625532767,False,False,False,False,True,6294,37189,0.0
-0.10352641008597452,-0.4832885075636989,0.25075036514929894,False,False,False,False,True,6405,39010,0.0
-0.03393705743430786,-0.38250068726190106,0.30877680190609835,False,False,False,False,True,7158,38075,0.0
0.041613133616524856,-0.27263674434500673,0.3217662136902994,True,False,False,False,True,7092,38711,0.0
-0.1137722908305161,-0.4370492776632784,0.20451871147978534,False,False,False,False,True,6245,37547,0.0
0.15854586596173448,-0.18327703656213973,0.5167787682189482,True,False,False,False,True,6849,37187,0.0
-0.11374420472977098,-0.407322293837844,0.18934464751483862,False,False,False,False,True,6313,36882,0.0
0.021089251615935556,-0.3255469845657677,0.3271827576518278,False,False,False,False,True,7108,38140,0.0
0.027025492700838427,-0.33624359387709024,0.31457238419853617,False,False,False,False,True,7129,38773,0.0
-0.08097108588398516,-0.454250973536488,0.2631833409811381,False,False,False,False,True,6954,37883,0.0
0.06295161724807485,-0.25662073124255974,0.38716251371408833,True,False,False,False,True,7024,38222,0.0
-0.09183394742884321,-0.44126825198618796,0.2747932277691074,False,False,False,False,True,6583,38106,0.0
0.05277525559169716,-0.24537129297459406,0.36146923159845973,True,False,False,False,True,6707,40070,0.0
0.1050331176406405,-0.2461868053051286,0.40937221348867936,True,False,False,False,True,6450,39000,0.0
0.045691171415152,-0.27259380729915905,0.35228737172664676,False,False,False,False,True,7246,37436,0.0
0.01747248971692983,-0.2978941891804801,0.3407183416761495,False,False,False,False,True,6453,38649,0.0
0.07307946464234494,-0.23935028532920732,0.4019327920460515,True,False,False,False,True,7252,38207,0.0
0.03632003705322795,-0.29556969582896914,0.3725132137359044,False,False,False,False,True,5922,39134,0.0
0.02838815391004168,-0.2605271562349559,0.3961368257838536,False,False,False,False,True,6440,38219,0.0
-0.06217919833794161,-0.3947192901048771,0.25271006554697,False,False,False,False,True,6579,37680,0.0
-0.09850692389667959,-0.4430626402296639,0.26042907201464877,False,False,False,False,True,6175,38633,0.0
-0.10511286490139105,-0.3970472868474245,0.17298433821546283,False,False,False,False,True,6167,38482,0.0
-0.2131220556771507,-0.5431772800283204,0.08592200657354557,False,False,False,False,True,6380,38495,0.0
-0.1097331959693193,-0.4232673197072412,0.16986376229187874,True,False,False,False,True,6494,39601,0.0
-0.06436546927837128,-0.41172492713214576,0.2802726470463629,False,False,False,False,True,6372,38771,0.0
-0.13698451689740931,-0.5088208318910331,0.19673470453119354,False,False,False,False,True,6963,38301,0.0
-0.2080232835372342,-0.537888637442678,0.08694267168448455,False,False,False,False,True,7059,37236,0.0
0.023997906590345064,-0.263603579353541,0.42079993799147075,False,False,False,False,True,6478,37944,0.0
0.06666159022248319,-0.22110952248702936,0.36378190435261976,False,False,False,False,True,6931,38965,0.0
-0.11132971537671787,-0.4214023979160317,0.13907295640302633,False,False,False,False,True,7210,38648,0.0
0.11120388889969135,-0.24570453178477558,0.41369346905927323,True,False,False,False,True,7013,37513,0.0
0.00795467144127926,-0.40670448607295295,0.31538503064412204,False,False,False,False,True,6968,39636,0.0
0.01365650874360913,-0.32095901476883376,0.2937879248804477,False,False,False,False,True,7124,37699,0.0
-0.1149771363029739,-0.5289710276799666,0.19729793552799924,True,False,False,False,True,6650,39072,0.0
0.029276466800776113,-0.245520700844096,0.34383239432574214,False,False,False,False,True,7180,36624,0.0
0.021870171960292062,-0.32966908136772416,0.36570131087846514,True,False,False,False,True,6149,39311,0.0
0.06525125546030797,-0.2687813805774017,0.39344648625005646,False,False,False,False,True,6984,39317,0.0
-0.011279795262453263,-0.32554081612841346,0.29645245215704724,False,False,False,False,True,7451,37771,0.0
0.04129016540952435,-0.2851049174127354,0.40836386024685206,False,False,False,False,True,6863,39263,0.0
-0.1786511835640825,-0.5445126938236222,0.10944291828310364,False,False,False,False,True,6146,39396,0.0
0.012165884425274776,-0.28278489841207066,0.44184682755560367,False,False,False,False,True,7019,39394,0.0
0.08913956616659613,-0.2218899160686444,0.3761592646662188,True,False,False,False,True,7102,37860,0.0
0.06121449165779058,-0.2140037140309592,0.34149380034396337,True,False,False,False,True,6257,37577,0.0
0.017377834070786413,-0.28653480391554187,0.3263902652270801,True,False,False,False,True,6211,37210,0.0
-0.09585822650630682,-0.46027625279866174,0.27672476642143345,False,False,False,False,True,6778,39524,0.0
0.17161151345870262,-0.1652368943434998,0.5708891817611096,False,False,False,False,True,5982,39155,0.0
-0.1786511835640825,-0.5393378675484795,0.19957500918201707,False,False,False,False,True,6931,38203,0.0
-0.2095306302043909,-0.5323981735439378,0.14253386106085567,False,False,False,False,True,6650,38068,0.0
-0.08431156092256753,-0.4432738671710962,0.27315382443122826,True,False,False,False,True,6358,39077,0.0
0.04161313361654706,-0.3294066794142181,0.4826901554163515,False,False,False,False,True,5729,39977,0.0
-0.09355219085827038,-0.4093045561221053,0.2501895455024134,False,False,False,False,True,6853,38333,0.0
0.06855266756667922,-0.2686488836751133,0.4505128258084196,False,False,False,False,True,6775,39108,0.0
-0.04458295475856522,-0.38598612789118997,0.23883875974722252,False,False,False,False,True,6466,38622,0.0
-0.1786511835640825,-0.48509016285221085,0.10034579708825156,False,False,False,False,True,6904,39314,0.0
0.07146217340271432,-0.308536013367359,0.4208351050087467,True,False,False,False,True,6877,38596,0.0
0.07859858257248664,-0.2413070611185139,0.3569639045584006,True,False,False,False,True,5995,37431,0.0
0.007548041723648424,-0.3058737066918582,0.2880592831118084,False,False,False,False,True,7684,38070,0.0
-0.1378265237695797,-0.46101990088578515,0.15517377107271543,False,False,False,False,True,6441,38998,0.0
-0.12737566477492024,-0.434244826355365,0.26660187395459894,False,False,False,False,True,6139,38908,0.0
-0.0720792475072507,-0.4382763883242116,0.23528854695507823,False,False,False,False,True,6138,38825,0.0
-0.1882303451516687,-0.5210806440645355,0.2404516435760007,False,False,False,False,True,5990,39522,0.0
-0.1000350278076767,-0.4444923185834268,0.20676854109955853,False,False,False,False,True,7165,37912,0.0
0.06866016561397625,-0.22305726426433414,0.42144972878690024,True,False,False,False,True,6121,38868,0.0
-0.011334943038576739,-0.33407355577513037,0.3537803546073704,False,False,False,False,True,6651,38988,0.0
