setup,n,gap,o10,c10,o20,c20,w_o10,w_c10,drop10,kept10
🥇G3·LEAD-in-LAG,1908,0.03939513426084451,1.5489287917395345,1.6963308005778055,4.205255582709322,4.110802430360538,60.58700209643606,62.36897274633124,-0.14740200883827104,1.0951638381469624
G3→G3,22890,0.0,1.3463915058775644,1.4950047413989975,2.3773006134969465,2.2294333257008137,58.23940585408476,58.789864569681086,-0.14861323552143313,1.1103789164389957
Washout💥vol,24838,0.04022963280700953,0.7653596059982615,0.914055789481405,1.0881597359583273,1.0836346775140449,54.87961993719301,55.531846364441584,-0.1486961834831435,1.194282768933433
Spring,3178,0.0,0.20389478530253857,0.3526022240454729,0.9468478889531617,0.9418752173747769,51.03838892385147,52.17117684078036,-0.14870743874293435,1.7293341932324686
🎯Confluence≥3,71294,0.052076553414914795,0.9495939651828156,1.098901098901095,1.7721216776872217,1.8359630717342035,56.73268437736696,57.56024349875165,-0.14930713371827942,1.1572326059270341
Spring🏆RS,305,0.0,1.2843382090617084,1.4424067587059497,2.8358983226699053,3.403465346534662,56.393442622950815,60.32786885245902,-0.15806854964424133,1.1230739290702256
🎯Confluence💎89+,18638,0.05801310188346953,0.758769912832935,0.9231913393768609,1.3739513705833928,1.4740599773668372,55.68194012233072,56.64770898165039,-0.16442142654392589,1.2166947104294685
🎯T3-RS-Dip,5914,0.08647132382845202,0.7169020426670891,0.9224948212858686,1.1306916096057607,1.17694919752811,54.61616503212715,55.98579641528576,-0.20559277861877945,1.2867794571402156
🎯Cluster🏆RS,14722,0.056869518278857,1.5503876581528298,1.7690221731110123,2.737530203512406,2.80014054451857,60.85450346420323,62.15867409319385,-0.21863451495818254,1.1410192565765578
🎯Confluence≥4,25361,0.0676361176868534,1.27305369675208,1.508042895442352,2.4980483996877467,2.59917920656636,59.35885808919207,60.59697961436852,-0.2349891986902719,1.1845870282532431
Washout,39991,0.06118702834998491,0.7527640555163417,0.9891050813428226,0.9524319118197955,0.9635237439779898,54.49726188392388,55.57250381335801,-0.23634102582648087,1.3139642814963688
QZ-Capit🏛️BOS,2422,0.0,0.6928191720627641,0.9396521802670699,1.2480280058077775,1.277253408400958,54.99587118084228,56.0280759702725,-0.24683300820430576,1.3562733511969622
Washout🔎iv,35708,0.06610486453582087,0.8494667977788972,1.1056556058966938,1.1280435161675761,1.1548501319487814,55.054889660580265,56.33191441693738,-0.25618880811779654,1.301587782815825
D+L1🔵dwell,2250,0.0,0.3251571418467436,0.6052575942170901,1.3617921173815661,1.1776419244891256,52.48888888888889,55.111111111111114,-0.28010045237034653,1.8614310323294894
QZ-Capit🎋TLS,2504,-0.10368018716925276,0.5630656707654502,0.86650134318077,1.9163724694318152,1.9437113861364264,54.19329073482429,55.55111821086262,-0.30343567241531977,1.5388992584165524
🧲Z9-HL 🟡watch,334,0.3305902579719855,4.1169073630132,4.431151242435671,12.38646842490284,12.593981291193336,78.74251497005989,78.74251497005989,-0.3142438794224711,1.076330082684317
🏆L34→L34,447,0.025346400811088188,0.4879536444037935,0.8521516829995912,1.4500958021250732,2.1340162185232714,54.138702460850105,54.80984340044742,-0.3641980385957977,1.7463783553472447
G3-Abs🕯️mid,3158,0.29767387109654875,1.279872076799904,1.6627464702638983,2.595949396961028,2.5976856089327316,59.7213426219126,60.892970234325524,-0.38287439346399443,1.2991505169964368
Washout🏆RS,3822,0.13327133237778233,1.37618924545454,1.8154691944018642,2.1662885102651797,2.455648153409906,60.15175300889587,62.34955520669806,-0.43927994894732425,1.3192002483657217
G3-Abs🎋TLS,1050,-0.47416195975724107,1.5056682806824928,1.9883499278316452,3.4762440336726375,3.77960785975312,60.952380952380956,60.1904761904762,-0.4826816471491524,1.3205763535978599
Washout🕐DR,2731,0.09431843700875575,1.4376996805111952,1.9446081319976605,2.315104492554143,2.5660440854787137,61.03991212010252,63.23690955693885,-0.5069084514864652,1.3525829895894714
L43-TRIPLE🕐DR,240,0.018248212851779133,1.7754964926302241,2.3150976209829532,4.1884485602139865,4.84385292418783,62.083333333333336,65.83333333333333,-0.5396011283527291,1.3039156261882348
L43-TRIPLE,1983,0.15276818896248212,1.5934207144693069,2.144756946409365,3.199137311286848,3.3722438391698972,59.10237014624307,61.92637418053455,-0.5513362319400583,1.3460079481417324
L43🔵dwell,1491,0.09478672985783199,1.3672668200893412,1.9528071602929131,2.9574784910655127,3.221772110600596,57.67940979208584,61.23407109322603,-0.5855403402035719,1.4282560884241389
L43-TRIPLE🔇QUIET,1264,0.177205617402576,1.6583913617292723,2.293149686509832,3.5509018958840732,3.9754243562701186,59.65189873417721,62.5,-0.6347583247805599,1.382755445686036
Engulf-L46,277,-0.08537279453614266,1.3410656034795299,2.0369936782954845,2.2323571771483586,2.7457927369353374,61.371841155234655,63.537906137184116,-0.6959280748159546,1.518936637410056
Engulf-Abs-Lⁿ,684,-0.06309875395743014,1.4083612100272314,2.1208378493620006,2.2531339782634663,2.755078074957651,59.210526315789465,62.42690058479532,-0.7124766393347692,1.5058905586593039
Engulf-Abs,943,-0.06417896763545317,1.3214800576645924,2.0844913841022716,2.023529411764713,2.7902195462222057,58.64262990455992,61.50583244962884,-0.7630113264376792,1.5773914801152003
Z11-T11,813,0.1435750179468842,1.3477397678680392,2.131040959329611,3.526244952893687,3.956723338485313,59.77859778597786,60.76260762607626,-0.7833011914615717,1.5811961701632202
z11t11·15mZ,287,0.10700909577314732,1.8240416923815284,2.9558701082431416,4.615981380915435,6.379260122341979,62.7177700348432,65.50522648083623,-1.1318284158616132,1.6205057815229327
L43-TRIPLE🕯️mid,251,0.3661513425549323,1.6113744075829217,2.9797979797979712,3.7298091042584636,4.739460591777966,58.56573705179283,63.745019920318725,-1.3684235722150495,1.849227569815819
g3g3rl·CONF,427,1.1177007299269848,1.668169522091989,4.485382458950737,3.9768864717878882,6.309819213045009,62.295081967213115,74.47306791569088,-2.8172129368587484,2.6888049443115274
