ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
L,8867,0.449,2.548,1.107,0.574,0.384,0.214,0.788,0.406,0.175,-0.857,0.657,0.125,-0.066,-0.235,0.338,-0.043,-0.274,0
LAC,5297,0.138,10.343,-0.422,-0.067,0.226,0.08,-1.004,0.701,-0.844,-1.893,-0.56,-0.205,0.088,-0.058,-1.142,0.563,-0.982,2
LAD,8866,0.17,5.421,0.232,0.449,0.109,-0.026,0.343,0.508,-1.289,-5.83,0.061,0.279,-0.061,-0.196,0.173,0.338,-1.459,0
LADR,6887,0.089,3.807,0.298,0.271,0.082,0.0,0.227,-0.581,0.13,-0.545,0.21,0.183,-0.007,-0.089,0.138,-0.67,0.042,0
LAMR,8863,0.18,3.605,0.132,0.235,0.255,0.02,-0.134,0.091,0.451,-0.465,-0.048,0.055,0.075,-0.16,-0.315,-0.09,0.27,0
LAND,4467,-0.515,6.092,-1.269,-0.667,-0.347,-0.257,-1.114,0.343,0.821,-8.295,-0.755,-0.152,0.168,0.257,-0.6,0.857,1.336,2
LASR,4202,0.818,12.813,1.339,1.972,1.261,0.429,2.308,0.745,-1.889,-3.848,0.521,1.154,0.443,-0.388,1.49,-0.073,-2.707,1
LAUR,8213,0.618,5.209,0.947,0.799,0.502,0.76,0.709,1.07,0.15,-1.648,0.33,0.181,-0.116,0.143,0.091,0.453,-0.468,0
LAZ,8842,-0.047,5.257,-0.212,-0.148,0.105,-0.257,-0.339,0.081,0.218,-1.022,-0.165,-0.101,0.152,-0.21,-0.292,0.128,0.265,0
LB,3724,0.851,10.821,1.431,0.808,0.623,0.416,-0.553,1.146,1.397,-2.259,0.58,-0.043,-0.228,-0.435,-1.404,0.295,0.546,2
LBRDA,7429,-0.187,6.674,-0.837,-0.169,0.145,0.155,-0.684,-0.529,-0.267,0.547,-0.65,0.019,0.333,0.342,-0.497,-0.341,-0.08,2
LBRDK,8867,-0.287,6.121,-0.969,-0.117,0.059,-0.08,-1.01,-0.04,-0.546,-2.844,-0.682,0.17,0.346,0.207,-0.723,0.247,-0.259,2
LBRT,8863,0.476,8.024,0.82,0.855,0.27,0.211,0.878,0.596,-0.511,-1.222,0.344,0.379,-0.206,-0.265,0.402,0.12,-0.987,0
LBTYA,8863,0.0,4.706,0.612,0.256,0.054,-0.468,0.364,-0.094,0.086,-0.583,0.612,0.256,0.054,-0.468,0.364,-0.094,0.086,0
LBTYK,8784,0.0,4.699,0.912,0.276,-0.175,-0.403,0.83,0.694,0.222,-1.554,0.912,0.276,-0.175,-0.403,0.83,0.694,0.222,0
LC,8509,-0.039,9.16,0.134,-0.163,0.71,0.25,-0.426,-0.273,1.956,-3.017,0.173,-0.124,0.749,0.289,-0.387,-0.234,1.995,2
LCID,8744,-1.904,11.09,-0.447,-1.973,-2.657,-1.534,-1.74,-2.402,-3.037,-7.488,1.457,-0.069,-0.752,0.371,0.164,-0.497,-1.133,1
LCII,8694,-0.149,5.212,0.313,0.068,-0.122,-0.529,0.364,0.23,0.62,-2.373,0.462,0.217,0.027,-0.38,0.513,0.379,0.769,0
LDOS,8867,0.343,3.99,-0.357,0.17,0.487,0.446,-0.131,0.154,0.216,-1.343,-0.7,-0.173,0.144,0.103,-0.473,-0.188,-0.127,2
LEA,8867,0.008,4.565,0.829,0.045,-0.156,-0.06,0.579,0.727,-0.418,-1.326,0.821,0.037,-0.164,-0.068,0.571,0.719,-0.426,0
LECO,8866,0.264,3.802,0.291,0.261,0.047,0.227,0.579,0.28,-0.273,-0.616,0.027,-0.003,-0.217,-0.037,0.315,0.016,-0.538,0
LEG,8864,-0.559,5.844,0.226,-0.539,-0.748,-0.804,0.209,-0.578,0.0,-4.663,0.786,0.02,-0.189,-0.245,0.769,-0.018,0.559,1
LEN,8867,0.009,4.669,-0.235,0.452,0.126,-0.279,-0.196,-0.153,0.355,-2.573,-0.244,0.443,0.117,-0.288,-0.205,-0.162,0.346,0
LESL,6702,-1.482,10.331,0.184,-1.359,-1.798,-1.453,-0.264,-0.932,-1.539,-4.994,1.666,0.123,-0.315,0.029,1.219,0.55,-0.057,1
LEU,7307,0.643,13.084,3.823,-0.338,0.497,-0.068,1.929,0.701,-1.865,-6.979,3.181,-0.981,-0.145,-0.71,1.286,0.058,-2.508,1
LEVI,8867,0.104,5.247,0.457,0.036,0.0,-0.25,0.204,0.036,-1.146,-1.397,0.352,-0.068,-0.104,-0.354,0.1,-0.068,-1.25,0
LFST,6530,0.0,9.483,-1.316,0.515,0.537,-0.164,-0.923,-0.53,0.358,-8.395,-1.316,0.515,0.537,-0.164,-0.923,-0.53,0.358,2
LFUS,8579,0.332,4.931,0.318,0.318,0.06,0.626,0.43,1.271,0.423,-1.081,-0.014,-0.014,-0.272,0.295,0.098,0.94,0.091,0
