seed,delta,needle,pseudo,band_p95,best_est,best_cell,n_promoted,unrelated_false_promotions,overlap_affected_promotions,true_cell_rank,rank_found,search_promoted,final_accepted,needle_verdict,needle_n
100037,0.6,¬sig_conso,¬sig_conso,3.2418913513608274,3.8879452273249626,rsi<35&rs,1,0,1,23.0,False,False,False,,77937.0
100038,0.6,sig_conso+sig_macro_vix_up,sig_conso+sig_macro_vix_up,3.277470408938825,3.86955821365118,rsi<35&rs,1,0,1,21.0,False,False,False,,43278.0
100039,0.6,sig_lead_in_lag&rs,sig_lead_in_lag&rs,3.257695226930082,4.112638253718615,rsi<35&rs,1,0,1,7.0,False,False,False,,36079.0
100000,1.5,sig_lead_in_lag+sig_h1_dr,sig_lead_in_lag+sig_h1_dr,3.258552709594369,4.139914643019438,rsi<35&rs,3,0,2,2.0,True,True,True,BUILD,14608.0
100001,1.5,adx1&rs,adx1&rs,3.1310213061980905,3.706097137182951,rsi<35&rs,1,1,0,28.0,False,False,False,,22123.0
100002,1.5,¬sig_conso,¬sig_conso,3.3254138100892305,3.9517268873751163,rsi<35&rs,1,0,1,5.0,True,False,False,NOT_PROMOTED,77937.0
100003,1.5,¬sig_macro_vix_up,¬sig_macro_vix_up,3.057916653342545,3.687487170100212,rsi<35&rs,1,0,1,13.0,False,False,False,,228272.0
100004,1.5,¬sig_conso,¬sig_conso,3.414737598429201,3.9517268873751163,rsi<35&rs,1,0,1,5.0,True,False,False,NOT_PROMOTED,77937.0
100005,1.5,sig_lead_in_lag+sig_macro_vix_up,sig_lead_in_lag+sig_macro_vix_up,3.252688627690077,4.052723944187164,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,7087.0
100006,1.5,¬sig_h1_dr,¬sig_h1_dr,3.1666571646928787,3.1358580701053143,rsi<35&rs,0,0,0,23.0,False,False,False,,253221.0
100007,1.5,¬sig_rs_intact,¬sig_rs_intact,3.0889729239977894,2.833601240068674,rsi<35&rs,0,0,0,8.0,False,False,False,,189042.0
100008,1.5,sig_lead_in_lag+sig_macro_vix_up,sig_lead_in_lag+sig_macro_vix_up,3.243608148768544,4.052723944187164,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,7087.0
100009,1.5,sig_rs_intact+sig_conso,sig_rs_intact+sig_conso,3.409503884613514,4.5375393107533455,rsi<35&rs,1,0,1,19.0,False,False,False,,78019.0
100010,1.5,rsi35-50&rs,rsi35-50&rs,3.461732380092144,3.6339377984404564,rsi<35&rs,1,1,0,2.0,True,False,False,NOT_PROMOTED,39610.0
100011,1.5,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.2843409944325686,4.139914643019438,rsi<35&rs,3,0,2,3.0,True,True,True,BUILD,14608.0
100012,1.5,sig_conso+sig_macro_vix_up,sig_conso+sig_macro_vix_up,3.3747152145951986,3.9948576129972935,rsi<35&rs,1,0,1,6.0,False,False,False,,43278.0
100013,1.5,rsi35-50,rsi35-50,3.3725544717162848,3.1613789498806,rsi<35&rs,0,0,0,7.0,False,False,False,,128411.0
100014,1.5,adx3&rs,adx3&rs,3.3967900060117246,3.976270589977503,rsi<35&rs,1,0,1,4.0,True,False,False,NOT_PROMOTED,41432.0
100015,1.5,sig_rs_intact+sig_h1_dr,sig_rs_intact+sig_h1_dr,3.422547015361488,4.579791832715273,rsi<35&rs,1,0,1,7.0,False,False,False,,36246.0
100016,1.5,¬sig_conso,¬sig_conso,3.2942601962015035,3.9517268873751163,rsi<35&rs,1,0,1,5.0,True,False,False,NOT_PROMOTED,77937.0
100017,1.5,sig_rs_intact+sig_conso+sig_lead_in_lag,sig_rs_intact+sig_conso+sig_lead_in_lag,3.3164207955822347,4.218614228069782,rsi<35&rs,1,0,1,4.0,True,False,False,NOT_PROMOTED,28006.0
100018,1.5,sig_conso+sig_lead_in_lag,sig_conso+sig_lead_in_lag,3.2717668637633324,4.218614228069782,rsi<35&rs,1,0,1,3.0,True,False,False,NOT_PROMOTED,28006.0
100019,1.5,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,sig_rs_intact+sig_lead_in_lag+sig_h1_dr,3.2947558164596558,4.139914643019438,rsi<35&rs,3,0,2,3.0,True,True,True,BUILD,14608.0
100020,1.5,rsi<35&rs,rsi<35&rs,3.3651309134438634,5.337442956864834,rsi<35&rs,1,0,0,1.0,True,True,True,BUILD,7505.0
100021,1.5,rsi50-65&rs,rsi50-65&rs,3.13606858253479,3.629789315164089,rsi<35&rs,1,1,0,26.0,False,False,False,,36762.0
