dp,arr,arr_lo,arr_hi,rr,rr_lo,n_events,n_dates,R1,R2,R3,R4,R6,EST,verdict
0.0,0.5385378617386416,-1.5644506145591413,2.7723469332216433,1.0158441593717362,0.9554565599386575,40494,520,False,False,False,True,True,False,False
0.0,-1.2156629625599324,-3.677478518537344,1.0797638279695596,0.9649698923210988,0.8948815323736625,39407,520,False,False,False,True,True,False,False
0.0,-1.8714028248030867,-3.936664944635184,0.12466564408469874,0.9464616999354893,0.8897050523362344,38115,520,False,False,False,True,True,False,False
0.0,0.16760196694799445,-2.1182282715329706,2.2341138967799794,1.0049089738442292,0.9400292736204526,39222,520,False,False,False,True,True,False,False
0.0,-0.49980542590612465,-2.608437723288275,1.5867196564072916,0.9854758609027341,0.9264548813159351,39951,520,False,False,False,True,True,False,False
0.0,2.273308844858496,0.1747862537446321,4.439847266717914,1.0682909582345053,1.0051415657515337,41569,520,True,False,True,True,False,True,False
0.0,-0.857433614874159,-2.938353986790892,1.2040177364436486,0.9751831187883363,0.9174179487003221,38847,520,False,False,False,True,True,False,False
0.0,-1.735715665054044,-3.9867977826708962,0.38262172982078135,0.9502643721847089,0.8876534248373311,38123,520,False,False,False,True,True,False,False
0.0,-0.03671148168069571,-1.871959063064949,2.0326219795212452,0.9989272830613963,0.9464856600156474,39363,520,False,False,False,True,True,False,False
0.0,1.930208244359577,-0.14234641475770624,4.090291905327107,1.0577265754608374,0.9958319681148065,40828,520,True,False,False,True,False,False,False
0.0,1.0696830305812088,-0.8911700693339055,3.3505593329998415,1.0316631559653986,0.9747410203519143,40016,520,False,False,False,True,False,False,False
0.0,-0.18415479500136223,-2.200682861220585,1.7243515746303322,0.994627912939524,0.936977299916995,38339,520,False,False,False,True,True,False,False
0.0,-0.44096809815739046,-2.674261542825991,1.4772132104968294,0.9871735397036586,0.9248281621222093,38092,520,False,False,False,True,True,False,False
0.0,0.7185511635280639,-1.2899793550188325,2.6504631830779166,1.0211855997774044,0.9633522712018939,40571,520,False,False,False,True,True,False,False
0.0,-0.8817824973662569,-2.878938737878991,1.1987957856339766,0.9744761829468094,0.919135491572666,37415,520,False,False,False,True,True,False,False
