ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
ARLO,⚡panic,0.036,11.118,4.641,0.037,0.539,0.763,3.131,-1.347,-2.843,
ARLP,🏦majority,1.105,6.706,2.179,-0.381,0.298,0.318,-0.538,2.089,-2.282,-1.005
ARMK,🏦majority,0.684,6.07,1.333,-0.005,-0.623,-0.722,0.319,-0.948,0.362,
AROC,🏦majority,0.904,6.963,3.969,0.932,0.371,-0.521,-0.184,2.837,1.691,
ARQT,⚡panic,0.209,14.187,4.809,1.445,0.455,0.0,-0.53,1.359,-5.021,-3.467
ARR,🏦majority,-0.278,6.245,1.31,0.086,-0.594,0.388,0.496,-1.616,-0.386,
ARRY,⚡panic,-1.44,15.919,3.272,0.615,0.325,-1.109,3.171,-1.182,-4.502,
ARVN,⚡panic,-1.099,13.691,0.032,0.399,0.226,0.174,1.439,0.844,0.271,
ARW,🏦majority,0.549,6.169,1.631,-0.175,0.278,0.532,0.28,2.34,-0.171,-3.414
ARWR,⚡panic,-0.211,12.83,4.204,-0.472,-1.98,-1.579,4.093,0.495,0.884,
ASAN,🎲chase,-0.809,15.503,1.574,0.032,-0.035,1.238,-0.475,3.457,0.475,
ASB,🏦majority,0.291,6.117,1.258,1.133,0.456,0.098,2.132,1.19,0.488,
ASC,🎲chase,1.2,9.064,-2.04,1.259,0.14,0.34,-5.152,,0.138,
ASH,🏦majority,-0.062,5.65,0.887,-0.337,-0.007,-0.579,-0.236,0.502,0.221,
ASIX,🏦majority,-0.257,9.045,0.527,0.566,1.285,0.037,0.827,-3.903,-1.271,-5.911
ASND,⚡panic,0.019,9.088,10.889,1.138,0.538,-2.47,5.827,-0.255,,
ASO,🏦majority,0.246,8.257,2.217,-1.417,-1.109,-1.437,0.268,-3.79,3.147,
ASPN,🎲chase,-1.36,17.107,-2.011,-0.057,5.89,0.128,-4.185,0.439,-1.272,-14.465
ASTE,🏦majority,-0.033,9.692,-1.401,2.125,1.37,-0.848,-0.036,-0.637,-2.65,
ASTL,🏦majority,-0.733,9.686,0.217,0.204,-1.851,1.645,0.307,,,
ASTS,⚡panic,0.282,21.01,2.821,-0.129,-4.915,3.255,1.861,-3.378,-10.515,
ATEC,🏦majority,0.188,12.463,0.995,-0.632,0.178,-0.708,0.065,-3.878,-0.114,
ATEN,🏦majority,1.023,7.263,0.383,-0.214,0.198,-0.252,-0.484,-1.087,-0.305,
ATEX,🏦majority,-0.493,11.216,-1.504,0.637,-2.454,0.31,-1.165,-1.504,,
ATI,🎲chase,1.265,8.983,2.24,-0.298,0.05,2.257,0.441,0.381,-2.813,
ATKR,⚡panic,0.329,9.113,1.964,0.539,-1.11,-1.448,3.015,-0.463,-0.556,
ATMU,🏦majority,0.862,6.577,1.21,-0.807,-0.1,0.544,,1.341,-0.774,
ATO,🏦majority,0.601,3.492,1.144,0.252,0.103,-0.286,1.948,-0.212,-1.58,-2.314
