est,lo,hi,se_boot,width
0.5187949731427993,0.22519666617832834,0.8910010619101651,0.17495631427224353,0.6658043957318368
0.6848307811834536,0.36330780783294825,1.0198787873395334,0.16351348153173353,0.6565709795065852
0.6584117403236162,0.38293542127806307,1.0092659043067926,0.16676256263515946,0.6263304830287295
0.5002652072006336,0.11554896200565962,0.8089428019479894,0.17727990608306976,0.6933938399423298
0.5381500329672878,0.21427993818087301,0.8469008867728046,0.16985333061452498,0.6326209485919316
0.7287111271829122,0.38415642844358777,0.9947547217247157,0.1626645161023879,0.6105982932811279
0.8884667509358675,0.5451442570630871,1.1802924464861968,0.16961481607374002,0.6351481894231097
0.6387733840648829,0.29251124871623985,0.9689196585991345,0.1621682627367948,0.6764084098828946
0.5310360103974782,0.20827929713260698,0.8159685736135686,0.17002408543406747,0.6076892764809616
0.5907115338960928,0.25798862557611074,0.900817403408889,0.17464010166669308,0.6428287778327784
0.5622690851972195,0.2144981271360527,0.8849844676832935,0.1777350606043049,0.6704863405472408
0.39035639412996426,0.03954696484984367,0.6734928468627417,0.16048183090461401,0.633945882012898
0.5588960341312615,0.23029777979428484,0.9295513084997999,0.1783028575425307,0.699253528705515
0.6142424692253673,0.29408546494519017,0.8904497986481393,0.15559808894354857,0.5963643337029492
0.47891996326319075,0.06591837009079729,0.8829325487980789,0.20513885022399084,0.8170141787072817
0.5153714583816965,0.15342554147896675,0.8790827280608604,0.17885428782026644,0.7256571865818937
0.4713952597171106,0.03950767755677571,0.8379261074868368,0.19429559460637283,0.7984184299300611
0.5516367959131568,0.18299496982816466,0.9038873996816005,0.17885344269769385,0.7208924298534358
0.38025361562185,0.11385138013262713,0.6753119595228058,0.14893950334258305,0.5614605793901786
0.4868617810091175,0.20915462495708276,0.8282952606558278,0.16681412565644374,0.619140635698745
0.6473256758548146,0.3055904631574721,0.9438462719324644,0.17378561305690363,0.6382558087749923
0.6628187266490609,0.36099707503237627,1.0016567601469326,0.1753611315905447,0.6406596851145563
0.7933677478656137,0.4666995194411336,1.0981833081278543,0.16422187539148891,0.6314837886867206
0.6717767252905288,0.32906924871564547,0.9917930806611082,0.17679421018170113,0.6627238319454627
0.42300884955752627,0.05497892964800856,0.7422363084848783,0.1870841609672042,0.6872573788368698
0.45633319197402267,0.2040222219240076,0.7413366173383867,0.14646248959887276,0.5373143954143791
0.5463270785816204,0.2617680554472829,0.8267674324025059,0.1547555725845738,0.5649993769552231
0.23676154354121903,-0.13200315079707842,0.5518173619775912,0.17615314075268146,0.6838205127746697
0.6324958051145296,0.19967913588436667,0.9658379231414844,0.1802736363079883,0.7661587872571177
0.7017437648592523,0.30750306887908724,1.035884751882415,0.18489963451817348,0.7283816830033278
0.3500831303220814,-0.014236693406364796,0.6257762580296647,0.1607816738846065,0.6400129514360295
0.6253546490785239,0.26608309251225676,1.0117027282740712,0.19327285385092802,0.7456196357618143
0.566081314414823,0.19247555074032893,0.8559175719495277,0.17331297142392538,0.6634420212091987
0.5322221292281654,0.17495273279559964,0.8370732220702611,0.1661205417178199,0.6621204892746615
0.4984005188146451,0.0723614636278161,0.8374675597926062,0.19381832045530453,0.7651060961647901
0.5859009908398377,0.21840610417857176,0.9434054200434084,0.18407282714053014,0.7249993158648367
0.524146047956841,0.22836165320805513,0.878934971408418,0.16942206929938752,0.6505733182003629
0.633639129756513,0.30451399931270773,0.9498013584072935,0.17119123053203095,0.6452873590945858
0.473552305512292,0.13538432747443238,0.7683760545251329,0.1609847032638242,0.6329917270507005
0.6916597514125872,0.42116854273555215,0.9643470383653289,0.14473433960331308,0.5431784956297767
0.6134394183156527,0.3496647816387305,0.8892139021604318,0.148891759425596,0.5395491205217013
0.6674559110574013,0.3287603884008311,1.0317245334026017,0.17572598301638848,0.7029641450017706
0.4032315296915495,0.058612746477524624,0.7009817934042395,0.1785434283171743,0.6423690469267149
0.6729211690203457,0.3610497343718161,1.01269445659273,0.16606617278380836,0.651644722220914
0.7050348891962427,0.3575823083366103,1.013744003513189,0.17243926063915305,0.6561616951765787
0.5619900179392839,0.2015440292810214,0.9544269445223131,0.19618035076860016,0.7528829152412917
0.46979166666665184,0.07323968100012068,0.802066347716453,0.18448983160531374,0.7288266667163323
0.3603276268221317,0.012031898609343731,0.6719670786227628,0.17837119671833712,0.6599351800134191
0.6865286014285149,0.435680678566866,0.9354355544243222,0.14738895392012358,0.49975487585745626
0.5366092341254175,0.2199360250983201,0.9182582043270971,0.17727388752609108,0.698322179228777
0.6573873386687129,0.35528407156999814,0.9425907436493871,0.15301493668384555,0.5873066720793889
