delta,planted,rep,band,theta_hat,truth,known_location_accept,planted_rank,rank_le_3,rank_le_5,search_promoted,final_accept,rank_of_max_true,regret,selected,n_promoted
1.5,adx-1,2,1.2781802102981124,1.6667965088345507,1.5,True,1,True,True,True,True,1,0.0,adx-1,1
1.5,sig_h1_dr,0,0.5752169376622132,1.6793160564573113,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_h1_dr,5
1.5,adx2,4,0.4892309370894157,1.5424009345867438,1.4999999999999998,True,1,True,True,True,True,1,0.0,adx2,3
1.5,adx3&rs,1,0.3612603986878154,1.477957920669425,1.5,True,1,True,True,True,True,1,0.0,adx3&rs,5
1.5,rsi35-50&rs,3,0.3621678566888611,1.4121793280863535,1.5000000000000004,True,1,True,True,True,True,1,0.0,rsi35-50&rs,5
1.5,adx1&rs,0,0.41939516028913904,1.4079066922231915,1.5,True,1,True,True,True,True,1,0.0,adx1&rs,2
1.5,¬sig_h1_dr,3,0.44419788977449187,1.6282241819576417,1.5000000000000002,True,1,True,True,True,True,1,0.0,¬sig_h1_dr,3
1.5,sig_conso+sig_lead_in_lag+sig_h1_dr,3,0.33772646128348194,1.4698674165396588,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,5
1.5,rsi50-65&rs,2,0.38300648821115824,1.5143908297697974,1.4999999999999998,True,1,True,True,True,True,1,0.0,rsi50-65&rs,5
1.5,adx0,2,0.2248201348107812,1.4955203499208438,1.5,True,1,True,True,True,True,1,0.0,adx0,1
1.5,rsi35-50&rs,1,0.35600928496598594,1.430316593858234,1.4999999999999998,True,1,True,True,True,True,1,0.0,rsi35-50&rs,5
1.5,¬sig_rs_intact,1,0.5801719272732613,1.4499436027374288,1.5,True,1,True,True,True,True,1,0.0,¬sig_rs_intact,3
1.5,rsi<35&conso,3,0.4260008766305283,1.6019028963994417,1.5,True,1,True,True,True,True,1,0.0,rsi<35&conso,2
1.5,sig_conso+sig_h1_dr,1,0.45228191408258295,1.5895946086334138,1.5,True,1,True,True,True,True,1,0.0,sig_conso+sig_h1_dr,5
1.5,sig_lead_in_lag+sig_h1_dr,1,0.4197927968075859,1.5327333581463551,1.5000000000000002,True,2,True,True,True,True,2,0.0281678234141729,sig_conso+sig_lead_in_lag+sig_h1_dr,5
1.5,rsi50-65&rs,1,0.36064605547582385,1.5090967834968712,1.4999999999999998,True,1,True,True,True,True,1,0.0,rsi50-65&rs,5
1.5,sig_rs_intact,0,0.6058670564848669,1.5331992007528992,1.5000000000000002,True,2,True,True,True,True,2,0.32184403094825176,rsi<35&rs,5
1.5,rsi>=65,2,0.3637472125756829,1.5592210392055195,1.4999999999999998,True,1,True,True,True,True,1,0.0,rsi>=65,3
1.5,adx1&rs,3,0.28205777270247195,1.4698581538798772,1.4999999999999998,True,1,True,True,True,True,1,0.0,adx1&rs,4
1.5,sig_rs_intact+sig_conso,1,0.48083152582719624,1.5768839490627,1.5,True,1,True,True,True,True,1,0.0,sig_rs_intact+sig_conso,5
1.5,rsi35-50,0,0.32248821655379845,1.5088644354436966,1.5,True,1,True,True,True,True,1,0.0,rsi35-50,3
1.5,adx3&rs,4,0.48156606685748643,1.450984331941901,1.5,True,1,True,True,True,True,1,0.0,adx3&rs,5
1.5,sig_conso,4,0.7107935042994203,1.5162286366483904,1.5000000000000004,True,1,True,True,True,True,1,0.0,sig_conso,3
1.5,¬sig_rs_intact,4,0.9219738713090975,1.4529412311647119,1.5,True,1,True,True,True,True,1,0.0,¬sig_rs_intact,3
1.5,sig_conso,2,0.42360657901295196,1.5279187996381773,1.5,True,1,True,True,True,True,1,0.0,sig_conso,5
1.5,sig_rs_intact,3,0.3713357868432825,1.434231178398818,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_rs_intact,5
1.5,rsi50-65&conso,4,0.5919739219530328,1.5105152840842884,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi50-65&conso,3
1.5,rsi50-65,3,0.3250812634714763,1.5087819067894768,1.5,True,1,True,True,True,True,1,0.0,rsi50-65,3
1.5,adx2&rs,1,0.4277085113654263,1.6224004739014324,1.5000000000000002,True,1,True,True,True,True,1,0.0,adx2&rs,2
1.5,rsi50-65&conso,3,0.30848335200618565,1.5150118927759832,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi50-65&conso,4
1.5,rsi35-50&conso,4,0.5548789619160749,1.4993416938242898,1.5,True,1,True,True,True,True,1,0.0,rsi35-50&conso,4
1.5,sig_lead_in_lag+sig_h1_dr,2,0.26918739195765967,1.4971338317127936,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_lead_in_lag+sig_h1_dr,5
1.5,rsi<35,0,0.5173823122521898,1.5616656490682237,1.5000000000000002,True,1,True,True,True,True,1,0.0,rsi<35,3
1.5,adx0,4,0.3954801742525489,1.423335377609117,1.5000000000000002,True,1,True,True,True,True,1,0.0,adx0,1
