seed,delta,needle,pseudo,band_p95,best_est,best_cell,n_promoted,unrelated_false_promotions,overlap_affected_promotions,true_cell_rank,rank_found,search_promoted,final_accepted,needle_verdict,needle_n,freeze_commit
1500860233,0.0,,sig_rs_intact+sig_lead_in_lag,3.1510940939188004,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
574509546,0.0,,sig_lead_in_lag+sig_h1_dr,3.3407675800845027,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
416974953,0.0,,rsi50-65,3.2790494337677956,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1695682903,0.0,,adx2,3.1783056166023016,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
87506242,0.0,,¬sig_rs_intact,3.27803922817111,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
633245128,0.0,,sig_conso+sig_lead_in_lag+sig_h1_dr,3.1682481290772557,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
860962119,0.0,,rsi50-65&rs,3.2879042252898216,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1165292139,0.0,,rsi>=65,3.285840442404151,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
897109420,0.0,,adx1&rs,3.2329919142648578,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
308392787,0.0,,sig_h1_dr,3.202890530228615,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1238685830,0.0,,adx3,3.2762490725144744,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1957828255,0.0,,rsi<35&conso,3.2525741076096892,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
480408721,0.0,,¬sig_rs_intact,3.2913779420778155,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1381891875,0.0,,rsi>=65,3.1731182476505637,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
422357312,0.0,,rsi35-50&conso,3.275215094909072,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1660276193,0.0,,sig_lead_in_lag&rs,3.305503227747977,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
8260956,0.0,,sig_rs_intact+sig_conso+sig_h1_dr,3.1653893971815705,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1410866945,0.0,,sig_h1_dr,3.2254439406096935,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
1207743467,0.0,,adx2&rs,3.2350464444607496,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
678297493,0.0,,sig_lead_in_lag&rs,3.306198213249445,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
476621992,0.0,,rsi<35&conso,3.261729418300092,3.837442956864834,rsi<35&rs,1,1,0,,,,,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
