ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
BRZE,🏦majority,-0.036,12.438,-1.01,1.882,-1.871,0.297,-0.845,,0.163,
BSX,🏦majority,0.601,4.738,-0.178,0.151,-0.37,-0.855,0.243,0.58,0.349,-2.133
BWA,⚡panic,0.25,6.539,2.24,0.095,-1.004,-0.542,1.729,,-1.247,
BX,🏦majority,0.478,7.635,-0.054,0.342,1.029,-0.562,0.418,-2.357,2.785,-7.764
BXP,🏦majority,-0.396,6.014,0.25,-0.305,-1.109,-0.043,1.676,-1.431,-0.503,
C,🏦majority,0.557,6.043,0.775,0.04,0.204,-0.113,1.967,1.738,0.314,-8.459
CAG,🏦majority,-0.448,4.309,0.082,-0.51,0.844,0.678,0.269,-1.172,1.302,
CAH,🏦majority,0.956,5.243,0.67,0.351,0.986,0.269,1.098,-1.939,-0.925,-1.401
CARR,🏦majority,0.343,6.273,0.527,0.321,-0.841,-0.449,1.464,-0.111,-0.05,
CASY,🏦majority,1.041,4.982,-0.87,1.153,0.125,0.403,1.123,-1.519,-0.231,-1.23
CAT,🏦majority,0.921,6.424,0.384,-0.883,0.267,0.536,-0.452,-2.167,-0.053,-5.154
CB,🏦majority,0.587,3.615,2.041,0.669,0.051,-0.548,0.446,1.153,1.057,-0.308
CBOE,🏦majority,0.691,4.589,2.066,0.721,-0.204,-0.449,,-0.952,-1.744,
CBRE,🏦majority,0.776,5.854,-0.343,0.463,0.172,-0.273,0.527,-2.363,2.887,
CCI,🏦majority,-0.417,5.23,0.651,-0.24,0.202,-1.586,-0.574,,-1.551,
CCL,⚡panic,0.522,11.028,1.064,0.009,-0.017,-1.433,1.993,0.384,1.957,
CDNS,⚡panic,1.095,6.743,1.907,0.469,-1.238,-1.593,2.467,-0.624,1.297,-9.237
CDW,🏦majority,0.145,6.3,1.168,-0.133,-0.979,0.183,0.144,-2.146,1.917,
CE,🎰lottery,-0.081,8.717,0.268,0.05,0.368,0.404,-0.934,-2.627,0.803,-11.245
CEG,⚡panic,1.006,10.099,2.699,0.114,-0.186,-1.368,6.033,1.269,-1.203,
CF,⚡panic,0.219,7.17,1.761,-0.206,-0.627,-0.466,1.822,-1.007,0.768,-7.769
CFG,🏦majority,0.723,6.678,0.402,0.138,1.847,-0.568,1.101,0.2,-2.199,-5.111
CFLT,⚡panic,0.357,14.462,6.551,-0.002,-1.806,-0.162,5.204,1.038,-1.956,
CHD,🏦majority,0.268,3.747,0.445,0.019,-0.609,-0.222,0.839,-1.096,0.114,
CHRW,🏦majority,0.121,6.073,0.406,0.192,-0.305,-0.531,1.47,0.507,-0.218,
CHTR,🎰lottery,-0.642,8.055,1.074,0.095,-1.425,0.79,1.205,0.548,0.047,-10.292
CI,🏦majority,0.428,4.932,0.879,0.595,0.315,-0.468,0.943,-0.776,0.556,-9.204
CIEN,🏦majority,0.944,9.685,0.078,-0.898,1.45,0.472,0.973,-0.318,-0.926,
CINF,🏦majority,0.497,4.579,2.844,0.416,0.258,-0.571,1.188,-0.572,0.041,
CL,🏦majority,0.101,3.509,0.381,-0.74,0.106,-0.012,-0.049,-0.133,0.441,
CLX,🏦majority,-0.537,5.1,2.289,-0.628,-0.527,-0.179,-0.65,,1.295,-3.327
CMCSA,🏦majority,-0.321,4.691,0.0,0.347,0.169,-0.41,0.562,0.815,-0.146,
CME,🏦majority,0.15,3.96,0.129,0.462,-0.09,-0.414,0.183,0.67,0.114,
CMG,🏦majority,0.849,6.911,0.936,-1.06,-0.815,1.091,0.936,0.66,1.101,-5.132
CMI,🏦majority,0.732,5.095,0.347,-0.31,0.074,-0.257,2.16,0.482,1.536,
CMS,🏦majority,0.383,3.556,0.722,0.104,-0.059,-0.247,-0.378,-0.334,0.466,
CNC,🏦majority,0.155,8.07,-0.107,0.192,0.273,-0.282,0.193,-0.607,0.64,
CNP,🏦majority,0.608,3.807,1.492,0.488,-0.119,-0.111,0.529,-0.248,0.81,
COF,⚡panic,0.237,6.646,1.784,-0.515,0.067,-0.595,2.218,,-1.248,
COHR,🏦majority,0.897,12.508,-0.188,-0.61,-0.366,-0.627,-0.189,-3.242,-0.891,
COIN,⚡panic,-0.455,17.013,2.77,0.038,0.009,0.057,0.49,,-3.698,
COO,🏦majority,0.182,5.65,1.526,-0.809,0.014,-0.097,0.632,,2.511,-3.885
COP,🏦majority,0.672,6.357,2.432,0.11,-0.27,-1.189,0.501,-1.443,0.28,
COR,🏦majority,1.337,4.483,0.994,-0.101,0.122,-0.253,-0.509,0.071,-1.29,
COST,🏦majority,1.084,4.511,1.722,-0.648,-0.731,0.207,0.306,1.441,-0.75,
CPB,🏦majority,-0.308,4.321,-0.111,-0.234,0.172,-0.751,0.212,0.633,-0.721,
CPRT,🏦majority,0.15,5.252,-0.33,0.273,-0.16,0.894,0.065,0.986,-1.486,-2.222
CPT,🏦majority,0.297,4.24,0.989,-0.115,-0.038,-0.018,0.539,0.504,0.365,
CRH,🏦majority,0.827,5.822,1.448,0.182,-0.482,0.665,2.249,,0.626,
CRL,⚡panic,0.446,8.442,1.106,-0.71,-2.721,-0.567,0.591,0.067,-0.674,-7.214
CRM,🏦majority,0.291,6.864,0.091,-0.083,0.152,0.101,1.357,0.849,0.859,
CRWD,🏦majority,1.248,11.378,0.111,-0.671,0.236,-1.38,-3.026,2.12,2.552,
CSCO,🏦majority,0.566,4.755,0.467,-0.178,-0.195,-0.281,0.31,-0.991,0.512,
CSGP,🏦majority,-0.65,6.636,0.041,0.536,-1.288,-0.936,0.758,,-1.123,
CSX,🏦majority,0.586,4.427,-0.586,-0.078,0.735,0.126,-0.872,0.47,-0.554,-4.957
CTAS,🏦majority,0.868,4.371,0.459,-0.221,0.537,-0.135,-0.268,-0.322,-0.112,-8.703
CTLT,🎰lottery,0.626,10.037,0.783,-0.416,0.071,0.0,0.3,,2.253,-13.173
CTRA,⚡panic,0.039,6.485,2.841,0.375,-0.277,-0.287,1.183,-1.147,-1.065,
CTSH,🎰lottery,-0.236,5.834,0.073,-0.152,0.354,0.142,1.075,1.311,0.0,-11.092
CTVA,🏦majority,0.69,5.149,1.752,0.89,-0.602,0.166,2.01,,-0.997,
CVNA,🏦majority,0.698,17.807,-3.603,-1.472,3.413,2.18,1.854,1.352,-3.891,
CVS,🏦majority,0.567,6.068,-0.876,0.756,-0.423,-0.294,-1.938,-0.265,-0.51,-1.555
CVX,🏦majority,0.667,5.171,1.215,0.063,-0.432,-0.67,0.321,0.356,1.333,
CZR,⚡panic,-0.5,9.266,1.927,-0.65,-0.858,-0.192,0.893,1.443,2.034,
D,🏦majority,0.198,4.294,0.655,0.369,-0.32,-0.337,1.09,-0.054,-1.842,-1.873
DAL,🏦majority,0.782,7.998,-0.618,0.762,1.398,-0.066,0.216,-0.788,4.507,-6.516
DASH,🏦majority,1.145,10.081,-2.304,-2.128,-0.765,0.372,-2.074,-2.619,-0.429,
DD,🏦majority,0.598,7.862,2.033,0.734,-1.272,-0.29,-0.806,,0.458,
DDOG,🏦majority,0.851,11.268,1.796,-1.127,-2.454,1.525,0.544,0.484,-1.816,
DE,⚡panic,-0.027,5.503,4.038,0.402,-0.928,-0.249,0.352,0.187,-1.662,-9.144
