delta,seed,cell,truth,est,bias,lo,hi,width,covered,estimator,evidence,materiality,validity,final,blocking
0.0,2,sig_lead_in_lag,0.0,0.0023759997918899474,0.0023759997918899474,-0.16805189514445093,0.165718751356234,0.33377064650068494,True,False,False,False,True,False,
0.0,2,¬sig_lead_in_lag,0.0,0.03291385273804295,0.03291385273804295,-0.11770860384706609,0.19354943683393502,0.3112580406810011,True,False,False,False,True,False,
0.0,2,sig_h1_dr,0.0,-0.06538082727062652,-0.06538082727062652,-0.2166943745781301,0.10916968710753953,0.3258640616856696,True,False,False,False,True,False,
0.0,2,¬sig_h1_dr,0.0,0.09853687898644875,0.09853687898644875,-0.05660645345598865,0.2868168189108696,0.3434232723668582,True,False,False,False,True,False,
0.0,2,sig_macro_vix_up,0.0,-0.11288192743765627,-0.11288192743765627,-0.5879101749981652,0.34939177820397627,0.9373019532021415,True,False,False,False,True,False,EVIDENCE
0.0,2,¬sig_macro_vix_up,0.0,0.1237165730457293,0.1237165730457293,-0.3186339844055434,0.5722156376984294,0.8908496221039728,True,False,False,False,True,False,EVIDENCE
0.0,2,sig_rs_intact+sig_conso,0.0,-0.04842017931383178,-0.04842017931383178,-0.17976690833740225,0.08373539640451039,0.2635023047419126,True,False,False,False,True,False,
0.0,2,sig_rs_intact+sig_macro_vix_up,0.0,-0.23228904486654983,-0.23228904486654983,-0.6791849187019947,0.23200527505790952,0.9111901937599043,True,False,False,False,True,False,EVIDENCE
0.0,2,sig_conso+sig_lead_in_lag,0.0,0.019856658458846984,0.019856658458846984,-0.19472701296205672,0.1716561558748297,0.36638316883688643,True,False,False,False,True,False,
0.0,2,sig_conso+sig_h1_dr,0.0,-0.04675526747310343,-0.04675526747310343,-0.21560705844845515,0.1366401387651109,0.35224719721356607,True,False,False,False,True,False,
0.0,2,sig_conso+sig_macro_vix_up,0.0,-0.11452616136433647,-0.11452616136433647,-0.5042224089558276,0.265294598538343,0.7695170074941706,True,False,False,False,True,False,EVIDENCE
0.0,2,sig_lead_in_lag+sig_h1_dr,0.0,-0.022624068910389577,-0.022624068910389577,-0.23775890210591358,0.14399736287751017,0.38175626498342374,True,False,False,False,True,False,
0.0,2,sig_lead_in_lag+sig_macro_vix_up,0.0,-0.23286411335809185,-0.23286411335809185,-0.8786103921244337,0.2826794096474365,1.1612898017718702,True,False,False,False,True,False,EVIDENCE
0.0,2,sig_h1_dr+sig_macro_vix_up,0.0,-0.2072399996067994,-0.2072399996067994,-0.6683853372140829,0.2013800203299555,0.8697653575440384,True,False,False,False,True,False,EVIDENCE
0.0,2,sig_conso+sig_lead_in_lag+sig_h1_dr,0.0,-0.01750167373199419,-0.01750167373199419,-0.23452640642504471,0.18737997792817024,0.4219063843532149,True,False,False,False,True,False,
0.0,2,rsi<35,0.0,-0.09006483370525697,-0.09006483370525697,-0.2830993136368368,0.07275778256241718,0.355857096199254,True,False,False,False,True,False,
0.0,2,rsi35-50,0.0,0.0831388483006716,0.0831388483006716,-0.03414622353940919,0.18445028779853553,0.21859651133794472,True,False,False,False,True,False,
0.0,2,rsi50-65,0.0,-0.06764102581274069,-0.06764102581274069,-0.19647838381268146,0.057104147957661104,0.25358253177034257,True,False,False,False,True,False,
0.0,2,rsi>=65,0.0,-0.025603791625979942,-0.025603791625979942,-0.18546491437548687,0.16110509857057295,0.3465700129460598,True,False,False,False,True,False,
0.0,2,adx-1,0.0,-0.0738595989557728,-0.0738595989557728,-0.8899613650806316,0.7071627877366317,1.5971241528172633,True,False,False,False,True,False,EVIDENCE
0.0,2,adx0,0.0,0.013406416981564476,0.013406416981564476,-0.0826762193223819,0.08616038478390563,0.16883660410628754,True,False,False,False,True,False,
0.0,2,adx1,0.0,-0.018226514247189136,-0.018226514247189136,-0.18244866764705128,0.17499324032183583,0.3574419079688871,True,False,False,False,True,False,
0.0,2,adx2,0.0,0.06494255730286694,0.06494255730286694,-0.05533543059687434,0.20175733545073704,0.2570927660476114,True,False,False,False,True,False,
0.0,2,adx3,0.0,-0.021057648745746,-0.021057648745746,-0.12693359262114234,0.07614741976949094,0.20308101239063328,True,False,False,False,True,False,
0.0,2,rsi<35&rs,0.0,-0.2335777776515066,-0.2335777776515066,-0.5305989571142776,0.05197324012032327,0.5825721972346009,True,False,False,False,True,False,EVIDENCE
0.0,2,rsi35-50&rs,0.0,0.10170690941797693,0.10170690941797693,-0.0722432265777496,0.23841875665454848,0.3106619832322981,True,False,False,False,True,False,
0.0,2,rsi50-65&rs,0.0,-0.12834343917901372,-0.12834343917901372,-0.2717970382063076,0.022461275763176976,0.29425831396948454,True,False,False,False,True,False,
0.0,2,rsi<35&conso,0.0,-0.11088112846039766,-0.11088112846039766,-0.315347973509378,0.13766522190362876,0.4530131954130068,True,False,False,False,True,False,
