rule,n,mean_all,med_all,win_all,hold,exit_rate,mean_mined,mean_oos,win_mined,win_oos,pf_mined,pf_oos
hold 2b,20527,0.004590802082983538,-0.10946493717065006,48.08788425001218,2.0,0.0,-0.06981728292442409,0.07453341747696109,47.697566861049665,48.454777431244686,0.9535149532705655,1.0596721224982426
stop 8% · 20b,20527,0.4018406484790967,-2.4566361556064007,41.452720806742335,15.300092561017197,41.78886344814147,-0.07777415919889787,0.8526722217864716,38.48783430524834,44.239674888951896,0.9814093943963664,1.2360528778230666
stop 5% · 20b,20527,0.30788165364634323,-5.200000000000005,33.37068251571102,12.294246602036342,59.09290203147075,-0.08694511449046473,0.6790135916379029,30.182988135934043,36.3670730554768,0.9743748574217684,1.2245488247269236
hold 1b,20527,-0.08296962602416146,-0.15,45.983339016904566,1.0,0.0,-0.1149837775403421,-0.05287674718662883,45.716871103961395,46.233815329363956,0.879517020474025,0.9381740197470525
hold 40b,20527,1.4491138242565071,0.21900369003691758,50.79651191114143,40.0,0.0,-0.12438251153161545,2.928179560552572,47.80816408606475,53.60551932709574,0.982819085520452,1.562973990381386
stop 5% + trail 8% · 60b,20527,0.15522160447493072,-5.199999999999993,31.80688848833244,15.56340429677985,94.41710917328396,-0.13002103390110606,0.4233459104278711,29.247938869897443,34.21226727152443,0.9589590490005694,1.1450338047735256
⚡ATR×16 · 60b,20527,2.1633740356607793,0.3686042998841733,50.91830272324256,59.065718322209776,4.019096799337458,-0.1415725789500876,4.329993356038785,47.13452644279107,54.47500236272565,0.9832890901157458,1.6939192151707327
trail 20% · 60b,20527,1.2217682657423632,-2.016832607342883,45.16490475958494,44.71262239976616,47.45944365957032,-0.1826601523548989,2.541912396391203,41.74542529660165,48.37917021075513,0.9724590484048068,1.4528279801539836
stop 5% + trail 12% · 60b,20527,0.3026236585123574,-5.200000000000005,27.963170458420617,20.318945778730452,86.98786963511472,-0.18268187229817687,0.758804436268862,25.155841544339435,30.602022493148095,0.9502114731962369,1.2249629486079525
stop 12% + trail 8% · 60b,20527,0.17327237940288218,-2.8179159049360187,36.147513031616896,17.918010425293517,93.27714717201734,-0.182895229805629,0.5080652195113645,33.149004624974864,38.96607125980531,0.9488132314019714,1.157727383918993
⚡ATR×12 · 60b,20527,2.097122344924276,0.3293863854266611,50.80625517610952,58.32990695181955,7.580260145174648,-0.22031106845672893,4.275479090930086,47.03398351095918,54.35214062943011,0.9741747836839012,1.6802100578217005
stop 12% + target 20% · 20b,20527,0.353218692050095,-0.5565040650406471,47.60072100160764,16.399571296341403,36.66877770740975,-0.24256105354587804,0.9132437699914566,44.84214759702393,50.19374350250448,0.9461449800050151,1.2426784936821618
stop 5% + target 20% · 20b,20527,0.1363034149814571,-5.200000000000005,34.38398207239246,11.512788035270619,66.86802747600721,-0.2651145526341879,0.5136309932732258,31.319123265634424,37.26490879879029,0.9205414412799083,1.1723421127943716
stop 8% + trail 12% · 60b,20527,0.3804758254139006,-5.233333333333346,35.94290446728699,26.45091830272324,81.33677595362205,-0.2736125166457518,0.9953102125347121,32.71667001809773,38.9755221623665,0.9409146779842563,1.242342663931477
stop 8% + target 20% · 20b,20527,0.20100431139925262,-2.1500000000000017,42.592682808008966,14.336532371997857,51.62956106591319,-0.2737268873471521,0.6472453569272502,39.84516388497889,45.17531424251016,0.933014770094215,1.182533187698393
stop 8% + trail 8% · 60b,20527,0.07328854079386363,-2.953335250143768,35.80162712524967,17.918010425293517,93.27714717201734,-0.29321536660282055,0.4177973644369428,32.89764729539513,38.53132974199036,0.9201896500990839,1.1266168601927762
stop 5% + target 12% · 20b,20527,0.0428804479528283,-5.199999999999993,37.26798850294733,10.343060359526477,75.79772981926244,-0.30504658493804043,0.3699272553559641,34.36557410014076,39.996219638975525,0.904462005759516,1.129542068594384
stop 12% + target 12% · 20b,20527,0.19553956196635638,0.1531973539139976,50.67472109904029,14.86588395771423,49.58347542261412,-0.3188613045486376,0.6790695703169972,48.08968429519405,53.10462149135242,0.9246943578629488,1.1916630461581197
stop 5% + trail 20% · 60b,20527,0.47269806823201427,-5.200000000000005,24.392263847615336,23.509036878257906,79.30043357529108,-0.32040988539133525,1.2182090508175762,21.294992961994772,27.303657499291184,0.9201269043739673,1.330226425746992
target 20% · 20b,20527,0.4642389646264024,0.1458579881656709,50.70395089394456,18.77044867735178,13.494421980805768,-0.3283026167847865,1.209217564826354,48.08968429519405,53.161326906719594,0.9340670177636946,1.3162315329483492
hold 60b,20527,2.099930793506246,0.4353658536585371,51.118039655088424,60.0,0.0,-0.3369147544419841,4.3905333660318195,47.375829479187615,54.63566770626594,0.9608843710652296,1.7039466626810664
stop 12% + trail 12% · 60b,20527,0.4491054417698632,-3.3557788944723606,39.46996638573586,29.560919764212986,78.20918789886491,-0.33783902057713683,1.1888228241064345,36.18540116629801,42.55741423305926,0.9333651875827087,1.2707429121992184
⚡ATR×9 · 60b,20527,1.945538183717677,0.03621973929235925,50.09012520095484,56.08900472548351,17.06532859161105,-0.3426553227580605,4.096409804113452,46.340237281319126,53.61497022965693,0.9599476395807173,1.6435083193091662
stop 8% + target 12% · 20b,20527,0.07440283821395417,-1.2941647597253856,45.63745311053734,12.958493691235933,62.678423539728165,-0.35087101350823213,0.47415463192238105,43.04242911723306,48.0767413287969,0.9093446965863238,1.1411413064267353
stop 5% + target 5% · 20b,20527,-0.16535820288174916,0.13612303290413977,50.216787645540016,7.049641935012422,90.86568909241487,-0.36757247479176347,0.024720537163331852,48.05952141564448,52.24458935828371,0.856509050021439,1.0107335658018481
target 12% · 20b,20527,0.3132628190195993,0.8490009990009874,53.80230915379743,17.056559653139768,28.693915331027426,-0.38052563611002177,0.9654147871435206,51.3070581138146,56.14781211605708,0.9172384312100281,1.2719340699690607
target 5% · 20b,20527,0.031748105693366335,4.850000000000004,66.48316850976762,12.10625030447703,59.438787937837965,-0.38627590494318864,0.4246851447058582,64.98089684295194,67.89528399962197,0.8843228433178835,1.1631672787131682
stop 12% + target 5% · 20b,20527,-0.07645076061880918,4.800000000000004,63.73069615628197,10.44974911092707,74.3021386466605,-0.392441114066202,0.22057599067008316,62.0349889402775,65.32463850297704,0.8766782734250855,1.0828774319677759
stop 8% + target 5% · 20b,20527,-0.1374766221000313,4.800000000000004,58.985726116821745,9.001510206070055,82.97851610074535,-0.3949695575578201,0.10456333027338964,57.1787653327971,60.68424534543049,0.8673188964902535,1.040512952672501
target 3% · 20b,20527,-0.08311711675753841,2.8500000000000028,76.02182491352852,8.993325863496858,73.38627173965996,-0.40815110939487476,0.22241053571112687,74.65312688517997,77.30838295057177,0.8361967804299578,1.1157758921887628
stop 5% + target 8% · 20b,20527,-0.09967236997125359,-5.199999999999993,41.67194426852438,8.985482535197544,83.39260486188923,-0.41096788451862937,0.19294129487027356,38.83973456665996,44.33418391456384,0.8623104139199322,1.0726510514673417
stop 12% + trail 20% · 60b,20527,0.9490974097504747,-4.385827664399095,41.116578165343206,39.399863594290444,57.03220149071954,-0.43795441392811457,2.252907771560063,37.16066760506737,44.835081750307154,0.9304669397461884,1.41935066582202
stop 12% + target 8% · 20b,20527,0.007734301874936441,1.48309744148068,55.22482583913869,13.063672236566473,61.13411604228577,-0.45220523835362403,0.44007138410849317,52.81520209129298,57.489840279746716,0.8827924715865955,1.1372788709028443
stop 8% + target 8% · 20b,20527,-0.07462947706633809,0.1048234437568242,50.30447703025283,11.33794514541823,72.43143177278706,-0.4536392623109578,0.28163470628523435,47.85843555198069,52.603723655609116,0.8724215968345763,1.0917975144251884
target 8% · 20b,20527,0.13426412382855568,2.4725769669327327,58.28421103911921,15.036829541579383,42.86062259463146,-0.4713591679985599,0.7035420049846366,55.99235873718078,60.438521878839424,0.8854288467057164,1.2222382564353378
stop 8% + trail 20% · 60b,20527,0.669228141173762,-8.199999999999998,33.765284746918695,31.86154820480343,68.54874068300288,-0.4769930199725018,1.746660866696939,29.86125075407199,37.43502504489179,0.9108802519742597,1.3708214076228196
⚡ATR×6 · 60b,20527,1.53260502560335,-1.7537735849056544,46.2658937009792,49.24567642617041,40.030204121401084,-0.5029756942894711,3.446023968997547,42.54976875125679,49.75900198468954,0.938823834916055,1.5553548649102575
