ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
ASTE,🏦majority,0.651,16.794,11.41,4.578,-5.535,-0.397,,,,
ASTL,🏦majority,-2.717,18.436,5.611,0.803,-4.331,2.717,,,,
ASTS,🎰lottery,-0.847,31.655,60.847,3.548,-7.511,-7.458,,,,-50.445
ATEC,🏦majority,-0.928,24.713,12.873,-6.964,2.882,-1.785,,,,
ATEN,🏦majority,1.977,14.202,16.229,0.814,-1.867,1.811,,,,
ATEX,🏦majority,-1.788,21.729,-4.208,3.676,-4.617,2.614,,,,
ATI,🏦majority,5.536,18.17,-10.119,6.546,3.797,6.518,,-1.374,,
ATKR,🏦majority,1.615,17.297,0.211,2.901,2.138,-7.825,,,,
ATMU,🏦majority,2.942,13.569,-1.055,2.239,14.554,-1.839,,,,
ATO,🏦majority,1.761,6.433,3.969,3.42,0.242,1.185,,,,
ATR,🏦majority,-0.083,7.614,4.5,-1.15,-2.592,-0.617,-2.436,,,
ATRC,🏦majority,-2.305,16.256,3.028,0.423,-1.554,-0.348,,,,
AU,🏦majority,5.386,19.862,-2.766,-1.472,-3.199,1.359,,,,
AUB,🏦majority,0.882,11.551,10.729,2.115,3.358,-2.38,,,,
AUPH,🏦majority,0.257,23.321,5.055,-3.6,3.502,-0.997,,,,
AVA,🏦majority,-0.403,7.031,6.129,2.401,0.715,-0.368,,,,
AVAV,⚡panic,1.588,22.634,27.956,-0.213,0.198,-15.581,11.466,,,-14.437
AVB,🏦majority,-0.098,7.424,7.164,-1.702,-3.035,0.06,,,,
AVGO,🏦majority,6.244,15.684,10.482,2.777,-2.369,-0.444,,,,
AVNS,🏦majority,-1.413,16.462,-1.241,-0.625,2.647,-3.196,1.413,,,-15.811
AVNT,⚡panic,0.283,12.767,11.598,0.849,-4.961,-3.911,11.598,,,
AVPT,🏦majority,0.053,17.22,-9.488,4.339,12.697,-1.096,,,,
AVT,🏦majority,0.878,10.793,19.204,5.388,-0.094,-2.867,,,,
AVTR,⚡panic,-3.08,14.172,4.348,0.474,-7.077,-0.545,8.369,,,
AVXL,⚡panic,-5.973,24.742,29.263,4.977,-5.519,-9.013,,,,
AVY,🏦majority,-0.26,7.748,1.816,-0.139,-1.766,-1.733,1.786,,,
AWI,🏦majority,-0.706,11.613,9.449,-1.977,-5.023,5.638,,,,
AWK,⚡panic,-1.315,8.412,14.912,1.038,-4.594,-2.972,11.773,,,
AWR,🏦majority,-0.13,7.435,5.036,0.541,-0.666,-1.255,,,,
AX,🏦majority,2.798,15.655,-3.678,6.438,-7.245,-3.831,,,,
AXON,🏦majority,1.462,19.761,-2.327,-1.852,5.501,-1.852,,13.726,,
AXP,🏦majority,3.635,10.505,22.2,2.703,-3.393,2.851,,,,
AXS,🏦majority,1.698,7.109,,1.206,-2.744,-1.776,,,,
AXSM,🎰lottery,6.332,24.562,,8.458,5.104,0.487,,-6.018,,-39.74
