ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
APD,🏦majority,0.078,3.718,0.066,-0.124,-0.11,-0.094,0.022,-0.058,-0.786,-1.784
APGE,🏦majority,0.617,11.74,-0.257,0.412,-0.105,0.017,0.837,0.723,0.051,0.87
APH,🏦majority,0.694,4.179,-0.012,0.1,-0.084,-0.077,0.055,0.059,-0.278,-1.786
APLD,⚡panic,0.902,15.536,1.79,-0.537,0.439,0.8,1.182,-0.515,4.6,-6.364
APOG,🎲chase,0.262,7.459,0.259,0.113,0.107,0.111,0.402,-0.632,0.4,-7.933
APP,🎲chase,0.764,10.969,-0.907,-0.023,0.257,0.021,-1.163,0.035,0.296,0.456
APPF,🎲chase,0.214,6.208,-1.047,0.15,0.153,0.0,-0.865,0.039,0.249,-1.549
APPN,⚡panic,-0.701,8.515,0.142,-0.06,-0.408,-0.39,0.452,-0.662,-0.314,-3.932
APPS,🎰lottery,-1.094,12.715,-0.444,-0.23,-0.406,0.852,-0.854,-0.212,-0.697,-7.858
APTV,🏦majority,-0.198,5.779,-0.032,-0.098,0.096,-0.206,-0.203,-0.034,0.661,-2.018
ARCB,🏦majority,0.125,7.158,0.617,0.065,-0.279,-0.035,0.415,-0.039,0.478,-1.024
ARCC,🏦majority,0.303,2.668,0.02,0.138,-0.024,-0.065,0.18,0.258,-0.076,-0.402
ARCT,🎲chase,-1.036,15.266,-0.149,0.288,0.519,-0.093,0.875,-0.115,-1.646,-2.523
ARDX,🎲chase,-0.726,9.871,0.056,0.051,0.311,-0.11,-0.396,-0.499,-0.62,-0.778
ARE,🏦majority,-0.127,4.814,-0.475,0.153,-0.054,-0.006,-0.391,-0.16,-0.267,-0.992
ARHS,🎰lottery,-0.348,11.03,-0.711,-0.472,0.348,0.508,-0.896,1.098,1.609,-8.227
ARLP,🏦majority,0.823,5.657,-0.066,-0.001,0.057,-0.002,0.287,-0.06,-0.518,-1.615
ARQQ,🎰lottery,-3.128,27.019,0.628,-2.946,-1.148,1.539,0.73,1.545,0.326,-29.957
ARQT,⚡panic,0.035,10.858,0.623,0.446,-0.115,-0.406,0.281,-0.542,0.078,-12.769
ARRY,⚡panic,-1.264,11.68,0.769,0.262,0.193,-0.272,0.639,0.225,-0.419,-3.113
ARVN,⚡panic,-0.724,10.618,1.039,-0.245,0.116,-0.043,0.894,-0.547,-0.772,-5.868
ARWR,🏦majority,-0.249,9.172,0.179,0.268,-0.199,0.161,0.656,0.223,0.32,-1.22
ASAN,⚡panic,-0.773,11.272,0.914,-0.16,-0.105,-0.173,0.25,-1.19,0.566,-1.046
ASND,⚡panic,-0.07,6.973,0.874,0.033,-0.381,-0.081,0.805,0.813,-0.1,-0.785
ASO,🏦majority,-0.171,6.196,-0.056,0.171,0.364,0.035,0.14,-0.003,0.387,0.372
ASTE,🏦majority,0.634,10.521,0.183,-0.377,-0.234,0.542,0.072,-0.401,0.037,-2.294
ASTH,🎲chase,0.473,10.673,-1.037,0.32,-0.128,0.139,-1.024,-0.213,0.583,-2.719
ASTL,🎲chase,-0.916,8.667,0.284,-0.231,0.307,0.266,-0.316,-0.614,-0.412,-0.363
ASTS,🎰lottery,-0.688,15.412,0.068,-0.593,0.529,0.765,-0.337,-0.729,0.326,-5.781
ATEC,🎲chase,0.25,9.584,-0.434,0.176,0.344,-0.082,-0.154,-0.25,0.744,-5.647
ATEX,🏦majority,-0.005,10.739,-0.424,0.072,-0.522,0.315,-0.158,0.306,-1.13,-0.697
ATO,🏦majority,0.302,2.574,0.315,0.105,-0.113,-0.008,0.201,-0.054,0.154,-0.824
ATRC,⚡panic,-0.031,6.911,0.551,0.468,0.003,-0.108,1.208,0.461,0.054,0.0
ATRO,⚡panic,2.14,10.901,1.777,0.299,0.14,-0.098,1.448,-0.796,-1.323,2.497
AUPH,⚡panic,0.09,9.959,1.295,0.255,-0.09,-0.09,0.987,0.108,0.684,-3.506
AUR,⚡panic,-0.561,11.699,0.273,0.386,0.422,-1.193,0.233,-0.492,-0.689,-6.825
AVAV,🎲chase,0.309,9.004,-0.257,0.156,0.264,-0.41,0.028,-0.14,-0.056,-9.456
AVB,🏦majority,0.088,2.931,0.312,0.007,-0.017,-0.088,0.257,-0.185,-0.212,-0.599
AVGO,🏦majority,0.611,6.124,0.135,0.158,0.113,-0.132,0.042,0.062,0.301,-1.732
AVPT,🏦majority,0.254,7.051,0.785,-0.36,-0.153,0.139,0.147,-0.131,-0.254,-4.063
AVT,🏦majority,0.23,4.112,0.113,0.068,-0.015,-0.037,0.023,-0.093,0.13,-1.593
