ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
AUPH,⚡panic,0.626,13.073,1.374,0.207,0.633,0.562,1.615,-0.766,1.365,-3.412
AVAV,🏦majority,0.571,11.936,0.025,-0.2,-0.374,0.49,0.919,3.292,-2.266,-2.376
AVB,🏦majority,0.288,4.012,1.613,-0.193,-0.468,-0.819,1.45,-0.555,0.597,-1.747
AVGO,🏦majority,1.639,8.408,1.487,0.645,0.715,0.099,0.228,-1.271,-2.432,-1.081
AVPT,🏦majority,0.496,9.399,0.453,-0.122,0.297,0.046,0.484,-0.125,-0.967,-6.707
AVT,🏦majority,0.614,5.876,1.811,0.157,-0.442,0.26,2.09,-0.561,0.427,-1.986
AVXL,🏦majority,-2.393,14.552,-0.382,-0.471,0.921,0.087,2.393,-1.496,-3.712,-8.394
AVY,🏦majority,-0.158,4.45,1.281,0.199,-0.137,-0.252,0.674,-0.163,0.159,-2.62
AWK,🏦majority,0.0,4.471,-0.285,0.487,-0.776,-0.861,-0.31,-0.696,-0.969,-6.669
AXON,⚡panic,1.006,10.337,1.88,1.096,-0.955,-1.426,0.555,-0.872,0.825,-10.294
AXP,🏦majority,0.641,5.738,0.351,0.0,0.354,-0.655,0.524,0.101,0.919,-3.274
AXSM,🎰lottery,1.128,13.882,-0.91,0.499,0.893,1.06,-0.187,0.932,-5.738,-0.32
AZO,🏦majority,0.693,4.794,1.542,0.456,0.423,-0.107,1.311,-0.328,-0.751,-1.921
AZTA,🎰lottery,-0.784,10.213,-1.556,1.42,-0.211,-0.672,-0.065,-1.516,-2.199,-4.612
BA,🏦majority,0.038,7.442,0.477,-0.517,-0.806,0.819,0.656,-0.199,1.547,-7.542
BABA,🏦majority,-1.271,10.48,1.973,-0.728,0.251,-0.882,3.412,-0.223,1.97,-7.372
BAC,🏦majority,0.864,5.797,-0.633,0.588,0.418,-0.147,0.342,2.399,-0.588,-0.729
BALL,🏦majority,0.375,5.928,0.658,-1.204,-0.466,-0.265,-0.623,-0.049,-1.081,-9.325
BAND,🏦majority,-1.475,19.307,3.102,-1.597,-0.119,-0.29,-0.415,5.558,-8.749,-8.116
BANF,🏦majority,0.381,6.407,-0.223,0.258,0.513,0.181,0.327,-0.147,0.902,-3.44
BANR,🏦majority,0.464,6.059,1.226,-0.07,-0.092,0.053,1.065,0.667,-0.592,
BATRK,🏦majority,0.184,5.049,0.727,0.598,0.758,-0.05,0.564,-0.346,0.441,
BAX,🏦majority,-0.407,6.43,0.407,0.037,-1.133,-0.449,1.318,-1.094,-2.094,-1.849
BBIO,🎰lottery,0.341,14.177,-2.332,0.428,-1.829,-1.653,-2.63,0.297,-3.737,-16.794
BBY,🏦majority,-0.217,7.066,0.283,-0.395,0.195,-0.47,0.534,-0.327,0.972,-2.672
BCPC,🏦majority,0.088,4.882,0.803,0.071,0.114,-0.324,1.338,-1.014,-1.54,-3.632
BCRX,🏦majority,-0.858,10.343,1.566,0.698,-0.837,-1.325,1.433,-2.738,3.082,-3.083
BDX,🏦majority,0.04,4.261,0.741,0.186,-0.481,-1.101,1.186,-0.49,0.978,-1.028
BEAM,🏦majority,-1.588,13.372,1.182,-0.151,-0.233,-2.318,0.308,0.137,0.536,-10.719
BELFB,⚡panic,4.141,12.917,2.637,0.377,-0.142,1.065,7.907,-1.785,-2.562,0.916
BGC,⚡panic,0.626,6.745,4.554,1.389,-0.068,0.287,2.212,-0.626,1.016,-0.983
BHF,🏦majority,0.384,7.965,1.951,-0.322,-0.16,-0.024,0.055,0.074,-0.307,-7.085
BIDU,⚡panic,-0.492,9.801,1.569,-0.187,0.294,-0.525,3.26,-2.187,1.226,-3.393
BIIB,🏦majority,-0.598,5.906,0.653,-0.335,-0.564,-0.323,0.356,0.231,-0.534,-4.612
BILI,🏦majority,-1.613,14.698,1.159,-0.74,1.269,0.492,1.754,-0.948,1.24,-11.404
BILL,🏦majority,-0.541,13.542,1.423,0.135,-1.46,0.246,-0.358,0.466,-0.181,-3.784
BIO,🏦majority,-0.028,7.002,1.002,0.401,-0.515,-1.351,0.66,-0.873,-1.224,-8.596
BJRI,🏦majority,0.966,8.809,-1.211,0.69,-1.259,-1.135,-0.672,-1.237,2.448,-9.765
BKNG,🏦majority,0.953,6.451,0.291,0.121,0.588,-0.296,0.133,-0.453,0.962,-0.802
BKR,🏦majority,0.816,6.91,0.725,0.05,0.587,0.012,1.357,0.185,-0.956,-6.071
BL,🏦majority,-0.608,8.174,2.305,0.103,0.439,-0.53,1.225,-2.469,1.673,-6.939
BLBD,⚡panic,1.202,13.192,2.904,-0.132,-0.853,-1.055,2.071,-1.142,1.854,0.582
