family,best,n,sharpe,mean,lo,hi,k_low,k_mid,k_high,dsr_low,dsr_mid,dsr_high,p,bh_thr,fdr_pass,class
🪨T1G-NB,🪨T1G-NB🏆RS,342,0.21657218005070852,5.177018895742894,2.6461583238471156,8.138005422002845,1,1,83,1.0,1.0,0.0001,0.0,0.04923076923076924,True,solid
ZRT,ZRT🟢L46🔵dw,10750,0.146043982772061,2.647530813799628,1.9070082977751897,3.464922423202504,2,2,84,1.0,1.0,0.0,0.0,0.05076923076923077,True,solid
Atomic-R,Atomic-R,3337,0.24849358055744075,5.246274692168408,3.02955264503825,7.809293644179587,1,1,83,1.0,1.0,0.0,0.0,0.05230769230769231,True,solid
Engulf-Abs-Lⁿ,Engulf-Abs-Lⁿ,693,0.2566343988270657,5.836992937180883,1.4939624794164343,9.697442933244877,1,1,83,1.0,1.0,0.0003,0.0,0.05384615384615385,True,solid
Engulf-L46,Engulf-L46,279,0.2626899132831209,6.304569060201071,1.3790642540445741,10.880620866886039,1,1,83,1.0,1.0,0.0172,0.0,0.05538461538461539,True,solid
FailedBear,FailedBear🧱OB,186,0.38343541743603327,9.341533769905363,6.027331231798241,13.011320716339267,1,1,83,1.0,1.0,0.5417,0.0,0.05692307692307692,True,solid
FailedBear-Turn,FailedBear-Turn,997,0.19246614357790287,3.66801309932984,2.225132127673002,5.09798977271865,1,1,83,1.0,1.0,0.0,0.0,0.05846153846153847,True,solid
G3+RL,G3+RL,4374,0.23995859227350502,5.490024078581107,3.194845275702323,7.816309650147229,1,1,83,1.0,1.0,0.0,0.0,0.06,True,solid
G3-Abs,G3-Abs🎋TLS,1069,0.34465952437608743,7.001087843993201,0.6682997281396438,12.683005219662158,2,2,84,1.0,1.0,0.1194,0.0,0.06153846153846154,True,solid
G3-gap,G3-gap,20085,0.19250251133799123,4.748232954504588,2.7228835055408034,6.727008013489698,1,1,83,1.0,1.0,0.0,0.0,0.06307692307692307,True,solid
G3→G3,G3→G3🕐DR,2904,0.37095231412327395,7.859755003707478,4.887837907123846,10.466395076815795,2,2,84,1.0,1.0,0.3357,0.0,0.06461538461538462,True,solid
G3→G3→RL,G3→G3→RL🧱OB,412,0.8001172728623483,22.56682566988725,9.25016317677232,26.3136887654053,2,2,84,1.0,1.0,1.0,0.0,0.06615384615384616,True,robust
ZRT🟢,ZRT🟢🔎iv,12680,0.14619515062622784,2.703786940964473,1.9262712866105454,3.4624955053007302,1,1,83,1.0,1.0,0.0,0.0,0.0676923076923077,True,solid
HighBase-15mDip,HighBase-15mDip,28982,0.11027795068953555,2.3407959657268544,1.4587639235708354,3.2194596690818194,1,1,83,1.0,1.0,0.0,0.0,0.06923076923076923,True,solid
L34camp→REV,L34camp→REV,574,0.16397577200789434,3.706661299063612,1.5231610700200835,5.9781942097932745,1,1,83,1.0,1.0,0.0,0.0,0.07076923076923078,True,solid
G3→L46 🕐,G3→L46 🕐,33266,0.1632934558170546,4.178016366287999,2.6488043639995973,6.28109249460888,1,1,83,1.0,1.0,0.0,0.0,0.07230769230769231,True,solid
L43-TRIPLE,L43-TRIPLE🕐DR,234,0.5064760796397212,8.174176706283744,5.312377484134237,10.771589433922516,5,5,87,1.0,1.0,0.9709,0.0,0.07384615384615385,True,robust
Z11-T11,Z11-T11🏆RS,161,0.5652126923600477,9.749193169987871,5.455602527899106,13.676281632936519,2,2,84,1.0,1.0,0.9926,0.0,0.07538461538461538,True,robust
Washout,Washout🕐DR,2344,0.3079684288798161,5.8267157764209045,4.019245003418238,7.673836975174761,7,7,89,1.0,1.0,0.0001,0.0,0.07692307692307693,True,solid
L43,L43🔵dwell,1445,0.26375501590646344,6.146355250820965,3.3378727696118338,8.582525325692867,1,1,83,1.0,1.0,0.0,0.0,0.07846153846153847,True,solid
QZ-Capit-Rev,QZ-Capit-Rev,38896,0.12549679397432215,2.7453227683524974,1.974216435372849,3.569644560344969,1,1,83,1.0,1.0,0.0,0.0,0.08000000000000002,True,solid
QZ-Capit,QZ-Capit🧱OB,9550,0.3195734320957592,8.579862049189224,7.277028720979889,10.048496285058546,7,7,89,1.0,1.0,0.0,0.0,0.08153846153846155,True,solid
RTB-Base,RTB-Base🕐DR,3593,0.2916262478466637,4.787374056769324,3.4909950752752277,6.063816090748688,5,5,87,1.0,1.0,0.0,0.0,0.08307692307692309,True,solid
P55,P55,34851,0.04403683569276498,1.0690738242025635,0.4740231832511704,1.6896242674841795,1,1,83,1.0,1.0,0.0,0.0,0.08461538461538462,True,solid
NS→SC,NS→SC,854,0.20751150347860256,4.857456693181084,2.0262824802768207,7.735056289160772,1,1,83,1.0,1.0,0.0,0.0,0.08615384615384616,True,solid
ND→SC→L46 🕐,ND→SC→L46 🕐,331,0.3078891047230878,7.937237902775158,1.0938927366721545,14.592928197287785,1,1,83,1.0,1.0,0.0848,0.0,0.0876923076923077,True,solid
Parabola,Parabola,104750,0.041423904394616594,0.846620093929153,0.4140031903225902,1.3048498842746536,1,1,83,1.0,1.0,0.0,0.0,0.08923076923076924,True,solid
Engulf-Abs,Engulf-Abs🏆RS,160,0.3491545770101922,7.6790139816876035,2.4749939568125856,13.140914279788046,2,2,84,0.9999,0.9999,0.3401,9.999999999998899e-05,0.09076923076923077,True,solid
🏆L34→L34+RS,🏆L34→L34+RS,194,0.18637213330313265,5.117094486990234,1.6279796509516573,9.601642285569516,1,1,83,0.9998,0.9998,0.0001,0.00019999999999997797,0.09230769230769231,True,solid
T1-CapBounce,T1-CapBounce,364,0.2568464287022987,6.043994935548604,3.488044506762313,8.326947063053847,2,2,84,0.9996,0.9996,0.0108,0.00039999999999995595,0.09384615384615386,True,solid
🥪T2G-Sandwich,🥪T2G-Sandwich🏆RS,197,0.1736080535426125,3.615946253746285,0.7867602410823887,6.819372326339662,1,1,83,0.9972,0.9972,0.0006,0.0028000000000000247,0.0953846153846154,True,solid
Atomic,Atomic🏆RS💎,10166,0.14392722358609508,3.121540898404639,1.8052424364350392,4.347787269026158,3,3,85,0.9331,0.9331,0.0,0.06689999999999996,0.09692307692307693,True,solid
Spring,Spring🏆RS,282,0.23417367035789863,4.626338564995544,2.2236192129546395,7.516413408943188,4,4,86,0.9262,0.9262,0.0021,0.07379999999999998,0.09846153846153848,True,solid
D+L1,D+L1🧱OB,1022,0.20970513904400587,6.065971183349901,3.733864009393611,8.322163857196252,6,6,88,0.656,0.656,0.0,0.344,0.1,False,fragile
