ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
CHD,🏦majority,0.17,3.78,0.898,-0.17,-0.906,-0.115,0.685,0.317,-0.704,-2.035
CHRW,🏦majority,0.176,6.009,0.148,0.217,0.191,0.075,1.099,-0.786,3.11,-2.843
CHTR,🏦majority,-0.706,8.119,-0.061,0.709,-1.093,-0.086,0.367,-0.261,-0.301,-6.96
CI,🏦majority,0.53,4.971,0.869,0.556,-0.351,-0.405,1.804,-0.732,-0.826,-3.765
CIEN,🏦majority,1.13,9.824,-0.992,0.271,0.016,1.27,-0.809,1.753,-0.105,-5.484
CINF,🏦majority,0.563,4.595,1.39,0.391,-0.089,-0.412,0.923,-0.2,-1.493,-2.307
CL,🏦majority,0.104,3.527,0.157,-0.862,0.413,-0.33,-0.02,0.471,-1.029,-1.576
CLX,🏦majority,-0.483,5.163,1.236,-0.414,-0.601,0.049,-0.594,0.609,1.886,-5.216
CMCSA,🏦majority,-0.26,4.744,0.611,-0.238,0.033,-0.485,-0.653,1.106,0.643,-5.516
CME,🏦majority,0.204,4.029,0.47,-0.015,0.326,-0.448,0.734,-0.972,-0.03,-2.507
CMG,🏦majority,0.653,6.895,0.751,-0.733,-1.061,-0.514,0.295,-0.413,0.024,-5.315
CMI,🏦majority,0.876,5.144,-0.15,-0.407,0.249,-0.141,1.153,0.493,-0.627,-7.539
CMS,🏦majority,0.484,3.556,0.001,0.197,-0.158,-0.267,0.206,-0.422,0.024,-1.159
CNC,🏦majority,0.114,8.189,-0.354,-0.045,0.937,-0.103,-0.739,-1.336,-0.61,-3.834
CNP,🏦majority,0.63,3.818,0.876,0.49,-0.268,-0.497,0.042,-0.012,0.023,-2.421
COF,⚡panic,0.279,6.776,1.8,-0.372,0.469,0.201,1.069,-0.315,0.799,-6.112
COHR,🎰lottery,1.044,12.806,0.629,-0.05,-0.508,-0.552,2.385,-0.967,-0.695,-31.327
COIN,🏦majority,-0.793,17.314,2.284,-0.748,-2.185,0.559,0.371,-2.893,-1.117,-9.855
COO,🏦majority,0.077,5.694,0.469,-0.038,-0.803,-0.097,0.169,-0.666,-0.62,-6.609
COP,🏦majority,0.664,6.458,1.558,0.334,-0.324,0.023,-0.317,1.508,0.919,-4.714
COR,🏦majority,1.269,4.502,-0.219,-0.01,0.313,-0.513,-0.121,-1.618,-0.063,-3.699
COST,🏦majority,1.044,4.574,-0.094,-0.581,-0.313,0.166,-0.187,0.887,-0.95,-1.975
CPB,🏦majority,-0.286,4.359,-0.012,-0.178,0.131,-0.109,0.294,-0.67,1.58,-4.236
CPRT,🏦majority,0.064,5.216,0.161,-0.002,0.337,0.207,0.422,0.711,0.392,-3.228
CPT,🏦majority,0.281,4.23,0.395,0.025,-0.391,0.062,-0.141,-0.833,0.574,-1.513
CRH,🏦majority,0.915,5.919,0.262,0.261,-0.063,-0.166,0.158,1.167,0.708,-2.42
CRL,⚡panic,0.193,8.576,1.375,-0.535,0.011,-0.812,0.352,-0.056,-2.912,-4.328
CRM,🏦majority,0.144,7.006,-0.496,0.113,0.065,-0.706,0.778,-2.023,-0.446,-9.545
CRWD,⚡panic,1.07,11.491,1.152,-0.211,0.109,-0.051,-0.055,0.807,-0.73,-4.993
CSCO,🏦majority,0.634,4.83,-0.634,-0.174,0.062,-0.173,0.102,0.205,1.26,-3.666
CSGP,🏦majority,-0.639,6.681,0.232,0.507,-1.096,-0.883,0.748,-1.117,-0.121,-3.863
CSX,🏦majority,0.643,4.475,-0.773,-0.131,-0.052,-0.26,-1.291,-0.048,0.186,-6.211
CTAS,🏦majority,0.792,4.457,-0.129,0.553,0.042,-0.029,0.874,-0.102,0.631,-2.302
CTLT,🏦majority,0.542,10.197,0.536,-0.371,-1.032,-0.435,0.479,0.279,0.15,-8.127
CTRA,⚡panic,0.04,6.498,2.614,0.52,0.501,-0.578,1.929,0.179,0.887,-3.7
CTSH,🏦majority,-0.161,5.994,-0.258,0.01,0.761,-0.166,-0.277,-0.433,1.037,-2.364
CTVA,🏦majority,0.745,5.201,1.35,0.101,0.439,-0.109,1.294,0.548,0.668,-0.965
CVNA,🏦majority,0.387,18.185,0.132,-2.561,2.407,2.441,-0.171,3.869,1.458,-14.536
