ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
CLX,🏦majority,-1.148,9.953,3.09,-0.125,-1.572,0.125,2.23,,,-6.995
CMCSA,🏦majority,-3.026,8.719,2.063,-0.663,-1.421,-2.648,0.566,,,
CME,🏦majority,1.083,7.669,-1.157,0.726,0.781,-0.125,,,,
CMG,🏦majority,-0.518,13.393,7.096,0.981,2.223,3.99,,,,
CMI,🏦majority,3.001,10.131,11.232,0.843,1.007,-1.78,,,,
CMS,🏦majority,0.591,6.578,9.514,3.203,-0.33,-1.782,,,,
CNC,⚡panic,0.921,17.304,10.985,-1.299,-5.415,-0.288,8.677,,,-17.67
CNP,🏦majority,2.561,6.852,12.739,2.631,1.926,-3.258,,,,
COF,🏦majority,1.75,12.389,3.773,0.668,6.428,-0.055,,,,
COHR,🏦majority,5.067,25.8,1.701,7.886,-2.561,1.364,,,,5.697
COIN,🎰lottery,-3.017,31.18,10.961,-1.012,8.713,6.287,2.478,,,
COO,⚡panic,-1.215,10.771,10.617,-2.216,1.19,-3.039,8.172,,,
COP,🏦majority,0.736,12.33,0.463,0.704,-3.7,-8.616,,,,
COR,🏦majority,5.274,8.909,9.772,1.115,-4.935,-2.205,,,,
COST,🏦majority,2.774,8.826,16.26,0.789,-3.545,-1.597,,,,-1.438
CPB,🏦majority,-1.859,8.404,-0.525,-2.742,4.247,0.217,-0.884,,,
CPRT,🏦majority,-0.73,10.222,-2.813,-0.755,-1.758,-1.364,-2.667,,,
CPT,🏦majority,0.276,7.969,5.095,-1.276,-4.112,-4.156,1.897,,,
CRH,🏦majority,3.375,11.134,8.812,-1.921,5.488,-0.744,,,,
CRL,🏦majority,-1.92,15.18,2.34,0.639,0.891,-0.059,,,,
CRM,🎰lottery,-0.982,13.266,-0.275,-1.116,10.748,8.821,,,,
CRWD,🏦majority,5.408,22.128,14.97,3.521,4.727,-2.419,,-2.854,,
CSCO,🏦majority,2.065,10.705,1.43,-2.603,-2.122,-2.469,,,,
CSGP,🎰lottery,-2.354,12.401,-11.694,3.093,2.447,,-4.745,,,
CSX,🏦majority,1.502,8.668,13.656,-0.109,-0.698,0.212,,,,
CTAS,🏦majority,3.507,8.162,-3.609,1.798,-0.137,-3.073,,,,
CTLT,⚡panic,0.938,21.032,6.125,-0.548,-19.177,3.324,,,,
CTRA,🏦majority,0.137,10.816,6.836,1.365,-0.967,0.569,,,,
CTSH,🏦majority,1.665,10.755,-8.497,1.683,2.21,-0.794,-1.377,,,
CTVA,🏦majority,1.68,8.763,-1.039,1.725,2.501,-2.336,,,,
CVNA,🎰lottery,4.557,31.813,-25.082,13.279,-5.579,-3.044,,,,-56.169
CVS,🏦majority,0.816,11.915,0.618,-1.437,-3.577,0.069,,,,
CVX,🏦majority,1.674,9.81,8.798,2.838,-4.186,-0.753,,,,
CZR,⚡panic,-2.241,16.876,10.978,-1.245,-4.954,-12.12,12.175,,,
D,🏦majority,1.143,7.839,-0.146,0.686,1.121,0.076,0.102,,,
DAL,🏦majority,4.129,16.168,4.745,2.498,1.047,-5.21,,,,
DASH,🏦majority,4.811,18.401,-2.521,-5.653,5.062,1.293,5.716,,,10.345
DD,🏦majority,2.28,14.381,8.928,1.576,0.626,-2.249,,,,
DDOG,🎰lottery,0.104,21.166,16.513,-1.664,11.802,3.925,,-3.287,,
DE,🏦majority,1.493,10.08,,3.04,2.061,-4.496,,,,
DECK,🏦majority,3.287,16.074,-3.09,0.36,-2.48,-2.105,,,,
DELL,🏦majority,5.049,20.363,17.047,-1.92,-4.412,1.843,,-3.54,,
DFS,🏦majority,1.783,12.54,12.801,3.851,-5.834,-3.989,,,,
DG,⚡panic,-1.823,15.135,1.167,1.412,2.999,0.435,5.299,,,
DGX,🏦majority,1.268,8.118,9.679,2.523,-0.964,-2.188,,,,5.764
DHI,🏦majority,0.729,13.915,3.083,1.047,-2.752,2.035,,,,
DHR,🏦majority,-0.09,9.616,3.946,1.537,-0.383,-0.584,,,,
DIS,⚡panic,-3.056,11.968,10.329,0.154,-2.678,-2.149,7.304,,,
DKNG,⚡panic,0.329,21.431,1.266,-0.329,-2.576,-3.12,,,,
DLR,🏦majority,0.863,10.509,6.4,-1.463,0.378,-0.952,6.237,,,
DLTR,🏦majority,0.645,16.801,-0.97,3.933,3.201,-6.121,1.51,,,
DOC,🏦majority,-0.423,12.196,8.61,-0.27,-5.274,-2.63,,,,
DOCN,⚡panic,3.957,26.315,30.232,-2.636,1.158,-9.66,,,,
DOV,🏦majority,1.151,8.571,3.67,0.82,-1.753,2.571,,,,-1.004
DOW,🎰lottery,-1.652,12.84,-5.349,3.519,0.622,2.335,-1.528,,,
