delta,est,lo,hi,estimator,v1,v2,status,block
0.0,0.06976038881562063,-0.20265247119396365,0.3777459461208766,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.026669741593876584,-0.3146956070376941,0.3163259864621776,False,False,False,REJECT,VALIDITY
0.0,-0.28560264431437,-0.6578500404637205,0.021786211638724847,False,False,False,REJECT,VALIDITY
0.0,-0.0960749154189311,-0.3757336731168229,0.28571129621634717,False,False,False,REJECT,VALIDITY
0.0,-0.07338775246731322,-0.4022346756687234,0.27081689300067274,False,False,False,REJECT,VALIDITY
0.0,-0.08497436052453677,-0.3950773338398664,0.19195328809981263,False,False,False,REJECT,VALIDITY
0.0,-0.06964052328152226,-0.36039496335182275,0.22199832318578805,False,False,False,REJECT,VALIDITY
0.0,-0.18079913807417247,-0.539885973650035,0.11938159194281321,False,False,False,REJECT,VALIDITY
0.0,-0.14476309735851345,-0.4383116233851861,0.18147814676027274,False,False,False,REJECT,VALIDITY
0.0,-0.08257190574337825,-0.4324782314879075,0.18519175198530138,False,False,False,REJECT,VALIDITY
0.0,-0.0761058892930877,-0.4391964366562309,0.3590069936037765,False,False,False,REJECT,VALIDITY
0.0,0.14089389844500477,-0.1280102485114909,0.514688586315748,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.10405244398367097,-0.5601509679214552,0.25647881511173376,False,False,False,REJECT,VALIDITY
0.0,-0.09984386586204819,-0.4302320291388312,0.19670997191067105,False,False,False,REJECT,VALIDITY
0.0,-0.03523842209343098,-0.3695402371378073,0.2609811795834955,False,False,False,REJECT,VALIDITY
0.0,-0.1439595534766691,-0.4907709186630896,0.23225397962315045,False,False,False,REJECT,VALIDITY
0.0,0.1677847399214838,-0.11464231607956037,0.458847404979836,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.12542304208894572,-0.4698044721521699,0.18020746028729837,False,False,False,REJECT,VALIDITY
0.0,0.04299153157635294,-0.18826275580552523,0.3274289786656166,False,False,False,REJECT,VALIDITY
0.0,-0.08484062502004397,-0.506907612415158,0.2318966405998397,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.1471524260025281,-0.18877125557185848,0.4991600519058331,False,False,False,REJECT,VALIDITY
0.0,-0.0911127508590237,-0.3366667275921842,0.3032468143047214,False,False,False,REJECT,VALIDITY
0.0,-0.1656476229226489,-0.4742263967437982,0.10619094123475672,False,False,False,REJECT,VALIDITY
0.0,-0.31901903336213344,-0.6553922897271494,-0.00880976905714363,True,False,False,REJECT,VALIDITY
0.0,-0.07593150528026893,-0.4097237497388251,0.21828497515412226,False,False,False,REJECT,VALIDITY
0.0,0.05345385515850287,-0.3072151142370644,0.3663531727992764,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.15899110337687095,-0.4683415548526351,0.20287170032317614,False,False,False,REJECT,VALIDITY
0.0,0.1033978673689262,-0.20595275739417274,0.4567920179864865,False,False,False,REJECT,VALIDITY
0.0,-0.09143363315907704,-0.34446555651579364,0.1662433951225235,False,False,False,REJECT,VALIDITY
0.0,-0.09660042912106315,-0.5177088875342292,0.21185615372784183,False,False,False,REJECT,VALIDITY
0.0,-0.0914513767319769,-0.4631608273373519,0.2851337282739941,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.011508554233519153,-0.2770526310381505,0.34987456631565067,False,False,False,REJECT,VALIDITY
0.0,-0.10931307629120646,-0.4602416976152693,0.23211624004784387,False,False,False,REJECT,VALIDITY
0.0,-0.04465203618164715,-0.33653398538543433,0.3241428846916733,False,False,False,REJECT,VALIDITY
0.0,0.17604961295519805,-0.16643670129548066,0.5011595469167253,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.18079913807417247,-0.5571835827660173,0.15620319759754145,False,False,False,REJECT,VALIDITY
0.0,0.08869075605478782,-0.21210888367308278,0.41977904314116643,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.0021055234210476392,-0.3035880586606077,0.3740880997062107,False,False,False,REJECT,VALIDITY
0.0,-0.05726604585546413,-0.36464618156944295,0.2713036471775188,False,False,False,REJECT,VALIDITY
0.0,0.06297595891801011,-0.22785351779718938,0.41021793417663993,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.04671093783580327,-0.3640669289369933,0.2315567368484939,False,False,False,REJECT,VALIDITY
0.0,-0.000307887976080945,-0.26338031239517223,0.2931263287553418,False,False,False,REJECT,VALIDITY
0.0,0.08885811599076421,-0.24147534180243346,0.418346569827609,False,False,False,REJECT,VALIDITY
0.0,-0.1447760833191425,-0.4818714606983937,0.18419820593302286,False,False,False,REJECT,VALIDITY
0.0,-0.11180975753646294,-0.49253083066927883,0.19446935213861496,False,False,False,REJECT,VALIDITY
0.0,0.01973562128411155,-0.25534126709329696,0.35158114214360053,False,False,False,REJECT,VALIDITY
0.0,-0.028778737917256603,-0.37796890593323473,0.21878892507664893,False,False,False,REJECT,VALIDITY
0.0,-0.09883192495941939,-0.46823973578735856,0.25469712517105747,False,False,False,REJECT,VALIDITY
0.0,-0.17321821168497786,-0.4863322138131676,0.10810085354770294,False,False,False,REJECT,VALIDITY
0.0,-0.07878434592930583,-0.3972375648921381,0.2746163534258062,False,False,False,REJECT,VALIDITY
0.0,-0.12148715705398994,-0.44441840521559334,0.26603863985455833,False,False,False,REJECT,VALIDITY
0.0,0.0344846801824672,-0.2853210615098009,0.395970219474775,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.021197267424444277,-0.31322085340840966,0.3411284328642095,False,False,False,UNRESOLVED,EVIDENCE
0.0,0.01924099800434398,-0.26807252343472004,0.3308791808245393,False,False,False,REJECT,VALIDITY
0.0,0.03303561487170148,-0.3633297847072664,0.36304351103596744,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.018691202767540105,-0.3304725073886161,0.34035446286399823,False,False,False,REJECT,VALIDITY
0.0,-0.061038659032275344,-0.4219819289828408,0.31323542272550575,False,False,False,REJECT,VALIDITY
0.0,-0.11565186704455277,-0.49159757778655555,0.22692154663942263,False,False,False,REJECT,VALIDITY
0.0,0.12642124890080986,-0.23105651776145458,0.448574500019005,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.032252555580747355,-0.3650295909241297,0.3482351125961669,False,False,False,REJECT,VALIDITY
0.0,0.01864007044365401,-0.3094125710643339,0.4071094727676373,False,False,False,REJECT,VALIDITY
0.0,0.033316613451728205,-0.347351987796935,0.3587815222584268,False,False,False,REJECT,VALIDITY
0.0,-0.0005715094258396114,-0.31618912032670476,0.3138480727424644,False,False,False,REJECT,VALIDITY
0.0,-0.2081963983481372,-0.550320188055301,0.17092248702720317,False,False,False,REJECT,VALIDITY
0.0,0.0265947203028416,-0.24145167585165467,0.36661402157230855,False,False,False,REJECT,VALIDITY
0.0,-0.18079913807417247,-0.4955624199730249,0.10678977540314163,False,False,False,REJECT,VALIDITY
0.0,0.14089389844500477,-0.18523694165158172,0.5251897396909634,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.18079913807417247,-0.48192861890485106,0.18641359511277492,False,False,False,REJECT,VALIDITY
0.0,-0.018691202767540105,-0.3946754861379825,0.3246845429121287,False,False,False,REJECT,VALIDITY
0.0,0.1458015518350786,-0.1575492187802091,0.41820443851411154,False,False,False,UNRESOLVED,EVIDENCE
0.0,-0.07512812715483319,-0.3643954884692893,0.2789994625031506,False,False,False,REJECT,VALIDITY
0.0,-0.08103730917753404,-0.3979909458182074,0.2232411110780764,False,False,False,REJECT,VALIDITY
0.3,0.22509759187528927,-0.035329209971866594,0.574825582760308,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.237344321841437,-0.115282171399588,0.6188723112318326,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.11920086192582752,-0.26346363813585794,0.455031017531786,False,False,False,REJECT,VALIDITY
0.3,0.26917899018054053,-0.031142452487225577,0.6475344148856093,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.21657184537275914,-0.16161294059142906,0.537200580780754,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.32135719615762315,-0.02025672265031473,0.6491746096300869,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.3485593387698602,0.03366231304295614,0.6522772741942866,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.2967419532716284,-0.09436691521107071,0.6585494282642113,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.25545067780445824,-0.09939588026322664,0.5813835167272206,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2869499441278231,-0.08684671873123245,0.5872385019155238,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.37248616573881654,-0.0022293407294532415,0.6872482218861968,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2890762866143867,-0.04668198548684165,0.5757260889200948,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.38242172816176345,0.04273130807432274,0.7929409104328123,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.33422159606804036,-0.0104309402559774,0.685604128568792,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.1403347934134655,-0.18492987919426662,0.4001958587238369,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.3974915946607036,0.05585279344219153,0.7428117064910524,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.11920086192582752,-0.21651569231386225,0.4011734565359313,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.5012640028870361,0.1816083326441173,0.8432292835717229,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.3618036472912698,-0.030643215176951177,0.7047514822818822,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.4390139400494706,0.11988640504226795,0.8278951456087855,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.3331145524020138,0.0053380673053887995,0.649239620222695,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.2603690680657797,-0.08323526342220222,0.6162791742118828,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2909483930550569,-0.01585536060738912,0.5843156369063217,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.32135719615762315,-0.08532885201459561,0.7607526328978247,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.1884209819073443,-0.1622207587526403,0.5063752373636431,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2958347251607482,0.0067698550982981005,0.5860875658133129,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.23394769457737413,-0.15638148352041026,0.5838420140960187,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2011680750405806,-0.14612506825604332,0.5285971812102962,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.3697603888156207,0.09734752880603632,0.6777459461208766,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.32666974159387663,-0.01469560703769412,0.6163259864621776,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.014397355685629998,-0.35785004046372054,0.32178621163872484,False,False,False,REJECT,VALIDITY
0.3,0.2039250845810689,-0.07573367311682289,0.5857112962163472,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.22661224753268677,-0.10223467566872341,0.5708168930006727,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.21502563947546321,-0.09507733383986638,0.4919532880998127,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.23035947671847773,-0.06039496335182276,0.5219983231857881,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.11920086192582752,-0.23988597365003497,0.41938159194281327,False,False,False,REJECT,VALIDITY
0.3,0.15523690264148654,-0.1383116233851861,0.4814781467602728,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.21742809425662174,-0.1324782314879075,0.48519175198530134,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.22389411070691229,-0.13919643665623094,0.6590069936037766,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.4408938984450048,0.1719897514885091,0.814688586315748,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.19594755601632902,-0.2601509679214553,0.5564788151117338,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.2001561341379518,-0.13023202913883117,0.4967099719106711,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.264761577906569,-0.06954023713780733,0.5609811795834955,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.15604044652333088,-0.1907709186630896,0.5322539796231505,False,False,False,REJECT,VALIDITY
0.3,0.46778473992148384,0.1853576839204396,0.758847404979836,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.17457695791105426,-0.1698044721521699,0.48020746028729844,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.342991531576353,0.11173724419447474,0.6274289786656166,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.21515937497995602,-0.2069076124151581,0.5318966405998398,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.44715242600252814,0.11122874442814153,0.7991600519058332,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.20888724914097628,-0.0366667275921842,0.6032468143047215,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.1343523770773511,-0.1742263967437982,0.40619094123475674,False,False,False,UNRESOLVED,EVIDENCE
0.3,-0.019019033362133453,-0.3553922897271494,0.29119023094285634,False,False,False,REJECT,VALIDITY
0.3,0.22406849471973106,-0.10972374973882507,0.5182849751541223,False,False,False,REJECT,VALIDITY
0.3,0.3534538551585029,-0.007215114237064388,0.6663531727992764,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.14100889662312904,-0.16834155485263513,0.5028717003231762,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.40339786736892624,0.09404724260582725,0.7567920179864865,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.20856636684092295,-0.04446555651579365,0.46624339512252355,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.20339957087893684,-0.21770888753422923,0.5118561537278419,False,False,False,REJECT,VALIDITY
0.3,0.2085486232680231,-0.1631608273373519,0.5851337282739941,False,False,False,UNRESOLVED,EVIDENCE
0.3,0.31150855423351914,0.022947368961849512,0.6498745663156508,True,False,False,UNRESOLVED,MATERIALITY
0.3,0.19068692370879353,-0.1602416976152693,0.5321162400478439,False,False,False,REJECT,VALIDITY
