state,cell,n,med,pos,ny,worst,asym,dasym
S3 ≤5% off 20d-low,T2G,45837,0.16103059581320522,4,6,-0.28422184667383776,28.719851576994433,-2.871046376188506
S3 ≤5% off 20d-low,Z2,117823,0.21909233176840015,3,6,-0.2284148489477611,31.27546223754309,-0.3154357156398504
S3 ≤5% off 20d-low,T4,29287,0.0581395348837388,4,6,-1.0952831713342492,29.536011080332408,-2.054886872850531
S3 ≤5% off 20d-low,T5|L46,23199,0.5538461538461492,5,6,-0.0644703758623022,34.21506612995975,2.624168176776813
S3 ≤5% off 20d-low,Z1G|L46,30818,0.3809440064934222,4,6,-0.0775895512737601,30.72218986604543,-0.8687080871375095
S3 ≤5% off 20d-low,T5|L5,8148,0.868690892328261,5,6,-0.04876859302608283,35.91321243523316,4.322314482050224
S3 ≤5% off 20d-low,Z1G|L5,11108,0.6084114928648687,6,6,0.07593216998369456,35.03384912959381,3.4429511764108724
S3 ≤5% off 20d-low,T5|L25,13415,0.3542958370239324,4,6,-0.29835966557523186,32.92610250297974,1.3352045497967993
S3 ≤5% off 20d-low,Z1G|L25,4019,0.31886190826586613,4,6,-0.22665836870118805,31.893139841688654,0.30224188850571565
S4 below EMA200,T5,55577,0.6558237145855239,6,6,0.25097796955602103,33.77390326209223,2.1830053089092942
S4 below EMA200,T12,14071,0.8767123287671152,5,6,-0.09449446493673408,35.00527983104541,3.4143818778624677
S4 below EMA200,T11,9871,0.8620689655172376,5,6,-0.24334383051818342,35.83743842364532,4.246540470462378
S4 below EMA200,Z6,35264,0.5598914794662013,6,6,0.2996147809958494,31.673087506879472,0.08218955369653358
S4 below EMA200,Z1G,52238,0.4382666983783201,5,6,-0.2308580223162715,33.32347723240686,1.7325792792239199
S4 below EMA200,Z5,47718,0.5633802816901401,5,6,-0.2912326822743394,34.652076318742985,3.061178365560046
S4 below EMA200,T2,86264,-0.05414191513466449,4,6,-0.8783783783783861,31.988472622478387,0.39757466929544805
S4 below EMA200,T2G,138074,0.08320923445658268,4,6,-0.7559766352712438,31.352459016393443,-0.23843893678949613
S4 below EMA200,Z2,124161,0.1745147265935998,4,6,-0.39030558089067635,31.610219845513964,0.01932189233102477
S4 below EMA200,T4,59725,0.1021308202961757,4,6,-1.0006350709856615,31.902356902356903,0.31145894917396433
S4 below EMA200,T5|L46,27088,0.6465952747053527,5,6,0.0,34.05797101449276,2.4670730613098186
S4 below EMA200,Z1G|L46,33317,0.3809523809523707,5,6,-0.31554339145014043,35.0,3.409102046817061
S4 below EMA200,T5|L5,9376,1.1194166455019694,6,6,0.5070993914807476,36.31153946340193,4.720641510218989
S4 below EMA200,Z1G|L5,13667,0.6045616927727426,5,6,-0.1487146802634398,35.258116019159125,3.6672180659761864
S4 below EMA200,T5|L25,16377,0.42313117066290484,5,6,-0.00428825660927501,33.666274970622794,2.0753770174398554
S4 below EMA200,Z1G|L25,5254,0.3569400941057843,6,6,0.09956853634252028,33.17274604267034,1.5818480894874014
S5 above EMA200,T5,45264,0.42391132215969796,4,6,-0.6881788780968845,31.247931148626286,-0.34296680455665296
S5 above EMA200,T12,12980,0.3440740411581489,3,6,-0.505157928320743,31.766161459944325,0.1752635067613859
S5 above EMA200,T11,9986,0.19145633426616016,4,6,-1.236206582396987,30.73117097306212,-0.8597269801208185
S5 above EMA200,Z6,31564,0.15030108602325232,3,6,-0.5677749360613826,29.728114729608606,-1.8627832235743327
S5 above EMA200,Z1G,38774,0.15310296166771709,4,6,-1.7634512632203891,30.53929121725732,-1.0516067359256205
S5 above EMA200,Z5,60985,0.11312217194570096,4,6,-0.796296296296295,29.34033475549721,-2.2505631976857288
S5 above EMA200,T2,117580,0.007297582483511977,4,6,-1.4323203421470476,29.970326409495552,-1.6205715436873867
S5 above EMA200,T2G,207236,0.03422610549560501,4,6,-1.1182355061707505,28.659726740403386,-2.931171212779553
S5 above EMA200,Z2,92434,0.0,3,6,-0.9110254023141362,29.647749510763212,-1.9431484424197265
S5 above EMA200,T4,62156,0.09942688095835317,4,6,-1.3305746720446876,29.360465116279073,-2.2304328369038657
S5 above EMA200,T5|L46,20537,0.5003669357528828,5,6,-0.6369426751592355,30.585106382978722,-1.0057915702042166
S5 above EMA200,Z1G|L46,23484,0.20853299942921177,5,6,-1.7820053984233863,29.771205357142854,-1.8196925960400847
S5 above EMA200,T5|L5,7724,0.6957034454470934,5,6,-0.5660258119913775,32.29345217689407,0.7025542237111324
S5 above EMA200,Z1G|L5,10511,0.09391274652095216,4,6,-2.158002367882894,31.294058408862035,-0.2968395443209033
S5 above EMA200,T5|L25,15225,0.23736055067646866,3,6,-0.6974716652135893,31.444906444906444,-0.1459915082764951
S5 above EMA200,Z1G|L25,4778,-0.016444129746123748,2,6,-0.6106870229007688,29.477507683710535,-2.1133902694724043
S6 3+ red closes,T5,39119,0.5732484076433009,4,6,-0.36569058210300653,32.6530612244898,1.0621632713068578
S6 3+ red closes,T12,4132,1.179807508245101,4,6,-1.7838765008576285,36.75373134328358,5.162833390100644
S6 3+ red closes,T11,2012,0.8158210024363233,4,6,-1.6593452411975351,35.40489642184557,3.813998468662632
S6 3+ red closes,Z6,20322,0.549708668865867,5,6,-0.2582052029945714,33.26186830015314,1.6709703469702006
S6 3+ red closes,Z1G,12363,0.5742411812961423,4,6,-0.4173622704507496,34.02714932126697,2.4362513680840294
S6 3+ red closes,Z5,233,-4.333333333333334,2,6,-38.661050422761214,39.79057591623037,8.199677963047428
S6 3+ red closes,T2,262,7.516802772857211,6,6,0.19607843137257053,47.80701754385965,16.216119590676712
S6 3+ red closes,T2G,499,3.165522501906959,5,6,-11.949632812022454,43.41463414634146,11.823736193158524
S6 3+ red closes,Z2,92542,0.18364085811668485,4,6,-0.6281844184051977,31.940575673166204,0.3496777199832657
S6 3+ red closes,T4,358,2.3270247199651317,4,6,-6.757671967013096,38.46153846153847,6.870640508355528
S6 3+ red closes,T5|L46,20195,0.5639497765482115,4,6,-0.46904730297800956,34.017412935323385,2.4265149821404464
S6 3+ red closes,Z1G|L46,8038,0.6200459720485774,4,6,-0.5433552184740731,33.731984053971175,2.141086100788236
S6 3+ red closes,T5|L5,6758,1.0394856292142984,5,6,-0.37401665010607377,34.89996224990563,3.3090642967226884
S6 3+ red closes,Z1G|L5,2837,0.687285223367673,5,6,-0.026352445130439772,34.59673865138828,3.00584069820534
S6 3+ red closes,T5|L25,12134,0.33004902276461134,3,6,-0.45307018264015286,30.461538461538463,-1.1293594916444754
S6 3+ red closes,Z1G|L25,1487,0.10319917440659854,3,6,-0.4976155919552028,30.31596925704526,-1.2749286961376782
