est,se_boot,width,se_iid,width_iid,n,n_dates,n_distinct
0.6768862324652453,0.18071642483077435,0.672580058895294,0.03710450361035469,0.1397109961457127,38358,898,174
0.7646161843701144,0.19541031333000697,0.8004696635184976,0.04038385596202679,0.15094558750896603,39245,898,176
0.7865671641791078,0.18343863861182835,0.716487930474428,0.04020685689199524,0.16691466948923372,37011,898,184
0.7678934152025801,0.17428001608819182,0.7068670260085836,0.04161519071373375,0.16225946738638697,36566,898,175
0.6440765953278799,0.188118494882905,0.7396337701135913,0.03852344614349062,0.1385263248299159,38367,898,172
0.6842059017353902,0.1852756878938989,0.7650116545073555,0.039308708672506625,0.16535101396904894,39379,898,177
0.7905902943833415,0.15415733630751188,0.6256538529137667,0.036805523023530295,0.13664719987760532,37286,898,187
0.8061857861470839,0.17994854873628177,0.6807583008214254,0.03538848052893175,0.14781847255358582,39558,898,184
0.5048149221106019,0.1870124427062799,0.7300805743855796,0.0423918785569747,0.16264539135600697,37822,898,170
0.8747252747252737,0.22058647656162356,0.8279207156850437,0.0409692501242515,0.14958336087766977,36817,898,185
0.8088918288479569,0.17451111048078338,0.6457831319738339,0.03674609198467292,0.1510910281888489,37179,898,189
0.7060928667029781,0.20719116921057446,0.843999137849164,0.03698107595643697,0.14110269177658508,38240,898,176
0.8343488449949804,0.19459194514482905,0.7569958918407751,0.0409524913825524,0.16771160573702926,37615,898,188
0.67114913831332,0.18239516732695527,0.7311655703244095,0.039249316346945645,0.13694971916121568,36700,898,179
0.8267797278643346,0.1815432972866647,0.7229797459014117,0.03597281843025456,0.1390280259137583,38001,898,179
0.8750876586712358,0.18141263137071942,0.6633276446695053,0.03947547146600189,0.14539057727830595,37120,898,190
0.6769822940723585,0.18958199205892393,0.759580694000064,0.03962295444213488,0.15452112029495035,38429,898,179
0.6785128153175884,0.20310923618656088,0.7791699544866892,0.03688451589535621,0.13601850754187184,38907,898,183
0.7786936146531248,0.20735845482221982,0.765549153578057,0.03494833745546873,0.14325367597318728,38940,898,179
0.5244189708383135,0.20088006613878637,0.7651716885017769,0.04224573651094302,0.148257357510031,38515,898,177
0.5915746903698776,0.18181579421350424,0.7497704771359024,0.0400067060937613,0.1570638676447711,38681,898,174
0.8669336002669498,0.18457419146387674,0.7928623124162224,0.038994748121653225,0.15646246033893252,36629,898,181
0.8673744671209954,0.1894854682772456,0.7557676539672534,0.036184231696321935,0.13066688017425387,38490,898,185
0.8034266193880252,0.1812682075741522,0.6963275530987265,0.0375176467019032,0.14794341651485077,38044,898,186
0.8139037433155133,0.1746351488932552,0.6269657381666098,0.03264241479790493,0.12486565347847034,37983,898,177
0.7756366829757771,0.2111352383521194,0.7620965902493937,0.03548149892604829,0.1305076228776625,38305,898,186
0.8345280097914015,0.17014300825981465,0.6216113088775359,0.03303917937710078,0.14359080017942394,38816,898,184
0.8123194358183311,0.18046425741319463,0.7209849654631246,0.036141559261449456,0.14493096805518357,37478,898,183
0.9060703961911271,0.1795041260800014,0.7048494743368032,0.04081436931868883,0.16095670443427967,38543,898,189
0.6,0.19314940079767112,0.7415520254943153,0.04112345804828782,0.14875219746247115,38616,898,172
0.64799761854265,0.17671796078346963,0.6929251123113459,0.03595973318367736,0.1218458153424079,37670,898,171
0.6191228964813827,0.17906539991584963,0.6845900197200874,0.036931890939220516,0.13130039405529004,39307,898,168
0.7052924883501949,0.19563878478605085,0.7471019293238639,0.037662909673878024,0.16020917269631452,36558,898,179
0.6262846996725185,0.18214919795297405,0.6953676842146232,0.03854471618836079,0.14753702475138541,38710,898,174
0.686696850014456,0.2279074570723685,0.8813094914864413,0.036812649614560905,0.14586831957897395,38587,898,176
0.6449842555105606,0.18488059461984435,0.6710351728810865,0.040136268425425774,0.13899821063429962,39079,898,187
0.730890052356003,0.17050111592371792,0.6827730850777622,0.0348020667727773,0.1473153960666701,38389,898,182
0.6182781941144183,0.1827465131258962,0.707289507536183,0.040414616133899434,0.15096674479759986,38913,898,179
0.7001160999706374,0.19457916099975353,0.7969619056249135,0.03497166963515566,0.1259306938425908,38542,898,183
0.5787505312367042,0.19014174068234083,0.74020277072587,0.041256297972296345,0.1712308315193911,37131,898,173
0.765727543917793,0.19873626824433074,0.7977420846965688,0.04318780174285962,0.1635289076105001,38597,898,180
0.7544004526325082,0.18916816883755233,0.7110449930409124,0.03608020060870329,0.13528710617257744,39312,898,179
0.6896863872151487,0.19567767438922978,0.7641289958550004,0.037866550480263564,0.15329586101175963,37896,898,179
0.8596039152222285,0.19600804531110425,0.7782700037135005,0.04245061155541589,0.16678889569814725,37748,898,183
0.6823482478873538,0.18402406854298986,0.7022519355729477,0.03834873271300336,0.15236205644435785,39100,898,181
0.847770069375619,0.16973885333570404,0.6315187474494002,0.03285965445492182,0.13387338717157582,37989,898,188
0.7499750041659808,0.18605160935865295,0.7235199198010546,0.03562008871862953,0.1359079804001434,38113,898,180
0.6181060984919323,0.1961477059665033,0.8518369997623088,0.03965659589373657,0.1539789664783886,37522,898,174
0.7314578881990935,0.16333267133668636,0.6479099384332584,0.03220442830265546,0.11327015435315002,37648,898,180
0.8147318484363114,0.18677138701153967,0.7370501364757704,0.03780801072129195,0.15025003127131287,37474,898,190
0.7481795088907667,0.1996184385913566,0.7901963842665651,0.04073272759424844,0.147389995320919,37731,898,169
0.7600527232500148,0.19758216804900927,0.7976431863235853,0.036563870789374724,0.13380425636207283,39423,898,181
0.6776509902498556,0.18796961457179057,0.7443372385155611,0.03579334806731824,0.15006589639911028,38706,898,182
0.6178571428571361,0.183656936501772,0.7161354596711134,0.03993746275549512,0.15413944949651315,37695,898,174
0.8997002997003006,0.20250624082975904,0.7583529681545613,0.04048446928976559,0.17151410088923125,39121,898,183
0.7709401709401925,0.20416600821872505,0.7488411906445788,0.040143712137304666,0.16147849169966422,37172,898,185
0.9525020735416051,0.19946869019683983,0.7825027877050265,0.04208440164567422,0.15655526094083783,37201,898,188
0.7826441233391151,0.1582188784086648,0.6175885885873498,0.03924016857885441,0.13937629869132329,38152,898,174
0.7180776967696584,0.19646458635406347,0.7203725231296076,0.03723343555402509,0.14126284537503753,37408,898,181
0.7219106727252672,0.17357980347825058,0.6346290219450663,0.03849356886572545,0.13468168305536987,37405,898,188
0.8322340919647114,0.19478995103684482,0.712632137864758,0.040180858415930165,0.15880419588731987,37339,898,182
0.572219837792331,0.19555014269544363,0.7497378282567158,0.04089497836036538,0.1567298609840087,38284,898,181
0.6580383248313887,0.17673796227329633,0.7069022647692056,0.0383599412546515,0.13997686995208813,38468,898,170
0.8173913043478359,0.17696925298672417,0.7123000904744714,0.03402919987152177,0.13524919034339666,37839,898,182
0.865279055919454,0.20180860159310055,0.770712715974891,0.03825122868422933,0.15509489499309748,37806,898,185
0.6,0.19928687148500812,0.8000687933246832,0.03849672620386245,0.14520287967043521,37852,898,175
0.7297016861219191,0.17491323323045388,0.6916040745218541,0.0389194736957896,0.15719375419087855,37997,898,178
0.8153583343491361,0.17823975061570188,0.6775075747726023,0.03937949421829352,0.15822055293353843,38234,898,193
0.847809435868962,0.2097815668403456,0.8352420668114022,0.03564667336537327,0.12839867465810562,38542,898,184
0.7291176749465439,0.18820605024651652,0.7090580169614203,0.039040539084746737,0.1533877260130001,38532,898,178
0.9131524008350705,0.17667119232819734,0.7418043208808468,0.03549575086568519,0.1291973132504276,39325,898,191
0.8135231316725994,0.18545169405875503,0.7526089519277626,0.03598030582389752,0.15151012556519627,37901,898,181
0.6889943636902979,0.1847701596367459,0.7584501146293551,0.03736188251429703,0.14562510395049966,37855,898,180
0.5443362049840578,0.1972792547127116,0.7325128649962642,0.044225118532699455,0.15917075594023,37566,898,171
0.7914660831509929,0.1993163441351853,0.8110582600533485,0.03846755370754939,0.1481146656528065,37547,898,186
0.7453488372092915,0.1828641547423544,0.6779451083039221,0.038678400686647574,0.15202140800705144,38179,898,178
0.8431410351922958,0.17235086242809602,0.6545383454928534,0.03971477437475292,0.1638844651851784,37814,898,181
0.6992145521457543,0.18321892795340877,0.7365556701124832,0.04027472536549716,0.16854263115733903,37980,898,180
0.6773994271723532,0.20271347180686283,0.7921311244379869,0.03761899707343402,0.1514861533017482,37616,898,178
0.4952331063383991,0.1943579812743655,0.8068372200390587,0.03762096061504239,0.15475311117674834,38185,898,178
0.7175088131609936,0.18461253988115087,0.709795706155715,0.04041102364601149,0.15123725736540528,37699,898,183
0.6747205032590958,0.17005612505473452,0.6131165633003843,0.035416532001174936,0.13179741532508726,37140,898,171
0.7034121509395191,0.19303628117083696,0.8119695256659406,0.03586227622508671,0.1330163693987524,39558,898,180
0.7556435314972182,0.18470291505499545,0.7206928618663968,0.033363972472087326,0.13819351613520936,38822,898,179
