cell,setup,n_cell,n_ctl,dates_cell,dates_ctl,top_date_share_cell,top_date_share_ctl
sig_conso,🎯T1-RS-Dip,366,339,212,187,0.03551912568306011,0.029498525073746312
sig_conso,🎯T3-RS-Dip,979,390,419,208,0.026557711950970377,0.028205128205128206
sig_conso,🏆L34→L34,187,39,146,36,0.0213903743315508,0.07692307692307693
sig_conso,👑Z1G-CROWN,163,233,106,62,0.08588957055214724,0.6351931330472103
sig_conso,📐RSI-Div,695,189,311,113,0.03597122302158273,0.047619047619047616
sig_conso,🔄DualReclaim,346,464,179,225,0.031791907514450865,0.034482758620689655
sig_conso,🔄DualReclaim deep,53,78,43,57,0.05660377358490566,0.07692307692307693
sig_conso,🥪T2G-Sandwich,80,88,69,68,0.0375,0.06818181818181818
sig_conso,🧊Coil-Floor,4307,911,830,379,0.014395170652426282,0.03512623490669594
sig_conso,🧲Z9-HL,51,99,43,22,0.058823529411764705,0.5656565656565656
sig_conso,🧺SEQ-20,179,92,133,65,0.03910614525139665,0.10869565217391304
sig_conso,🪨T1G-NB,194,64,153,60,0.030927835051546393,0.046875
¬sig_conso,Atomic,5943,16332,859,1161,0.020023557126030624,0.01414401175606172
¬sig_conso,Atomic-R,38,112,26,73,0.10526315789473684,0.07142857142857142
¬sig_conso,D+L1,247,2773,170,781,0.05668016194331984,0.015146051208077894
¬sig_conso,Engulf-Abs,398,212,149,155,0.2663316582914573,0.0330188679245283
¬sig_conso,FailedBear-Turn,38,141,30,113,0.07894736842105263,0.04964539007092199
¬sig_conso,G3+RL,225,589,101,211,0.07555555555555556,0.0831918505942275
¬sig_conso,G3-Abs,67,134,51,97,0.07462686567164178,0.07462686567164178
¬sig_conso,G3-gap,2216,4904,535,891,0.03203971119133574,0.03364600326264274
¬sig_conso,G3→G3,1675,3652,597,858,0.056119402985074625,0.03477546549835706
¬sig_conso,G3→G3→RL,228,167,71,79,0.40789473684210525,0.17964071856287425
¬sig_conso,G3→L46 🕐,2754,7898,769,1067,0.02578068264342774,0.02557609521397822
¬sig_conso,HighBase-15mDip,972,6107,492,1016,0.01440329218106996,0.01015228426395939
¬sig_conso,L34camp→REV,101,118,84,99,0.039603960396039604,0.025423728813559324
¬sig_conso,L43-TRIPLE,455,479,186,194,0.10329670329670329,0.05219206680584551
¬sig_conso,ND→SC→L46 🕐,55,93,23,65,0.32727272727272727,0.053763440860215055
¬sig_conso,NS→SC,132,187,89,121,0.14393939393939395,0.08021390374331551
¬sig_conso,P55,1921,14635,724,1258,0.015616866215512754,0.007106252135292108
¬sig_conso,Parabola,10952,38350,1217,1273,0.00547845142439737,0.004823989569752282
¬sig_conso,QZ-Capit,2710,4047,807,979,0.016605166051660517,0.015814183345688165
¬sig_conso,QZ-Capit-Rev,9614,26669,1129,1246,0.012065737466195133,0.010274101016161085
¬sig_conso,RTB-Base,2178,17678,803,1223,0.008723599632690543,0.009107365086548252
¬sig_conso,Spring,457,820,264,496,0.024070021881838075,0.01097560975609756
¬sig_conso,T1-CapBounce,47,98,42,89,0.0425531914893617,0.030612244897959183
¬sig_conso,Washout,8394,5689,1073,937,0.02013342863950441,0.020390226753383724
¬sig_conso,Z-Absorb-Turn,5,28,5,27,0.2,0.07142857142857142
¬sig_conso,Z11-T11,126,209,67,122,0.1111111111111111,0.08133971291866028
¬sig_conso,ZRT,511,1658,279,576,0.03913894324853229,0.025934861278648975
¬sig_conso,ZRT🟢,1,11,1,10,1.0,0.18181818181818182
¬sig_conso,Zone-Retest,20261,44519,1235,1275,0.021617886580129312,0.004986634919921831
¬sig_conso,coil_floor,183,210,117,127,0.03825136612021858,0.06666666666666667
¬sig_conso,g3g3rl,4,1,3,1,0.5,1.0
¬sig_conso,ppr×NS,222,1483,151,585,0.05405405405405406,0.01820633850303439
¬sig_conso,⚡G3-Abs,3,2,3,2,0.3333333333333333,0.5
¬sig_conso,🌀Engulf-AbsRev,231,1709,170,639,0.021645021645021644,0.012287887653598596
¬sig_conso,🌉Z1G→T4,42,33,15,26,0.4523809523809524,0.12121212121212122
