setup,n,exp,mean,mean_c,med,med_c,sharpe,sharpe_c,pf,pf_c,maxret,d_sharpe_rank
QZ-Capit🎋TLS,2486,2,3.8376605068819583,3.911325639001278,3.3257721865149135,3.342894693339421,0.17782078766993203,0.18248685974809195,1.6693180578014255,1.690104603919404,275.65466832331873,0.0
G3-Abs🎋TLS,1069,0,7.00108785856496,7.00108785856496,5.040152914957457,5.040152914957457,0.34465952463004895,0.34465952463004895,2.606199167085271,2.606199167085271,160.41884739129864,0.0
ppr×NS 🕐24-26,5004,2,2.529459843783935,2.5001697525110376,1.037724779802979,1.037724779802979,0.11792651881512906,0.11806734743509399,1.4331464606755266,1.42913410756442,335.96054007224456,-1.0
G3+RL,4374,1,5.490024076987962,5.510453694746858,3.4379653809781088,3.444328677120861,0.2399585924947251,0.24124503982042006,2.121560571346898,2.129901714468055,309.5477568650169,0.0
G3→G3,19188,7,5.50401612458041,5.475125866635126,3.4990133377132695,3.4987821459300292,0.20800069487988734,0.20818685652768384,1.9166149033847282,1.9130937012111817,408.5973684578027,-1.0
G3→G3→RL,1467,1,10.06955705782329,10.082342779082875,7.880202757878668,7.8953015442295,0.3887061483562596,0.38913647606864166,3.3980242738697823,3.402815939521467,353.2359947055274,0.0
L34camp→REV,574,0,3.7066612800191163,3.7066612800191163,2.5652997525661023,2.5652997525661023,0.16397577141718153,0.16397577141718153,1.5946374234776581,1.5946374234776581,135.1997217824313,-1.0
ND→SC→L46 🕐,331,1,7.937237875636613,8.219180130885448,6.950141512418045,7.116005923032925,0.3078891045882361,0.32483762509723313,2.5060184359440667,2.634543163275342,175.5129318670004,2.0
NS→SC,854,0,4.8574566999334365,4.8574566999334365,3.3391093783573575,3.3391093783573575,0.20751150356261222,0.20751150356261222,1.7781407990031948,1.7781407990031948,150.35763077997842,-1.0
G3→L46 🕐,33266,29,4.178016370233661,4.158918703672192,2.2878080612727727,2.293646694848733,0.1632934557234916,0.1646178587470288,1.6671048232566668,1.6672053826416184,547.2498870896984,1.0
FailedBear-Turn,997,2,3.668013088600359,3.4957411680405706,2.6878691804812336,2.6878691804812336,0.19246614310047122,0.20572135045612075,1.8181535396652564,1.7930418157012056,262.6026878347216,2.0
Z-Absorb-Turn,123,0,4.5209929798999395,4.5209929798999395,2.549316205253654,2.549316205253654,0.21847794111859645,0.21847794111859645,1.9097944789384405,1.9097944789384405,110.8809712735861,-2.0
T1-CapBounce🌀SC,147,0,6.941624089988509,6.941624089988509,6.762095624678915,6.762095624678915,0.3930334282703764,0.3930334282703764,2.9642568532373423,2.9642568532373423,94.57011225015722,0.0
D+L1🌀SC,2549,1,2.350088505975641,2.3782408947983575,1.6108362830130674,1.6113540839863993,0.1349513447977377,0.13699824870434513,1.4698073645870489,1.4778489907745929,177.39784140982576,1.0
Spring🌀SC,1480,0,1.6948835720443207,1.6948835720443207,1.0744425848160324,1.0744425848160324,0.08965938073167046,0.08965938073167046,1.2808960803816987,1.2808960803816987,160.41884739129864,0.0
Atomic🌀SC,17438,2,2.4591088574717723,2.4534279768754086,1.6422564315018817,1.6422564315018817,0.134698602559749,0.13486677769606417,1.4687763007978398,1.4680696346743962,374.6328751921622,0.0
Washout🌀SC,6936,1,1.3933882876834909,1.406281741238986,0.9110545130327998,0.9153455809732649,0.07710726885625764,0.07795290172930848,1.248728823806684,1.2515640826455918,374.6328751921622,0.0
RTB-Base🧱OB,9646,13,8.218038413241704,8.181804336661768,6.590720633575958,6.596566410487142,0.282248515430598,0.2852562844714985,2.475865234205426,2.4768824520369703,507.8351492455479,0.0
FailedBear🧱OB,186,0,9.341533753084036,9.341533753084036,6.1151103610546045,6.1151103610546045,0.3834354169876372,0.3834354169876372,3.146928628187436,3.146928628187436,162.26069828231454,0.0
G3→G3→RL🧱OB,412,0,22.566825673949364,22.566825673949364,19.136285095954513,19.136285095954513,0.8001172730653208,0.8001172730653208,13.54347957286394,13.54347957286394,246.68669318909915,0.0
RTB-Base🏆RS,5385,1,4.6861221168057385,4.6376844574762535,3.748206743938148,3.731166145826786,0.2766972966138137,0.28004919349983587,2.194824968974783,2.182255186589367,265.4744799467465,0.0
Z11-T11🏆RS,161,0,9.749193210725954,9.749193210725954,8.01421698861436,8.01421698861436,0.5652126932923682,0.5652126932923682,4.875716115883261,4.875716115883261,70.18878048376368,0.0
Washout🏆RS,3094,0,5.612946493948356,5.612946493948356,4.273604304328543,4.273604304328543,0.2809003570837407,0.2809003570837407,2.3040831117480516,2.3040831117480516,281.24612097745796,0.0
D+L1🏆RS,1943,2,4.2374204013546555,4.152203286898107,3.0482508493856084,3.0482508493856084,0.18134448559683536,0.18410503711764178,1.7886554283498797,1.7784151889145134,311.317563831801,0.0
Spring🏆RS,282,0,4.626338558007381,4.626338558007381,3.2209687324038336,3.2209687324038336,0.23417366996285707,0.23417366996285707,2.0484535972582667,2.0484535972582667,160.41884739129864,0.0
Engulf-Abs🏆RS,160,0,7.679014018336083,7.679014018336083,5.6241840206919305,5.6241840206919305,0.3491545738486033,0.3491545738486033,2.8949383385553222,2.8949383385553222,124.47119216485154,0.0
L43-TRIPLE🏆RS,320,0,7.236569814158313,7.236569814158313,6.281429935519617,6.281429935519617,0.40082516767627896,0.40082516767627896,3.2952473407615,3.2952473407615,158.67007981850918,0.0
Atomic🏆RS💎,10166,2,3.1215409028499708,3.1385476274428066,1.5815310519561254,1.5844760286423731,0.14392722393789478,0.1449240792803301,1.5261880427369572,1.5304161008276156,249.95476411367204,-1.0
QZ-Capit🔵dwell,40636,10,2.750083863089176,2.771132847865688,2.0843588321913966,2.087829057713125,0.14374804214817966,0.14518999288922937,1.5027032948663164,1.5083187756018976,486.5512172055471,1.0
D+L1🔵dwell,2280,3,2.390374205323423,2.3476302707021692,1.6648734451011282,1.6653100891231454,0.1266564678786673,0.13086606852475277,1.4495923442085268,1.446699212298767,259.9233491473909,1.0
L43🔵dwell,1445,0,6.146355235412548,6.146355235412548,3.876678749075052,3.876678749075052,0.2637550153701909,0.2637550153701909,2.2689021308184034,2.2689021308184034,186.937303048297,0.0
ZRT🟢L46,14075,14,2.5399348083393867,2.525339701350391,1.7842130180409754,1.793959715700072,0.13585051483314836,0.1403603027174758,1.4860372137172906,1.488382732507918,310.36359306010183,1.0
ZRT🟢L46🔵dw,10750,13,2.647530815427896,2.6209491333434256,1.8854162893260862,1.8868954742815858,0.14604398306636812,0.1525087347393802,1.5371356288209603,1.5389027157216726,310.36359306010183,2.0
Washout🔎iv,27134,21,4.023481093624814,3.971509902174122,2.2147804411605856,2.2119905847327646,0.14851186250271878,0.14889458997823452,1.6049659601978432,1.5982066391923373,928.9010180674932,-2.0
ZRT🟢🔎iv,12680,11,2.703786945253237,2.6668969294764637,1.9132737532424449,1.9164273450345937,0.1461951510473151,0.15023580869845712,1.5314088921310824,1.5285368028164108,310.36359306010183,0.0
Washout💥vol,19857,14,3.9810493924252612,3.9136965747651296,2.2229279755997586,2.2201041497690364,0.1551288049510987,0.1560895427968712,1.6392818455026572,1.629775485284087,928.9010180674932,0.0
🧊Coil-Floor,16051,3,4.559650865109651,4.5545834752562655,3.3891642048728796,3.3908834836978876,0.24266864962212803,0.24419758800024413,1.9959300331556602,1.996950004883098,265.4744799467465,0.0
🌀Engulf-AbsRev🟡,2590,6,4.09688779808075,3.6389167971537386,2.219906705955826,2.193102975363953,0.171768541895688,0.17323271956707567,1.7791573292494811,1.6948478003481335,383.17534852973677,1.0
🎯T1-RS-Dip,1715,0,5.228553440317847,5.228553440317847,3.6008065387299,3.6008065387299,0.23271051790517183,0.23271051790517183,1.996380642943106,1.996380642943106,195.78469877488288,0.0
🎯T3-RS-Dip,5530,0,4.405891982731311,4.405891982731311,2.592849072506925,2.592849072506925,0.2122932656232281,0.2122932656232281,1.8837821955246152,1.8837821955246152,255.37372154357536,0.0
🏆L34→L34,463,3,4.646558575624416,2.2708151168294743,0.8776541389221628,0.842523808746404,0.09414496811812963,0.1113371438020649,1.7338679028223414,1.3666596621346336,932.2798498488826,5.0
🏆L34→L34+RS,194,1,5.117094407236299,3.81128782167652,2.6989085117124887,2.63186736485535,0.18637213373096073,0.18481853288313166,1.9454627841944796,1.7005648370756616,257.1377654202735,0.0
G3-Abs🕯️mid,3161,2,5.963270488773343,6.014430953800122,4.069168462898337,4.080691565830713,0.2758433401269322,0.2793755880649919,2.256813119319716,2.279564329789882,214.0803590069441,-1.0
L43-TRIPLE🕯️mid,250,0,9.324757823903221,9.324757823903221,6.611147859578731,6.611147859578731,0.39487446456842007,0.39487446456842007,3.3405472575312105,3.3405472575312105,162.1087857344418,0.0
📐RSI-Div🏆RS,1834,0,4.192191999045462,4.192191999045462,3.814970176664395,3.814970176664395,0.20583854883258465,0.20583854883258465,1.8202287749013586,1.8202287749013586,227.9229330679885,-1.0
📐RSI-Div🏆RS deep,936,0,4.85403484419484,4.85403484419484,4.231498906076764,4.231498906076764,0.22265845234478635,0.22265845234478635,1.9575320467739892,1.9575320467739892,227.9229330679885,-2.0
🔄DualReclaim🏆RS,4444,2,5.350480251420712,5.313280211902186,4.246481535936225,4.246481535936225,0.27509538067643824,0.2793965365143182,2.2516274537114227,2.2480591671649477,262.6026878347216,1.0
🔄DualReclaim deep,1475,1,6.651936784891332,6.478293127462682,4.803531370731401,4.788328754421184,0.3574576199617219,0.37276768958238987,2.9586749732173736,2.9062520291203673,262.6026878347216,2.0
Washout🕐DR,2344,0,5.8267157910458725,5.8267157910458725,4.759403919781086,4.759403919781086,0.30796842948630754,0.30796842948630754,2.4246756442416038,2.4246756442416038,174.26911604914412,-1.0
Zone-Retest🕐DR,15826,15,3.881077839047738,3.874867594279849,2.7145648118112984,2.7213906206178304,0.20321786899183292,0.20954877231106495,1.8362673539584333,1.8447089476099177,294.7568214372385,3.0
L43-TRIPLE🕐DR,234,0,8.174176677877922,8.174176677877922,7.7003515991640406,7.7003515991640406,0.5064760800989073,0.5064760800989073,3.9199876620733343,3.9199876620733343,70.18878048376368,0.0
RTB-Base🕐DR,3593,1,4.7873740527435045,4.714799691414439,3.982300574479419,3.9716477460607527,0.29162624804921866,0.2978123745886445,2.304586020498562,2.2844515172020254,265.4744799467465,0.0
G3→G3🕐DR,2904,0,7.859755009233646,7.859755009233646,5.845203130850324,5.845203130850324,0.3709523144605785,0.3709523144605785,3.001202039447175,3.001202039447175,173.75273790584828,-1.0
QZ-Capit🕐DR,4659,2,4.60123587166104,4.640330565337367,2.986470918801448,2.992706769098713,0.21801570801813713,0.22070457506312297,1.8949662268461238,1.9087410097563282,300.855967683988,0.0
🎬StopVol-Confirm,3821,2,2.4419487495560834,2.48529981071448,1.4431298791035165,1.4621562574610283,0.12014964080040226,0.12278524911359305,1.4156272724265717,1.4258320585843203,227.9229330679885,0.0
🎬StopVol-Deep,1022,0,4.450273691154042,4.450273691154042,2.911973131166129,2.911973131166129,0.23853473863992905,0.23853473863992905,1.95729024280247,1.95729024280247,118.25922826286886,0.0
Washout🧊CONSO,11418,2,2.388811013774878,2.4020114913708803,1.729349111789119,1.7354360561502358,0.1416479471646315,0.1426802587947914,1.5029349638239125,1.506989696386834,374.6328751921622,0.0
RTB-Base🧊CONSO,37677,21,2.207006698482019,2.1810348086001365,1.515299556478006,1.5149593443704648,0.10563856575097556,0.10566084134076155,1.3883367903201476,1.3844394367180044,997.5582762952346,-2.0
L43-TRIPLE🔇QUIET,1230,0,7.044702956737805,7.044702956737805,4.4577021835433825,4.4577021835433825,0.2980067615802245,0.2980067615802245,2.4744530848882795,2.4744530848882795,186.937303048297,0.0
🥇G3·LEAD-in-LAG,1781,1,6.667725447313355,6.7185039364263535,4.980439933320341,4.993560079696052,0.35773559897363216,0.3627643229934827,2.845497610668154,2.8830066788320714,158.2840349394429,-2.0
