ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
CCL,🏦majority,-0.063,7.816,-0.135,-0.015,0.001,-0.203,-0.079,0.063,-0.003,-6.796
CDNS,🏦majority,0.244,4.847,0.298,-0.143,-0.075,0.161,-0.16,0.397,-0.585,-0.642
CDW,🏦majority,0.198,4.606,-0.457,0.125,0.164,-0.044,-0.291,0.134,0.453,-5.54
CE,🏦majority,0.082,6.329,-0.338,0.281,0.263,-0.024,-0.011,-0.349,-0.17,-2.935
CEG,🏦majority,0.725,6.862,0.637,-0.122,-0.207,-0.052,0.173,0.101,-0.42,-0.512
CF,🏦majority,0.356,5.012,0.215,0.14,-0.09,-0.261,-0.156,-0.237,0.466,-1.835
CFG,🏦majority,0.389,4.735,-0.13,-0.038,0.289,-0.083,-0.143,-0.255,0.503,-1.583
CFLT,🏦majority,0.163,10.435,0.133,0.163,0.1,-0.296,-0.194,-0.896,0.866,-4.639
CHD,🏦majority,0.107,2.732,0.12,-0.025,-0.191,-0.049,0.144,-0.059,-0.49,-0.411
CHRW,🏦majority,0.178,4.612,0.512,0.058,-0.094,-0.021,0.264,-0.27,-0.173,-2.514
CHTR,🏦majority,-0.292,5.929,-0.561,-0.015,-0.243,0.107,-0.49,0.247,0.595,-1.84
CI,🏦majority,0.275,3.841,0.458,0.114,-0.066,-0.118,0.193,-0.138,0.399,-0.342
CIEN,🏦majority,0.754,6.769,-0.094,-0.108,-0.106,-0.097,-0.199,-0.327,-0.18,-0.918
CINF,🏦majority,0.281,3.407,0.402,0.144,0.091,-0.065,0.135,-0.014,-0.026,-1.123
CL,🏦majority,0.114,2.525,0.012,0.02,-0.089,-0.021,0.078,0.055,-0.114,-0.499
CLX,🏦majority,-0.2,3.704,0.246,-0.04,-0.126,0.054,0.213,0.084,0.378,-1.599
CMCSA,🏦majority,-0.116,3.579,0.165,0.14,0.057,-0.071,0.174,0.022,-0.337,-3.572
CME,🏦majority,0.159,2.912,0.13,0.006,0.041,-0.067,-0.002,0.14,-0.093,-0.83
CMG,🏦majority,0.21,4.913,0.188,-0.157,-0.148,-0.08,0.217,0.22,0.355,-1.016
CMI,🏦majority,0.389,3.745,0.368,0.131,-0.006,-0.17,0.222,-0.077,-0.01,-1.131
CMS,🏦majority,0.227,2.591,0.025,0.041,0.07,0.014,-0.004,0.052,0.185,-0.074
CNC,🏦majority,0.135,5.579,-0.018,0.049,0.046,-0.013,-0.04,0.026,0.552,-1.837
CNP,🏦majority,0.309,2.732,0.257,0.021,-0.045,-0.014,0.238,-0.026,0.411,-1.563
COF,🏦majority,0.176,4.894,0.258,0.177,-0.077,-0.007,0.266,0.078,-0.754,-2.734
COHR,🏦majority,0.553,9.383,-0.093,0.139,0.024,-0.191,-0.079,-0.089,-0.136,-2.555
COIN,🏦majority,-0.537,12.298,-0.577,0.275,-0.112,0.628,-0.277,-0.666,-1.754,-2.455
COO,🏦majority,-0.059,4.21,-0.322,-0.01,0.091,0.095,-0.209,-0.108,0.122,0.113
COP,🏦majority,0.393,4.62,-0.29,-0.06,0.132,-0.028,-0.225,0.205,0.253,-2.248
COR,🏦majority,0.453,3.238,0.451,0.0,-0.135,0.022,0.349,-0.281,0.251,-0.172
COST,🏦majority,0.524,3.206,-0.448,0.099,0.026,0.164,-0.197,0.135,-0.09,-1.315
CPAY,🏦majority,0.106,4.646,0.178,-0.194,0.093,0.03,0.045,0.418,-0.692,1.423
CPB,🏦majority,-0.115,3.263,0.282,-0.027,-0.189,-0.059,0.033,-0.166,0.343,-1.811
CPRT,🏦majority,0.143,3.665,-0.123,-0.047,-0.168,0.069,-0.019,0.246,-0.296,-1.662
CPT,🏦majority,0.055,3.141,-0.058,0.036,-0.055,-0.034,-0.083,-0.291,0.426,-0.873
CRH,🏦majority,0.315,4.203,-0.097,-0.042,0.148,0.044,-0.14,-0.013,-0.084,-1.972
CRL,🏦majority,0.225,6.309,-0.42,0.219,0.399,0.007,-0.051,0.289,-0.124,-1.552
CRM,🏦majority,0.221,5.231,0.32,-0.133,-0.154,-0.262,0.026,-0.221,-0.484,-2.295
CRWD,🏦majority,0.676,8.278,0.689,-0.194,-0.34,-0.064,0.386,0.009,-0.504,-3.635
CSCO,🏦majority,0.392,3.533,0.253,0.03,-0.05,-0.084,0.168,-0.031,-0.451,-0.328
CSGP,🏦majority,-0.248,4.933,0.054,0.083,0.017,-0.067,-0.051,-0.16,0.3,0.292
CSX,🏦majority,0.233,3.184,0.193,0.002,-0.004,-0.017,0.058,0.03,-0.424,-1.531
CTAS,🏦majority,0.356,3.2,0.015,0.154,-0.003,-0.053,0.08,0.148,0.179,-2.324
CTLT,🏦majority,0.084,7.523,-0.285,-0.022,0.0,0.105,-0.441,-0.621,-0.392,1.563
CTRA,🏦majority,0.299,4.78,0.556,-0.063,-0.177,-0.121,0.481,0.055,0.13,-0.508
CTSH,🏦majority,-0.104,4.218,0.092,-0.161,-0.239,-0.045,-0.036,0.118,0.213,-2.892
CTVA,🏦majority,0.39,3.715,0.006,-0.072,-0.004,0.014,0.006,0.194,0.298,-0.7
CVNA,🏦majority,-0.153,12.56,-0.477,0.051,-0.102,0.002,0.057,0.194,-1.046,-8.315
CVS,🏦majority,0.285,4.363,-0.098,-0.069,0.088,-0.043,-0.191,-0.141,0.159,-2.294
CVX,🏦majority,0.377,3.652,-0.016,0.051,0.107,-0.038,0.073,-0.278,0.539,-0.331
CZR,🏦majority,-0.289,6.83,0.312,0.216,0.082,-0.287,0.289,0.175,1.008,-7.011
D,🏦majority,0.08,3.134,0.202,0.127,-0.08,-0.118,0.214,-0.158,0.022,-0.134
DAL,🏦majority,0.363,5.673,-0.513,0.06,0.228,0.118,-0.304,0.097,-0.159,-0.851
DASH,🏦majority,0.394,7.279,0.311,0.037,0.02,-0.192,0.247,-0.484,0.362,0.179
DAY,🏦majority,0.014,5.68,-0.029,0.058,0.015,-0.036,0.073,0.073,0.298,-0.475
DD,🏦majority,0.131,4.232,0.135,0.058,-0.007,-0.087,0.027,-0.215,-0.086,-2.193
DDOG,🏦majority,0.439,8.092,0.109,-0.201,0.131,0.03,-0.071,-0.13,0.134,-0.169
DE,🏦majority,0.26,4.124,0.033,0.131,0.027,0.093,0.188,0.009,-0.316,-0.804
DECK,🏦majority,0.569,5.797,-0.014,-0.119,-0.24,0.155,-0.241,0.13,-0.124,-2.8
DELL,🏦majority,0.914,7.592,-0.34,0.139,0.115,-0.12,-0.079,0.069,-0.801,-1.205
DFS,🏦majority,0.502,5.253,0.248,0.375,-0.049,-0.003,0.149,-0.062,-0.816,-1.624
DG,🏦majority,-0.09,5.083,0.254,-0.007,-0.256,-0.178,0.151,-0.046,-0.025,-2.591
DGX,🏦majority,0.236,3.094,-0.068,0.118,0.067,-0.021,-0.016,-0.229,0.23,-0.421
DHI,🏦majority,0.102,4.739,0.269,0.091,0.041,-0.165,0.208,0.084,0.122,-1.846
DHR,🏦majority,0.056,3.999,-0.033,0.093,0.05,0.036,0.183,-0.221,0.206,-1.712
DIS,🏦majority,-0.182,4.175,-0.011,-0.05,-0.113,-0.015,0.035,-0.054,0.41,-1.088
DKNG,🏦majority,0.08,8.871,-0.465,0.147,0.138,0.274,-0.051,0.218,0.555,-9.549
DLR,🏦majority,0.203,4.029,0.065,0.02,-0.034,-0.04,-0.064,-0.189,0.039,-0.787
DLTR,🏦majority,0.251,5.61,-0.437,0.093,0.152,0.116,-0.198,-0.033,-0.656,0.346
DOC,🏦majority,-0.062,4.848,0.315,0.113,-0.152,-0.072,0.268,-0.207,-0.06,-0.341
DOCN,🏦majority,0.211,10.181,0.108,0.042,0.166,0.047,0.136,0.361,0.36,-7.008
DOV,🏦majority,0.267,3.345,-0.076,0.118,0.065,-0.132,-0.02,-0.074,-0.485,-0.529
DOW,🏦majority,-0.193,4.739,0.3,0.094,0.016,0.057,0.211,0.129,-0.152,-0.536
DPZ,🏦majority,-0.112,4.023,0.261,0.07,-0.119,-0.123,0.195,-0.264,0.153,0.479
DRI,🏦majority,0.049,3.631,0.612,-0.022,-0.165,-0.211,0.451,-0.007,0.165,-0.627
DTE,🏦majority,0.195,2.635,0.156,0.087,-0.094,-0.058,0.121,-0.025,0.411,-0.934
DUK,🏦majority,0.172,2.532,0.213,-0.013,-0.039,-0.028,0.125,-0.006,0.194,0.077
DUOL,🏦majority,-0.241,9.301,1.125,-0.289,0.031,0.021,0.32,0.584,0.839,1.911
DVA,🏦majority,0.33,5.319,0.334,0.097,-0.032,-0.063,0.21,0.231,-0.484,0.05
DVN,🏦majority,0.405,5.836,-0.173,-0.021,0.134,0.178,-0.153,-0.007,-0.143,-3.366
DXCM,🏦majority,0.154,6.426,0.22,0.148,-0.198,-0.086,0.385,-0.072,0.017,2.129
EA,🏦majority,0.199,3.528,0.252,-0.014,-0.01,0.072,0.062,0.12,0.194,-0.352
EBAY,🏦majority,0.314,4.319,0.105,0.247,-0.084,-0.048,0.356,0.114,-0.038,-0.55
ECL,🏦majority,0.404,3.327,-0.306,0.159,0.048,-0.106,0.058,-0.015,0.009,-2.705
ED,🏦majority,0.214,2.681,-0.017,-0.027,-0.124,-0.001,0.135,-0.148,0.4,-0.285
EFX,🏦majority,0.046,4.672,0.073,0.124,0.282,0.0,0.064,-0.077,0.046,-0.327
EG,🏦majority,0.322,3.171,0.302,0.158,-0.169,-0.11,0.339,-0.301,0.014,-0.391
EIX,🏦majority,0.406,3.637,0.065,0.011,0.032,-0.043,0.06,-0.129,-0.088,0.175
EL,🏦majority,-0.248,5.863,0.014,-0.012,-0.201,-0.039,0.196,-0.448,0.224,-3.166
ELV,🏦majority,0.091,4.022,0.641,-0.066,-0.042,-0.099,0.346,-0.186,0.251,-0.37
EME,🏦majority,0.716,4.502,0.493,0.042,-0.147,0.066,0.379,0.099,-0.066,0.414
EMN,🏦majority,-0.109,4.314,0.404,0.157,-0.039,-0.195,0.349,-0.12,-0.23,-2.953
EMR,🏦majority,0.267,3.817,0.293,-0.031,0.028,-0.033,0.096,-0.107,-0.252,-0.018
ENPH,🏦majority,-0.348,9.943,0.734,0.018,-0.231,-0.105,0.499,-0.054,0.5,-2.479
EOG,🏦majority,0.438,4.627,-0.009,-0.023,0.329,-0.011,-0.389,0.115,-0.24,-2.168
EPAM,🏦majority,-0.141,7.993,-0.197,0.01,-0.212,-0.054,-0.112,-0.032,0.164,-2.199
EQIX,🏦majority,0.206,3.666,0.292,0.156,-0.006,-0.088,0.355,0.056,-0.015,-1.034
