setup,n_40,med_40,mean_40,win_40,pf_40,hold_40,yrs_40,nyr_40,worst_40,n_60,med_60,mean_60,win_60,pf_60,hold_60,yrs_60,nyr_60,worst_60,n_90,med_90,mean_90,win_90,pf_90,hold_90,yrs_90,nyr_90,worst_90,n_120,med_120,mean_120,win_120,pf_120,hold_120,yrs_120,nyr_120,worst_120,d90
Engulf-Abs,957,2.815136350932873,3.321050134705029,58.516196447230925,1.7522671495483961,39.45977011494253,4,6,-4.158802091982255,957,4.6721905824390895,5.215123122544312,61.233019853709514,1.947407493481736,58.72100313479624,5,6,-6.271546649812238,957,5.684966706512667,6.071601007423807,60.91954022988506,1.9656249218264794,86.33960292580983,5,6,-9.531813776750809,957,6.1190021593277075,7.6836122036156596,60.81504702194357,2.0211144900778217,112.10449320794149,5,6,-16.00529430099093,1.0127761240735778
T1-CapBounce,364,4.603300401508364,5.548451664086057,62.637362637362635,2.203018606538925,37.42857142857143,6,6,1.0853770676094112,364,6.6852782701146864,6.04399497177844,63.46153846153846,2.0280881582394334,54.793956043956044,6,6,2.706918311175693,364,4.360433108662404,6.453287396990216,59.34065934065934,1.960192781881379,79.26648351648352,4,6,-1.2387215656901538,364,6.295718522351929,7.050796794076667,59.065934065934066,1.8678788106233646,100.64835164835165,4,6,-1.5246424477461882,-2.3248451614522825
Engulf-L46,279,3.0890173617208303,4.334934821409816,58.06451612903226,1.9935582217835996,39.763440860215056,5,6,-4.089710871648728,279,3.9788042847920755,6.304569079408158,60.215053763440864,2.133639888890201,59.236559139784944,4,6,-2.7125356815779824,279,6.255523824566583,7.724629833006285,60.215053763440864,2.282987069717868,86.81720430107526,5,6,-3.4954648944457603,279,6.142768990197794,9.37633676060361,59.85663082437276,2.2502578808894853,112.06093189964157,4,6,-7.447457682883191,2.2767195397745077
Engulf-Abs-Lⁿ,693,2.95027949285383,3.264911823393114,58.87445887445888,1.730362724215341,39.474747474747474,5,6,-5.78731650794369,693,4.952620042538941,5.836992937819316,62.33766233766234,2.097767690032419,58.75613275613276,5,6,-5.620655578026662,693,6.435357670615432,7.21472352186873,63.05916305916306,2.2272101166711606,86.43722943722943,5,6,-5.0097729755259115,693,6.7879587726027255,8.635868684720347,62.33766233766234,2.1992794988595534,112.28860028860029,5,6,-15.584818786313276,1.4827376280764915
Zone-Retest,138652,0.7021923428620238,1.609484513036562,52.38943542105415,1.2875734756931265,38.865721374376136,5,6,-0.8235773938937372,138652,1.161825067471828,2.279111148937132,53.21308022963967,1.3482558731976453,57.199110002019445,4,6,-1.725788326001243,138652,1.521351235994456,3.04332566528729,53.485705218821224,1.3900123341539519,82.95193001182817,4,6,-3.4260421018942333,138652,1.392601352208961,3.5354343150619436,52.68441854426911,1.398367191083875,106.21817211435825,4,6,-7.309608777350923,0.3595261685226281
Zone-Retest-E,53460,1.015024169296869,1.8555235714280651,53.37635615413393,1.3625550047095387,39.050149644594086,5,6,-0.29977533699450654,53460,1.489634553602032,2.6283015813897763,54.3078937523382,1.43473087250725,57.60216984661429,4,6,-0.9321913455914985,53460,2.148969224387548,3.7141397831175476,55.08417508417508,1.517799327969661,83.83374485596708,4,6,-2.3279134866811213,53460,2.230152200794305,4.420463165667971,54.554807332585106,1.5440310383682514,107.55179573512906,4,6,-5.608999398182163,0.6593346707855159
Zone-Retest-DiT,23445,1.128088891968321,2.0681374909677697,53.82384303689486,1.4280393424670925,38.99185327361911,4,6,-1.3359569136860703,23445,1.818290150478502,3.044849242687496,54.753678822776706,1.537459903402369,57.42507997440819,4,6,-2.7811289694640475,23445,2.6479704583632744,4.2300696571679515,55.92237150778418,1.6303775981251594,83.3873320537428,4,6,-7.366568223021891,23445,2.923936249406683,5.277770399025895,55.98208573256558,1.707675609080076,106.87809767541053,4,6,-12.090368314630457,0.8296803078847723
HighBase-15mDip,28982,0.5695960465148144,1.510385180473083,51.956386722793454,1.3047224421508739,38.84728452142709,4,6,-1.9155098585831032,28982,0.9494560471518034,2.3407959616333294,52.74653233041198,1.397087013817761,57.19795045200469,4,6,-2.5481478806334614,28982,1.2729687293290661,3.010056497218325,53.03291698295494,1.434388017221555,82.89155337795873,4,6,-4.8813802958114385,28982,1.7105629650326082,4.1846967448165975,53.47112000552067,1.5453394335108104,105.83227520529984,4,6,-7.685146983666496,0.3235126821772627
RTB-Base,43449,1.153280763764203,1.8963445500272058,53.6329950056388,1.3567177168881044,38.73838293171304,5,6,-0.037951148366838085,43449,1.5108591755245206,2.4515991369869656,54.24520702432737,1.3944475128885299,57.10499666275403,5,6,-0.35423909590161495,43449,1.8223211603176914,3.009059075681243,54.116320283550834,1.405092877340708,83.03493751294621,4,6,-2.8880025494852077,43449,1.7057487469477606,3.293482047769124,53.26474717484867,1.387642661378239,106.60233837372552,4,6,-5.45982389603325,0.3114619847931708
QZ-Capit-Rev,38896,1.2015226928887293,1.95631772172291,53.6559029206088,1.363711962989458,39.32846565199507,6,6,0.5712445520171197,38896,1.6445514418388874,2.7453227701304117,54.14952694364459,1.4388793304178211,58.144616412998765,5,6,-0.29977533699451764,38896,2.5001051615708034,3.807468840117185,55.35016454134101,1.5110039534808186,84.80244755244755,4,6,-2.0833732380511227,38896,2.1656992549299146,4.0836009662640285,53.789592760180994,1.4739146082530974,109.26483443027561,4,6,-6.039444711636283,0.8555537197319161
