generator,rep,band_p95,best_est,n_clears_band,n_promoted,n_final,pct_lvl0,pct_unchanged,pct_lvl1,pct_lvl2,combolab_freeze
marginal_date_v1,47,3.2834498025476933,2.8039184398949146,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,48,3.3136879839003086,3.251613210886717,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,49,3.3046745462343097,2.541809342801571,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,50,3.2437788508832455,2.7496342547237873,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,51,3.228639680892229,2.5947105139493942,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,52,3.2574233040213585,2.7510907500982285,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,53,3.2337806466966867,2.9010428115725517,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,54,3.216594001278281,2.852724865078926,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,55,3.291136766783893,2.930333372205496,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,56,3.2770961010828614,2.972778957337141,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,57,3.1987389037385583,2.9467714950442314,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,58,3.2068461971357465,3.173950780183077,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,59,3.261546352878213,2.700784895569086,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,60,3.238205313682556,2.987792808562517,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,61,3.256184016354382,2.943990658968687,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,62,3.204908398911357,2.871992811560631,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,63,3.2557231839746237,2.7619668282568455,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,64,3.283191197551787,2.3947524838149548,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,65,3.3355147764086723,3.2902244478464127,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,66,3.235649620182812,2.971062995493412,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,67,3.247801512479782,2.700811345130205,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,68,3.2103627268224955,3.177045378834009,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,69,3.2382346224039793,2.8911408968269825,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,70,3.2094485964626074,2.622344996780157,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,71,3.219162207096815,2.8810054063796997,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,72,3.2927610212936997,2.973728347569704,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,73,3.3093272242695093,2.981744520366192,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,74,3.2273510051891208,3.1754392199218273,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,75,3.2603907445445657,2.682321798056364,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,76,3.310641869902611,2.6247025467455387,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,77,3.246485679410398,3.055309411138296,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,78,3.2078079599887133,3.2367734238505363,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,79,3.2040284713730216,3.078090585768223,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,80,3.271509106270969,2.8002616949379444,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,81,3.2553984597325325,2.9792873188853264,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,82,3.3066681399941444,2.6246203109622,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,83,3.2501894840970635,2.6791416108608246,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,84,3.2311378326267004,2.895607892423868,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,85,3.310306156054139,2.9706682078540325,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,86,3.3177879080176353,3.161323629319668,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,87,3.235055049881339,3.367848042398691,1,1,1,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,88,3.2890470046550035,2.604346815496683,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,89,3.2748049357905984,3.059942554682493,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,90,3.247290779836476,2.763558831065893,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,91,3.254450624808669,2.8646543622016907,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
marginal_date_v1,92,3.2569499872624874,2.995414473116398,0,0,0,1.0,0.0,,,6f7e5ee496551ab2bdb10dfa3170ed0e9efa6c1f
