pair,a,b,n,ret,win,mae,p10,d5,d10,n_mined,r_mined,r_oos
T1 → T6 → T6,T1,T6,1122,-0.049846571046507915,48.663101604278076,-2.5437735591763877,-7.900716756986046,21.568627450980394,6.417112299465241,522,-0.0796925720428554,-0.013873035632683273
T1G → T10 → T6,T1G,T10,187,-0.05263157894738191,49.19786096256685,-3.117101937657951,-9.06008283086668,30.481283422459892,8.02139037433155,77,-0.8968609865470767,0.4182582624581377
T9 → T9 → T6,T9,T9,4424,-0.05980998168499396,49.23146473779385,-2.5218468029469143,-8.20764934309401,23.259493670886076,6.4421338155515375,2034,-0.2397450119966893,0.09890218670572937
T4 → T4 → T6,T4,T4,651,-0.07027406886859211,48.38709677419355,-2.493966210780374,-9.511826874685458,26.574500768049152,9.37019969278034,298,-0.35615983237579085,0.09196811771918778
T4 → T6 → T6,T4,T6,649,-0.07027406886859211,48.228043143297384,-2.4112525117213623,-8.388628712371757,23.26656394453005,6.933744221879815,295,-0.19398642095054264,0.08858024691357214
T10 → T10 → T6,T10,T10,3000,-0.07695417135700766,48.53333333333333,-2.6305784135133514,-8.905121655734463,23.799999999999997,8.433333333333334,1251,-0.23116042533518621,0.0
T2 → T6 → T6,T2,T6,2921,-0.07878409874273462,48.78466278671688,-2.4914119157500303,-8.770257387988556,23.690516946251282,7.874015748031496,1279,0.0,-0.12785933940193672
T9 → T6 → T6,T9,T6,4478,-0.08282692113282808,48.39213934792318,-2.5235918429027504,-6.987810171453376,20.053595355069227,4.466279589102277,2062,-0.20505409471008873,-0.0033014196104297344
T2 → T2 → T6,T2,T2,3269,-0.09376953531986532,48.66931783420006,-2.612330198537094,-10.206903866725046,27.714897522178035,10.431324564086877,1425,0.0,-0.13782941309253838
T10 → T6 → T6,T10,T6,2993,-0.10072030277132882,47.84497160040094,-2.449479485609296,-7.915059357734593,21.216171065820248,5.947210157033077,1253,-0.17665615141956303,-0.05413560676575391
T6 → T10 → T6,T6,T10,138,-0.12396435460691468,48.55072463768116,-2.704961135161982,-9.942182177873608,27.536231884057973,9.420289855072465,61,0.5264607756114037,-0.27254707631317876
T1G → T1G → T6,T1G,T1G,1973,-0.15641293013556323,47.44044602128738,-2.5151374010246808,-8.127085233709337,20.729853015712113,6.487582361885454,917,-0.18115942028986698,-0.14473617388655047
T3 → T2G → T6,T3,T2G,526,-0.16109424321976706,48.09885931558935,-3.320449031621364,-12.052062025656646,34.60076045627377,13.11787072243346,267,-0.8624174639536464,0.304362529590807
T2G → T10 → T6,T2G,T10,602,-0.1908365685455493,48.17275747508305,-3.1230104618041765,-9.524850094530064,30.89700996677741,9.30232558139535,283,-0.10908099263703397,-0.27824151363381455
T6 → T2 → T6,T6,T2,100,-0.25648004689921566,48.0,-2.6413440823894128,-9.15050193203575,32.0,6.0,38,,0.02912928970211226
T4 → T10 → T6,T4,T10,297,-0.26222671553139953,46.801346801346796,-3.0950861518825756,-10.547523062005444,34.68013468013468,11.11111111111111,126,-0.6619190792179541,0.1519756838905817
T3 → T10 → T6,T3,T10,255,-0.2777777777777879,47.45098039215686,-2.803308823529427,-9.844852221928155,29.01960784313726,10.196078431372548,90,-0.4927403656479812,-0.10045203415368631
T1 → T10 → T6,T1,T10,315,-0.44019429265329535,47.3015873015873,-3.1667102852656392,-10.498313992904105,33.33333333333333,10.793650793650794,131,-1.1613540894489738,0.5932634126559755
T4 → T2G → T6,T4,T2G,493,-0.4653675156853665,44.21906693711968,-3.0800821355236208,-10.464438813403007,30.425963488843816,10.547667342799189,231,-0.5173099880620757,-0.418020473046149
T3 → T2 → T6,T3,T2,238,-1.389719094127484,40.33613445378151,-4.579266448959851,-12.99556702260859,45.378151260504204,19.747899159663866,98,-1.719272061713839,-0.9101694702055074
