family,best,n,mean,lo,hi,sharpe,k_low,k_mid,k_high,dsr_low,dsr_mid,dsr_high,ci_ok,p,fdr_pass,class
QZ-Capit,QZ-Capit🧱OB,9550,8.579862049189224,7.277028720979889,10.048496285058546,0.3195734320957592,7,7,9,1.0,1.0,1.0,True,0.0,True,robust
QZ-Capit-Rev,QZ-Capit-Rev,38896,2.7453227683524974,1.974216435372849,3.569644560344969,0.12549679397432215,1,1,3,1.0,1.0,0.1428,True,0.0,True,solid
RTB-Base,RTB-Base🕐DR,3593,4.787374056769324,3.4909950752752277,6.063816090748688,0.2916262478466637,5,5,7,1.0,1.0,1.0,True,0.0,True,robust
Washout,Washout🕐DR,2344,5.8267157764209045,4.019245003418238,7.673836975174761,0.3079684288798161,7,7,9,1.0,1.0,1.0,True,0.0,True,robust
Z11-T11,Z11-T11🏆RS,161,9.749193169987871,5.455602527899106,13.676281632936519,0.5652126923600477,2,4,6,1.0,1.0,1.0,True,0.0,True,robust
ZRT,ZRT🟢L46🔵dw,10750,2.647530813799628,1.9070082977751897,3.464922423202504,0.146043982772061,2,2,4,1.0,1.0,0.0461,True,0.0,True,solid
ZRT🟢,ZRT🟢🔎iv,12680,2.703786940964473,1.9262712866105454,3.4624955053007302,0.14619515062622784,1,1,3,1.0,1.0,0.9724,True,0.0,True,robust
Zone-Retest,Zone-Retest🕐DR,15826,3.88107783501056,3.080541480745887,4.682444855494168,0.20321786893175306,4,4,6,1.0,1.0,0.7259,True,0.0,True,robust
coil_floor,coil_floor·🧱OB,4303,10.364210391896297,8.294992263250174,12.521418126225056,0.4629234009653451,1,21,23,1.0,1.0,1.0,True,0.0,True,robust
g3g3rl,g3g3rl·🏆RS,398,9.217330403380263,2.0186882371936896,13.217674525794648,0.475917400516479,4,4,6,1.0,1.0,1.0,True,0.0,True,robust
g3rl,g3rl·🧱OB,595,13.447741805341002,7.797485845789769,18.871337038325695,0.5111751213144603,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
ppr×NS,ppr×NS 🕐24-26,5004,2.52945986205194,1.1557626881768785,3.920747192528091,0.11792651934519079,1,1,3,1.0,1.0,0.1567,True,0.0,True,solid
z11t11,z11t11·15mZ,288,12.803718270717784,6.92300629779333,17.77145459024764,0.4042188082769844,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
z1gcrown,z1gcrown·🔑KEY,885,20.4149782208931,0.6126838261775975,26.66176695996061,0.7518677524732182,2,2,4,1.0,1.0,1.0,True,0.0,True,robust
⚡G3-Abs,⚡G3-Abs🏆RS,2629,5.928315037263742,3.0514458594142386,8.575725396129148,0.29978088062914415,2,2,4,1.0,1.0,1.0,True,0.0,True,robust
🌀Engulf-AbsRev,🌀Engulf-AbsRev🟡,2590,4.096887804185531,3.0641625306190634,5.1843301398385835,0.1717685414793934,1,1,3,1.0,1.0,0.9964,True,0.0,True,robust
🌉Z1G→T4,🌉Z1G→T4 🟡watch,166,15.715130855587411,2.2196667280915223,27.88030717533475,0.49720079908274517,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🎬StopVol-Confirm,🎬StopVol-Confirm,3821,2.441948749223626,1.4002895912935458,3.5460592706250407,0.12014964068074542,1,1,3,1.0,1.0,0.2478,True,0.0,True,solid
🎬StopVol-Deep,🎬StopVol-Deep,1022,4.450273681580945,2.523053452929424,6.357869698873434,0.2385347376046561,1,1,3,1.0,1.0,0.9998,True,0.0,True,robust
🎯Cluster,🎯Cluster🏆RS,7548,5.05457516707186,3.769414779142999,6.300171514070376,0.26872337749638214,2,2,4,1.0,1.0,1.0,True,0.0,True,robust
🎯Confluence,🎯Confluence💎89+,9713,2.521011880086297,1.429485178203494,3.765455014982036,0.137922579860411,1,1,3,1.0,1.0,0.771,True,0.0,True,robust
🎯Confluence≥3,🎯Confluence≥3,33347,3.4329808855006188,2.464638304948307,4.413202224798454,0.16905382208243985,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🎯Confluence≥4,🎯Confluence≥4,11858,4.778996668093578,3.470901608398698,6.236059488060284,0.23071653571615133,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🎯T1-RS-Dip,🎯T1-RS-Dip,1715,5.228553464205037,3.811877577779378,6.69172637623719,0.23271051813471771,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🎯T3-RS-Dip,🎯T3-RS-Dip,5530,4.405891974756133,3.0706882855307205,5.819150828507873,0.21229326548417873,1,1,3,1.0,1.0,1.0,True,0.0,True,robust
🏆L34→L34,🏆L34→L34,463,4.646558689894396,0.8541606322296965,10.018679984807715,0.09414496834118571,1,1,3,1.0,1.0,0.0472,True,0.0,True,solid
📐RSI-Div,📐RSI-Div🏆RS,1834,4.192192010545721,2.5856675491937717,5.83462297093851,0.20583854895247888,1,1,3,1.0,1.0,0.9998,True,0.0,True,robust
📐RSI-Div🏆RS deep,📐RSI-Div🏆RS deep,936,4.854034859376525,3.0807513620080695,6.668746142907449,0.2226584523829172,1,1,3,1.0,1.0,0.9994,True,0.0,True,robust
