delta,planted,rep,world,band,known,rank,rank_le_3,rank_le_5,screen,final,regret,n_screen,freeze_commit
0.0,rsi>=65,4,1628033617,0.3779257295768681,False,30,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_lead_in_lag,0,1787191236,0.3440149285505491,False,6,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx2,2,2112876186,0.2628088841846029,False,10,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50,3,486140655,0.27685438110176636,False,14,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_h1_dr,1,1745695660,0.3805554375592906,False,25,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_lead_in_lag,2,2112876186,0.25094519262682113,False,6,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&rs,1,1745695660,0.36887086252438284,False,15,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx3,4,1628033617,0.3798951524061645,False,12,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx1,1,1745695660,0.37129442287735065,False,26,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&conso,0,1787191236,0.3394412494320119,False,28,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&conso,1,1745695660,0.38738794448785385,False,9,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35&rs,1,1745695660,0.3753842478385376,False,10,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi>=65,1,1745695660,0.38064790228058426,False,17,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_lead_in_lag,1,1745695660,0.3720158586552536,False,6,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_lead_in_lag,1,1745695660,0.37443981593749937,False,31,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&rs,2,2112876186,0.26582242967682074,False,2,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_lead_in_lag+sig_h1_dr,3,486140655,0.2744967058366439,False,13,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,2,2112876186,0.2549176883847205,False,8,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&conso,3,486140655,0.27307031953451844,False,3,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_lead_in_lag,1,1745695660,0.36432558710947516,False,8,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65,2,2112876186,0.26041629042912673,False,31,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_rs_intact,3,486140655,0.281723982918314,False,27,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi35-50&rs,4,1628033617,0.3770624300338362,False,15,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35,0,1787191236,0.3398309377153562,False,17,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_h1_dr,1,1745695660,0.38555958818511776,False,16,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_conso,1,1745695660,0.37811026207269,False,29,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx-1,1,1745695660,0.3895587356795347,False,2,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx0,1,1745695660,0.38135301402508787,False,18,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35&conso,2,2112876186,0.2482077877858024,False,29,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_rs_intact+sig_conso,4,1628033617,0.37553056689932035,False,16,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_h1_dr,3,486140655,0.2790294938441391,False,1,True,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_rs_intact+sig_conso,0,1787191236,0.35980169433469056,False,15,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi50-65&rs,0,1787191236,0.35218098184254615,False,13,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_lead_in_lag,3,486140655,0.2587034638103985,False,24,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx1&rs,0,1787191236,0.33069696543681926,False,20,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_lead_in_lag,4,1628033617,0.380845564436874,False,5,False,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx3,3,486140655,0.2671842785637243,False,7,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_lead_in_lag+sig_h1_dr,4,1628033617,0.3855940120087363,False,14,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx-1,2,2112876186,0.2530482103508315,False,9,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,rsi<35,4,1628033617,0.3875866949624256,False,28,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_rs_intact,4,1628033617,0.3745577403291161,False,4,False,True,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso,4,1628033617,0.3986065819204701,False,7,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_conso,4,1628033617,0.38054572740322945,False,25,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,adx0,2,2112876186,0.2376433455812838,False,12,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,¬sig_conso,3,486140655,0.2636636027973798,False,29,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,4,1628033617,0.3780766810858448,False,18,False,False,False,False,0.0,0,9ba14584d6c06d5f90f9c55f2d56ff6439e652b3
