ticker,seg1d,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
BPOP,🏦majority,1.132,5.824,2.872,0.915,-0.718,-1.23,2.359,-0.239,1.803,
BR,🏦majority,0.249,4.54,0.413,-0.009,-0.619,-0.207,-0.287,0.517,0.274,-5.196
BRKR,🏦majority,0.24,7.843,-0.446,-0.835,-0.338,-0.515,-0.374,-0.55,-0.996,
BRO,🏦majority,0.862,4.916,0.96,-0.742,-0.927,-0.675,1.048,-1.134,0.552,-0.882
BRZE,🏦majority,-0.036,12.438,-1.01,1.882,-1.871,0.297,-0.845,,0.163,
BSX,🏦majority,0.601,4.738,-0.178,0.151,-0.37,-0.855,0.243,0.58,0.349,-2.133
BSY,🏦majority,-0.181,6.882,2.217,-0.253,-0.408,0.57,1.817,,0.968,
BUSE,🏦majority,0.151,6.27,0.9,0.645,2.485,0.455,1.648,,0.611,
BWA,🏦majority,0.25,6.539,2.24,0.095,-1.004,-0.542,1.729,,-1.247,
BXP,🏦majority,-0.396,6.014,0.25,-0.305,-1.109,-0.043,1.676,-1.431,-0.503,
BYND,⚡panic,-3.975,14.372,-0.135,0.632,0.9,2.019,4.364,,,
C,🏦majority,0.557,6.043,0.775,0.04,0.204,-0.113,1.967,1.738,0.314,-8.459
CACC,🏦majority,0.487,7.466,1.899,0.854,0.095,-0.679,1.183,-0.918,0.405,-3.217
CAE,🏦majority,0.0,6.977,2.302,1.715,-0.276,-1.452,1.138,-2.913,-2.937,
CAG,🏦majority,-0.448,4.309,0.082,-0.51,0.844,0.678,0.269,-1.172,1.302,
CAH,🏦majority,0.956,5.243,0.67,0.351,0.986,0.269,1.098,-1.939,-0.925,-1.401
CAKE,🏦majority,0.8,7.324,0.09,0.043,-0.027,-0.077,0.341,0.021,0.516,-4.809
CALM,🎰lottery,0.778,5.992,-0.907,0.41,-0.419,-1.153,0.545,-2.037,2.282,-12.544
CAMT,🏦majority,1.545,11.313,2.654,-0.557,-1.206,-0.827,0.272,-3.076,-1.159,
CAR,🎲chase,-0.505,16.372,4.023,-2.155,-2.49,2.46,-1.377,0.976,-2.39,-9.154
CARG,🏦majority,0.737,9.129,-0.807,0.423,-0.433,-0.216,1.999,-0.479,1.013,
CARR,🏦majority,0.343,6.273,0.527,0.321,-0.841,-0.449,1.464,-0.111,-0.05,
CASH,🏦majority,0.494,6.625,2.164,0.283,0.964,1.07,0.447,2.359,-2.967,
CASY,🏦majority,1.041,4.982,-0.87,1.153,0.125,0.403,1.123,-1.519,-0.231,-1.23
CAT,🏦majority,0.921,6.424,0.384,-0.883,0.267,0.536,-0.452,-2.167,-0.053,-5.154
CATY,🏦majority,0.555,5.638,-0.032,0.362,1.654,-0.207,1.27,-0.961,-2.785,
CB,🏦majority,0.587,3.615,2.041,0.669,0.051,-0.548,0.446,1.153,1.057,-0.308
CBOE,🏦majority,0.691,4.589,2.066,0.721,-0.204,-0.449,,-0.952,-1.744,
CBRE,🏦majority,0.776,5.854,-0.343,0.463,0.172,-0.273,0.527,-2.363,2.887,
CBRL,🎲chase,-1.04,9.481,-0.607,-0.61,2.068,-0.382,-0.781,-2.21,3.511,
CBSH,🏦majority,0.144,4.572,1.15,0.322,-0.725,-0.129,2.216,-1.246,0.728,
CCEP,🏦majority,0.624,4.328,2.127,0.221,-0.834,-0.196,0.215,-0.012,-0.994,
CCI,🏦majority,-0.417,5.23,0.651,-0.24,0.202,-1.586,-0.574,,-1.551,
CCL,🏦majority,0.522,11.028,1.064,0.009,-0.017,-1.433,1.993,0.384,1.957,
CCOI,🏦majority,-0.075,9.825,1.815,-0.461,1.298,-0.346,0.803,-1.166,2.284,-9.219
CCRN,⚡panic,-0.382,11.718,-0.502,-0.199,-1.253,-0.183,1.918,-1.612,,-0.828
CCSI,⚡panic,-0.375,13.519,2.226,-0.023,-0.789,-0.057,2.226,,-7.04,
CDNA,🎰lottery,-0.261,15.19,2.864,-2.229,-1.138,-1.173,1.108,-5.399,3.151,-11.828
CDNS,🏦majority,1.095,6.743,1.907,0.469,-1.238,-1.593,2.467,-0.624,1.297,-9.237
CDW,🏦majority,0.145,6.3,1.168,-0.133,-0.979,0.183,0.144,-2.146,1.917,
CE,🎰lottery,-0.081,8.717,0.268,0.05,0.368,0.404,-0.934,-2.627,0.803,-11.245
CECO,🎲chase,1.996,11.023,-0.589,-0.719,1.892,0.022,,-0.367,-4.354,
CEG,⚡panic,1.006,10.099,2.699,0.114,-0.186,-1.368,6.033,1.269,-1.203,
CELH,🎲chase,0.123,13.337,-0.197,0.005,-0.372,3.119,2.416,3.361,-5.255,
CENTA,🏦majority,-0.091,5.621,0.127,0.857,-0.206,-1.177,2.452,2.766,2.025,
CENX,🏦majority,1.477,14.086,-2.481,1.902,1.186,-1.477,1.142,-8.471,-3.779,
CERT,🎲chase,-0.462,11.465,2.024,-0.024,-0.603,-1.002,-1.414,2.414,-4.592,
CEVA,⚡panic,0.184,11.603,4.562,0.789,-3.051,-2.929,2.151,,-0.206,
CF,🏦majority,0.219,7.17,1.761,-0.206,-0.627,-0.466,1.822,-1.007,0.768,-7.769
CFFN,🎲chase,-0.353,5.808,-0.158,0.017,0.206,0.844,-0.805,2.288,-2.294,
