band,n_clears,n_promoted,n_final,gen,evaluated,ineligible,uncomputable,coverage,design_hash,shift
1.1492513318074358,2,1,0,G2,6.0,0.0,0.0,0.8645598194130926,c8303e3ab3d9,352.0
0.8023482653402908,1,0,0,G2,6.0,0.0,0.0,0.8656478828398599,8b2d0efa778b,76.0
1.1273831135473804,1,1,1,G2,6.0,0.0,0.0,0.8059701492537313,54c674b62ae1,367.0
2.1419662880481054,0,0,0,G2,6.0,0.0,0.0,0.7829363883026832,85d57a613b28,115.0
2.3722545322669433,2,2,2,G2,6.0,0.0,0.0,0.7903532896128623,1c0c609f3bfc,494.0
1.900472807913375,1,1,0,G2,6.0,0.0,0.0,0.8502130449033104,284574952029,700.0
2.9701918552229545,1,1,1,G2,6.0,0.0,0.0,0.8548387096774194,3a33bd5bb848,1089.0
2.5210557022279154,2,2,2,G2,6.0,0.0,0.0,0.8525089605734767,1d46de5e67ae,526.0
1.5775865427715452,1,1,1,G2,6.0,0.0,0.0,0.8249714005556463,20ca787060de,381.0
1.885534668071216,1,1,1,G2,6.0,0.0,0.0,0.8014245629181955,b86f4deec9d0,493.0
2.333509237665113,1,1,1,G2,6.0,0.0,0.0,0.865244708994709,774fd7effcf7,276.0
0.47856136218829437,1,0,0,G2,6.0,0.0,0.0,0.8463803255975061,9f833857a3b1,636.0
1.1075101042880768,1,1,1,G2,6.0,0.0,0.0,0.7645438898450947,451ed11b45e7,473.0
0.3230119926078842,1,0,0,G2,6.0,0.0,0.0,0.8597019922986774,e07789e03b6d,936.0
0.4381187474236291,1,0,0,G2,6.0,0.0,0.0,0.8177771595493114,78588a232db1,775.0
2.706153547241335,0,0,0,G2,6.0,0.0,0.0,0.8402028132155708,af79dc3ee31e,466.0
0.8478438165482208,1,1,0,G2,6.0,0.0,0.0,0.8496376811594203,f18cf7a1fa19,237.0
1.0649958470248204,1,1,0,G2,6.0,0.0,0.0,0.8584298584298584,413aafd4edae,761.0
0.6459933599627823,0,0,0,G2,6.0,0.0,0.0,0.8775641025641026,ea647a3e2a21,108.0
2.0562767920727145,1,1,1,G2,6.0,0.0,0.0,0.8267335936047593,3d14e66ad576,514.0
2.04035341834213,1,1,1,G2,6.0,0.0,0.0,0.8515026517383618,1ef2d458716e,261.0
1.4307431140314508,1,1,1,G2,6.0,0.0,0.0,0.844746640764125,828a3c330796,170.0
2.057902323314202,2,2,2,G2,6.0,0.0,0.0,0.8324775353016688,6bf8e24ea6ad,1072.0
0.42941118479110435,1,0,0,G2,6.0,0.0,0.0,0.7997577016268606,e4d29b7114b7,1006.0
1.5135744733582575,2,2,0,G2,6.0,0.0,0.0,0.8739205526770294,5f0520311d8c,132.0
0.34678659172026455,1,0,0,G2,6.0,0.0,0.0,0.816131498470948,601a446384f7,805.0
0.7672324704718014,1,0,0,G2,6.0,0.0,0.0,0.8411633109619687,5b95816e77cb,318.0
1.1388748377803513,0,0,0,G2,6.0,0.0,0.0,0.8537619215824797,f793edfe77ea,98.0
1.8272994596890573,0,0,0,G2,6.0,0.0,0.0,0.7607039187227866,b637af430ee9,1261.0
1.4439308209841624,0,0,0,G2,6.0,0.0,0.0,0.8434149023920814,4e9615418d05,101.0
1.091392689250983,1,1,0,G2,6.0,0.0,0.0,0.8873933026920552,7c6fa3259e87,757.0
2.321052495877656,0,0,0,G2,6.0,0.0,0.0,0.8807490144546649,cbc436446118,1106.0
2.545859037725648,2,2,2,G2,6.0,0.0,0.0,0.7810692375109552,975c779eadc6,489.0
1.8239969462825392,0,0,0,G2,6.0,0.0,0.0,0.8296502523055507,ff58a7fc04f2,1110.0
1.7605706006085178,0,0,0,G2,6.0,0.0,0.0,0.8132699373244002,8eabd2e8df43,1266.0
1.1330517516094798,0,0,0,G2,6.0,0.0,0.0,0.8013424964040274,dd79f81bad20,628.0
1.0972488272863428,1,1,0,G2,6.0,0.0,0.0,0.902946273830156,8c1de45d40c7,929.0
1.2941133791887587,1,1,1,G2,6.0,0.0,0.0,0.7863994518670777,eca58e8bc2b8,323.0
2.407961425207842,0,0,0,G2,6.0,0.0,0.0,0.8497226424609178,a23c272105af,168.0
0.9705215163773396,1,0,0,G2,6.0,0.0,0.0,0.8462738977760437,0a9134fe2710,755.0
