ticker,date,med_before,med_after,level_shift,bar_ratio
GDC,2026-06-29,0.11,1.69,15.363636363636363,249.00000000000003
GDHG,2023-12-07,351093.75,11814.375,0.033650200267022694,0.11005692599620494
GDHG,2025-04-01,429.375,107.72,0.25087627365356624,0.11515923566878981
GIBO,2026-06-30,1.31,28.64,21.862595419847327,18.16
GIPR,2026-07-10,0.2,0.745,3.7249999999999996,10.499999999999998
GMM,2026-06-11,1.26,2.88,2.2857142857142856,48.0
GNLN,2025-04-24,1837.8,42.900000000000006,0.023343127652628148,0.06107491856677525
GOSS,2026-02-23,2.52,0.42,0.16666666666666666,0.1971830985915493
GPUS,2025-05-05,2.335,4.835,2.0706638115631693,5.656934306569343
GSIW,2024-09-13,1446.0,274.0,0.18948824343015214,0.24508196721311476
GSIW,2024-09-20,1446.0,241.0,0.16666666666666666,0.17113665389527458
GSIW,2025-07-21,296.0,23.41,0.07908783783783783,0.12941176470588237
HAO,2026-05-11,140.8,1.09,0.007741477272727272,0.06164383561643835
HCTI,2025-05-15,3327.885,306.27,0.09203142536475868,0.16710992116614606
HCTI,2025-05-16,3269.62,310.005,0.0948137704075703,0.2101149998219817
HCWB,2026-06-30,1.17,3.6,3.076923076923077,5.670454545454546
HHH,2023-08-14,12.925,75.805,5.864990328820117,6.3091202582728005
HIT,2025-03-12,5.955,0.67,0.11251049538203191,0.1769436997319035
HKIT,2023-09-06,535.0,98.25,0.18364485981308412,0.13157894736842105
HKIT,2026-03-23,97.25,0.995,0.010231362467866325,0.09563025210084035
HKIT,2026-07-06,0.53,3.4,6.415094339622641,25.176470588235293
HOLO,2023-09-13,25560.0,6556.0,0.2564945226917058,0.19943555973659455
HOLO,2024-02-07,2207.2,5296.0,2.399420079739036,11.920529801324504
HUBC,2026-06-08,0.415,1.3250000000000002,3.19277108433735,9.263157894736842
HUDI,2022-11-07,27.674999999999997,6.4399999999999995,0.23270099367660343,0.08783333333333333
IBTA,2024-04-18,25.35,102.985,4.062524654832347,4.072978303747535
ICCM,2026-06-04,0.27,3.62,13.407407407407407,34.8
ILLR,2026-06-23,0.23,1.29,5.608695652173913,4.866666666666667
IMUX,2022-10-21,43.7,14.0,0.3203661327231121,0.22608695652173913
INKT,2025-07-11,7.285,14.93,2.0494166094715167,8.301423027166882
INLF,2025-02-18,78.18,27.04,0.3458685085699667,0.20759338640538888
INTZ,2024-12-27,0.6,1.83,3.0500000000000003,4.8
IZM,2024-04-17,8.96,2.21,0.2466517857142857,0.11740493923951391
JAN,2026-03-20,2.5,25.14,10.056000000000001,10.582959641255606
JCSE,2022-07-20,38.4,5.76,0.15,0.24793388429752067
JDZG,2026-02-17,30.25,2.295,0.07586776859504132,0.1889763779527559
JL,2024-02-29,148.9,9.85,0.06615177971793149,0.15625
JLHL,2026-07-09,21.605,7.76,0.35917611663966675,4.179738562091503
JSPR,2023-01-03,6.17,17.9,2.901134521880065,5.67287784679089
JYD,2025-04-02,201.0,13.18,0.06557213930348259,0.043337515683814304
KALA,2025-09-29,545.25,39.87,0.07312242090784044,0.1073490813648294
KBSX,2025-03-18,6.785,1.98,0.2918201915991157,4.097014925373134
KLAC,2026-06-12,1843.685,221.715,0.12025644293900531,0.10554643313264003
KOD,2022-02-23,62.745000000000005,7.75,0.1235158179934656,0.19582919563058587
KRRO,2025-11-13,40.345,7.890000000000001,0.19556326682364608,0.2068746021642266
KXIN,2026-01-30,83.775,6.77,0.08081169800059683,0.11846001974333663
LABT,2026-06-22,0.77,2.5,3.2467532467532467,9.358974358974358
LBGJ,2026-02-27,79.8,1.2,0.015037593984962405,0.16176470588235295
LHSW,2026-06-22,0.21,2.52,12.0,19.0
LICN,2024-12-06,378.0,32.35,0.08558201058201059,0.23047169811320756
LIFE,2026-01-29,1.7,11.870000000000001,6.9823529411764715,8.86842105263158
LNKS,2026-03-23,273.75,1.745,0.006374429223744292,0.13795093795093794
LPA,2024-05-30,7.925000000000001,16.93,2.136277602523659,7.841563162677978
LPCN,2026-04-02,8.305,2.315,0.27874774232390126,0.2216216216216216
LZMH,2026-04-17,25.4,1.67,0.065748031496063,0.1591743119266055
MCHB,2025-09-02,26000.0,13.445,0.0005171153846153846,0.0002941717650305902
MDXH,2023-11-14,27.3,3.28,0.12014652014652014,0.0965625
MENS,2025-12-17,34.099999999999994,3.1799999999999997,0.09325513196480939,0.1896103896103896
