setup,n,trunc,pct,med,med_full,med_trunc,delta
D+L1🏆RS,1943,170,8.749356664951106,3.0482508493856084,3.643756442745044,-0.8839736436976218,-4.5277300864426655
L43-TRIPLE🏆RS,320,19,5.9375,6.281429935519617,6.3569063072058505,3.819405661255476,-2.5375006459503746
Atomic🏆RS💎,10166,696,6.846350580365926,1.5815310519561254,1.7842536288119992,0.0454549642675607,-1.7387986645444384
QZ-Capit🔵dwell,40636,2235,5.500049217442662,2.0843588321913966,1.8753851587763493,5.17863511460131,3.3032499558249606
D+L1🔵dwell,2280,204,8.947368421052632,1.6648734451011282,1.723888785695843,1.2677421057611218,-0.45614667993472113
L43🔵dwell,1445,101,6.98961937716263,3.876678749075052,3.7379766440737647,5.504615942164742,1.7666392980909773
ZRT🟢L46,14075,850,6.039076376554174,1.7842130180409754,1.6942931045724807,3.408257948088572,1.7139648435160912
ZRT🟢L46🔵dw,10750,613,5.702325581395349,1.8854162893260862,1.7776633196377845,3.5783624592714167,1.8006991396336323
Washout🔎iv,27134,2835,10.448146237193189,2.2147804411605856,2.031358312725456,4.221744270386868,2.1903859576614115
ZRT🟢🔎iv,12680,718,5.662460567823343,1.9132737532424449,1.7866440774495118,3.6451718203961923,1.8585277429466804
Washout💥vol,19857,2061,10.379211361232816,2.2229279755997586,2.018951085718351,4.451980278313511,2.4330291925951597
🧊Coil-Floor,16051,918,5.719269827425082,3.3891642048728796,3.4982233692897156,2.0938587950464385,-1.404364574243277
🌀Engulf-AbsRev🟡,2590,305,11.776061776061777,2.219906705955826,1.8626234411917075,3.9593907567129047,2.0967673155211974
🎯T1-RS-Dip,1715,117,6.822157434402332,3.6008065387299,3.5172634489307466,4.219881085560711,0.7026176366299648
🎯T3-RS-Dip,5530,332,6.003616636528029,2.592849072506925,2.6987791554129394,1.2973293850988612,-1.4014497703140782
🏆L34→L34,463,59,12.742980561555076,0.8776541389221628,1.7380709690861862,-0.18019422961367812,-1.9182651986998642
G3-Abs🕯️mid,3161,201,6.358747231888643,4.069168462898337,4.118122978542699,2.693661473186487,-1.424461505356212
📐RSI-Div🏆RS,1834,109,5.9432933478735,3.814970176664395,3.953321375888491,1.472118143615392,-2.481203232273099
📐RSI-Div🏆RS deep,936,59,6.303418803418803,4.231498906076764,4.4282235272634916,1.549890092880163,-2.8783334343833284
🔄DualReclaim🏆RS,4444,247,5.558055805580557,4.246481535936225,4.416800185326114,0.5237663240873327,-3.893033861238781
🔄DualReclaim deep,1475,81,5.491525423728814,4.803531370731401,5.294860735426937,-1.5840225995412183,-6.8788833349681555
Washout🕐DR,2344,102,4.351535836177475,4.759403919781086,4.891270756255,2.260404156030055,-2.6308666002249455
Zone-Retest🕐DR,15826,922,5.825856186023,2.7145648118112984,2.686659220559889,2.9812504031563716,0.2945911825964824
RTB-Base🕐DR,3593,149,4.146952407458948,3.982300574479419,4.218313081231822,0.2791525990580025,-3.9391604821738198
G3→G3🕐DR,2904,135,4.648760330578512,5.845203130850324,6.220373280598129,-0.5125518715340336,-6.732925152132163
QZ-Capit🕐DR,4659,295,6.331830864992488,2.986470918801448,2.952212933362236,3.377085489359538,0.4248725559973021
🎬StopVol-Confirm,3821,214,5.600628107825177,1.4431298791035165,1.6296976033534138,0.3779851600534458,-1.251712443299968
🎬StopVol-Deep,1022,47,4.598825831702544,2.911973131166129,3.250454873245695,-0.8873856390653909,-4.137840512311086
Washout🧊CONSO,11418,804,7.041513399894902,1.729349111789119,1.76844926772603,0.9088879031897537,-0.8595613645362763
RTB-Base🧊CONSO,37677,3839,10.189240119967089,1.515299556478006,1.577512684414778,0.9475142390510674,-0.6299984453637106
L43-TRIPLE🔇QUIET,1230,84,6.829268292682928,4.4577021835433825,4.275766173190804,5.651257340327648,1.3754911671368442
🥇G3·LEAD-in-LAG,1781,127,7.130825379000562,4.980439933320341,5.369920221715946,1.5778438684525942,-3.7920763532633517
🥇G3A·LEAD-in-LAG,1123,77,6.8566340160284955,5.438294649503478,5.698146360265416,1.5508037726959247,-4.147342587569492
🪨T1G-NB🏆RS,342,32,9.35672514619883,3.531184098322199,3.3194301625693976,4.527409740205518,1.2079795776361202
🧺SEQ-20 🟡watch,596,36,6.0402684563758395,4.0793719950028065,4.490991738457134,-0.7897542575072745,-5.280745995964408
👑Z1G-CROWN 🟡watch,1105,59,5.339366515837104,14.949090494692758,15.313220816347533,9.311941760931603,-6.00127905541593
coil_floor·🧱OB,4303,278,6.460608877527306,8.605312232187861,8.805591089816605,6.57916477532598,-2.2264263144906256
g3g3rl·🏆RS,398,14,3.5175879396984926,8.226087423104762,8.464920965207916,-1.971614736113958,-10.436535701321874
g3g3rl·🔑KEY,1259,87,6.910246227164417,8.7741915799807,9.097169906369523,2.411594681752943,-6.68557522461658
g3g3rl·CONF,410,22,5.365853658536586,9.263393235029188,9.772629020930406,0.9791412028067938,-8.793487818123612
g3g3rl·15mZ,1116,87,7.795698924731183,9.26599742950342,9.685247129306035,3.625715982852001,-6.059531146454034
g3rl·🧱OB,595,70,11.76470588235294,9.924250326637713,10.704710300960768,1.004923962759713,-9.699786338201054
z1gcrown·🔑KEY,885,42,4.745762711864407,18.637661120133327,19.109885681681533,9.413770225138112,-9.69611545654342
z1gcrown·15mZ,989,49,4.954499494438827,16.933016714499168,17.237406414700214,9.85760928209825,-7.379797132601963
