rule,n,mean_all,med_all,win_all,hold,exit_rate,mean_mined,mean_oos,win_mined,win_oos,pf_mined,pf_oos
stop 5% + target 20% · 20b,51190,0.0824700440643094,-5.200000000000005,35.06348896268803,11.640222699746044,65.63586638015238,-0.17676326467461204,0.33058315963894463,33.122952784213474,36.92078299434164,0.9457965096388541,1.1089513443445664
stop 12% + target 20% · 20b,51190,0.1746214459815381,-0.4744553507507797,48.05040046884157,16.649462785700333,34.54385622191835,-0.19943785448696189,0.5326349238806216,46.340976272269714,49.686496406178314,0.9540803954939393,1.1358067569174424
target 8% · 20b,51190,0.1872020404068222,2.5639949602636216,58.07579605391678,15.334772416487596,41.81676108614964,-0.21732980879176853,0.5743809023443326,56.295438204042505,59.779782841413066,0.9437694885661304,1.1761722256105949
stop 8% + target 12% · 20b,51190,0.005302898868013872,-1.2960248302262665,45.87810119163899,13.217601093963665,61.027544442273886,-0.23407777550573086,0.23441498795932464,44.35567628025885,47.33521945251567,0.9379740432064343,1.0675444816083908
stop 5% + target 12% · 20b,51190,-0.024432756246225783,-5.199999999999993,37.31978902129322,10.510255909357296,74.95213908966595,-0.26545555246065616,0.2062510134598474,35.335943117360394,39.218534944181066,0.9159684456978552,1.0704568444617002
stop 12% + target 12% · 20b,51190,0.04033717449149416,0.1746580997637194,50.546981832389136,15.181695643680406,47.60500097675327,-0.2698120639510176,0.3371821062536076,48.93744507469841,52.087475149105366,0.9347188342703368,1.0903638239287305
trail 20% · 60b,51190,1.294920046112591,-1.7817658142112167,45.837077554209806,46.21029497948818,44.06720062512209,-0.28427899425703856,2.8063770264082506,42.65798514020931,48.8797981342713,0.9561310784080853,1.502990181098721
hold 5b,51190,0.03339909301351232,-0.12675232484181106,48.767337370580194,5.0,0.0,-0.2861615890358627,0.3392517506990933,46.92418311096908,50.53142682367334,0.8846708885550919,1.1724212177186657
target 3% · 20b,51190,-0.005351433908283738,2.8500000000000028,76.1281500293026,9.01898808361008,74.19027153740964,-0.2936673577967131,0.2705967553646532,74.58256770791724,77.60743232910231,0.8768496838038998,1.1421164729553857
hold 3b,51190,-0.1800686733381392,-0.21970266243441214,47.153740965032235,3.0,0.0,-0.2959756027181334,-0.06913374176990345,45.99344890948311,48.264260590304325,0.8443851335113954,0.9600740820794978
target 5% · 20b,51190,0.06668346110698216,4.850000000000004,66.09884743113889,12.307501465129908,59.4588786872436,-0.2998823798463075,0.4175249224322862,64.32851322201806,67.79324055666004,0.9070199690145487,1.1575630550669103
trail 30% · 60b,51190,2.1196626549364908,-0.031070137737049114,49.91990623168588,54.86708341472944,19.318226216057823,-0.30914313871252097,4.44428126015936,45.745785731405284,53.91497170821226,0.958023327117121,1.7548222312405675
stop 5% + target 8% · 20b,51190,-0.10532973335979821,-5.199999999999993,41.56866575503028,9.027681187731979,83.97343231099825,-0.31166493356436525,0.09215441566608996,39.72597267715906,43.33231380945099,0.8946369216203098,1.033609559685318
stop 8% + target 8% · 20b,51190,-0.10335391130127451,0.09710593331191966,50.212932213322915,11.478902129322133,72.48290681773784,-0.3208893807060833,0.10485005494279878,48.77366781177599,51.59045725646123,0.9082109392183695,1.0326721698242303
⚡ATR×16 · 60b,51190,2.5031943949867426,0.5669728423028321,51.48466497362766,59.492615745262746,2.373510451260012,-0.32486376782314647,5.20993885315247,47.251737636813935,55.53601468114391,0.9584794365624854,1.8894237707859078
hold 60b,51190,2.493007193270308,0.5983427505924678,51.57061926157452,60.0,0.0,-0.3470587513233143,5.2112443418005405,47.35559638891108,55.60483254320232,0.9557740044441935,1.893466650445075
stop 12% + target 8% · 20b,51190,-0.08255082342699875,1.6195711368277745,54.87204532135183,13.276010939636647,60.769681578433286,-0.35128444013482585,0.1746550704659414,53.387393145322356,56.29301116378651,0.9073876884619174,1.051021445240798
⚡ATR×12 · 60b,51190,2.4360974987196453,0.5383968808426455,51.3908966595038,58.78726313733151,5.921078335612425,-0.3729490014899411,5.1246458274490685,47.15586801949349,55.444257531732674,0.9525112475364007,1.8636400923574716
stop 8% + trail 12% · 60b,51190,0.25991913759568713,-5.440894559254577,35.4620042977144,27.131529595624144,80.88103145145537,-0.3781194524909101,0.8705881261347557,33.374610529679636,37.45985624713259,0.9174677186325164,1.2048992676777233
stop 5% + target 5% · 20b,51190,-0.1915638158778764,-0.08802033050916966,49.890603633522176,7.000625122094159,92.19574135573355,-0.37917211922050004,-0.012003245994131191,48.01869457537749,51.682214405872465,0.8532852347898099,0.9949223102264723
stop 12% + trail 8% · 60b,51190,0.001559897812138318,-2.8868414328998,36.08907989841766,18.200683727290485,93.5885915217816,-0.3826760608180296,0.36931349118832824,34.24942078772869,37.849824132130294,0.8918189571888893,1.111034556427817
stop 8% + target 5% · 20b,51190,-0.19622839679294382,4.800000000000004,58.583707755420974,9.040339910138698,83.95975776518851,-0.38764644040895446,-0.013021511035059934,57.21019413597508,59.89830249273589,0.8699952071020717,0.995194915950168
stop 5% + trail 8% · 60b,51190,-0.014780858824106619,-5.199999999999993,31.629224457901934,15.788884547763235,94.69818323891384,-0.3877300889817976,0.34217016685901147,29.711592234560996,33.4645970331855,0.8776352259548797,1.1150082367598877
stop 12% + target 5% · 20b,51190,-0.17582110869348966,4.800000000000004,63.12561047079508,10.568646219964837,74.76850947450674,-0.41302912354410143,0.05121152029298442,61.68011504354078,64.50909925064995,0.8706460541939436,1.018005452479377
stop 5% + trail 12% · 60b,51190,0.1504815108137956,-5.200000000000005,27.44090642703653,20.756280523539754,86.76303965618285,-0.4291486563482121,0.7052475914352095,25.217703922665173,29.568741397767244,0.8830259133053886,1.204811256952496
⚡ATR×9 · 60b,51190,2.298291715801551,0.2626799893855004,50.65247118577847,56.52041414338738,15.575307677280719,-0.44367539663947597,4.92263812552967,46.60062315251258,54.530509252179236,0.9434931395567663,1.8165765979735897
stop 12% + trail 12% · 60b,51190,0.26169158812682225,-3.628734099886632,38.91971088103145,30.324164875952334,77.56983785895683,-0.4711318876761344,0.9630795256268688,36.75001997283694,40.99632971402355,0.9063978445688143,1.2095438757553634
stop 8% + trail 8% · 60b,51190,-0.08692099805623624,-3.0355633621992393,35.77651885133815,18.200683727290485,93.5885915217816,-0.48785754882714577,0.29681679105520853,33.957817368379004,37.5172044655146,0.8656561671203827,1.087679840032073
stop 8% + trail 20% · 60b,51190,0.49014785176622117,-8.199999999999998,33.555381910529405,32.409943348310215,67.42137136159407,-0.5740732198329536,1.5087175989146286,30.678277542542144,36.30906866493348,0.8914243369283449,1.3121427731997133
stop 5% + trail 20% · 60b,51190,0.2661416755748955,-5.200000000000005,23.938269193201798,23.719515530377027,78.9509669857394,-0.5894871320810722,1.0850670300197454,21.28704961252696,26.475760819697204,0.8529536079038404,1.289545737123655
stop 12% + trail 20% · 60b,51190,0.729406405962691,-4.626457632648092,41.09787067786677,40.169896464153155,55.15335026372339,-0.6558647059380863,2.0552542808412677,37.93241191978909,44.127542437681605,0.8951318787262859,1.372886741970041
⚡ATR×6 · 60b,51190,1.8751986132104006,-1.4390740967695628,46.90173862082438,49.45612424301621,39.638601289314316,-0.703891466408888,4.343654839437242,43.08939841815131,50.550542896467356,0.9074090226337238,1.7333600896915804
